* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Dec 4, 2022 10:31:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = Dec 4 B = Aster Correction Averaged Fin
* Measurement: A times B
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 48.338 87.2523
2.563477 52.067 74.2327
2.929687 55.140 62.9659
3.295898 57.756 52.8527
3.662109 60.019 43.5527
4.028320 61.995 34.8816
4.394531 63.725 26.7610
4.760742 65.247 19.1729
5.126953 66.592 12.1184
5.493164 67.794 5.5861
5.859375 68.880 -0.4648
6.225586 69.873 -6.1012
6.591797 70.788 -11.3995
6.958007 71.632 -16.4235
7.324218 72.409 -21.2100
7.690429 73.122 -25.7676
8.056640 73.776 -30.0883
8.422851 74.377 -34.1629
8.789062 74.932 -37.9947
9.155273 75.450 -41.6031
9.521484 75.935 -45.0193
9.887695 76.390 -48.2752
10.253906 76.816 -51.3944
10.620117 77.213 -54.3869
10.986327 77.582 -57.2529
11.352538 77.926 -59.9903
11.718749 78.247 -62.6023
12.084960 78.549 -65.1015
12.451171 78.836 -67.5073
12.817382 79.107 -69.8392
13.183593 79.362 -72.1093
13.549804 79.602 -74.3196
13.916015 79.825 -76.4638
14.282226 80.035 -78.5346
14.648436 80.232 -80.5292
15.014647 80.420 -82.4518
15.380858 80.601 -84.3114
15.747069 80.774 -86.1164
16.113280 80.940 -87.8708
16.479491 81.100 -89.5752
16.845702 81.252 -91.2295
17.211913 81.399 -92.8364
17.578124 81.541 -94.4015
17.944335 81.676 -95.9295
18.310546 81.804 -97.4203
18.676756 81.924 -98.8686
19.042967 82.036 -100.2680
19.409178 82.143 -101.6180
19.775389 82.245 -102.9273
20.141600 82.343 -104.2115
20.507811 82.435 -105.4846
20.874022 82.519 -106.7502
21.240233 82.592 -107.9993
21.606444 82.654 -109.2154
21.972655 82.707 -110.3851
22.338866 82.753 -111.5062
22.705076 82.796 -112.5885
23.071287 82.835 -113.6461
23.437498 82.869 -114.6875
23.803709 82.898 -115.7102
24.169920 82.922 -116.7034
24.536131 82.943 -117.6581
24.902342 82.963 -118.5753
25.268553 82.984 -119.4677
25.634764 83.006 -120.3524
26.000975 83.029 -121.2402
26.367186 83.050 -122.1291
26.733396 83.067 -123.0059
27.099607 83.081 -123.8558
27.465818 83.095 -124.6718
27.832029 83.110 -125.4587
28.198240 83.127 -126.2288
28.564451 83.146 -126.9922
28.930662 83.164 -127.7515
29.296873 83.181 -128.5019
29.663084 83.196 -129.2385
30.029295 83.212 -129.9619
30.395506 83.226 -130.6790
30.761716 83.239 -131.3956
31.127927 83.249 -132.1100
31.494138 83.254 -132.8104
31.860349 83.255 -133.4826
32.226560 83.255 -134.1213
32.592771 83.256 -134.7357
32.958982 83.259 -135.3442
33.325193 83.262 -135.9610
33.691404 83.261 -136.5833
34.057615 83.257 -137.1917
34.423826 83.249 -137.7645
34.790036 83.243 -138.2964
35.156247 83.242 -138.8069
35.522458 83.247 -139.3307
35.888669 83.254 -139.8942
36.254880 83.257 -140.4957
36.621091 83.252 -141.1042
36.987302 83.240 -141.6784
37.353513 83.226 -142.1939
37.719724 83.216 -142.6598
38.085935 83.214 -143.1127
38.452145 83.216 -143.5917
38.818356 83.218 -144.1122
39.184567 83.214 -144.6562
39.550778 83.203 -145.1858
39.916989 83.186 -145.6684
40.283200 83.171 -146.0972
40.649411 83.162 -146.4944
41.015622 83.158 -146.8960
41.381833 83.159 -147.3292
41.748044 83.157 -147.7978
42.114255 83.150 -148.2828
42.480465 83.138 -148.7569
42.846676 83.122 -149.1998
43.212887 83.107 -149.6086
43.579098 83.096 -149.9962
43.945309 83.088 -150.3820
44.311520 83.082 -150.7807
44.677731 83.076 -151.1952
45.043942 83.068 -151.6169
45.410153 83.058 -152.0321
45.776364 83.046 -152.4305
46.142575 83.035 -152.8107
46.508785 83.026 -153.1797
46.874996 83.019 -153.5480
47.241207 83.012 -153.9216
47.607418 83.004 -154.2980
47.973629 82.994 -154.6677
48.339840 82.983 -155.0214
48.706051 82.973 -155.3565
49.072262 82.965 -155.6795
49.438473 82.959 -156.0021
49.804684 82.953 -156.3336
50.170895 82.948 -156.6754
50.537105 82.940 -157.0213
50.903316 82.931 -157.3629
51.269527 82.920 -157.6949
51.635738 82.910 -158.0182
52.001949 82.899 -158.3366
52.368160 82.889 -158.6535
52.734371 82.878 -158.9695
53.100582 82.867 -159.2829
53.466793 82.856 -159.5923
53.833004 82.844 -159.8978
54.199215 82.833 -160.1997
54.565425 82.822 -160.4970
54.931636 82.810 -160.7883
55.297847 82.800 -161.0737
55.664058 82.791 -161.3569
56.030269 82.782 -161.6432
56.396480 82.773 -161.9343
56.762691 82.763 -162.2250
57.128902 82.752 -162.5049
57.495113 82.741 -162.7661
57.861324 82.733 -163.0122
58.227535 82.728 -163.2590
58.593745 82.726 -163.5260
58.959956 82.723 -163.8220
59.326167 82.716 -164.1367
59.692378 82.703 -164.4451
60.058589 82.686 -164.7222
60.424800 82.670 -164.9597
60.791011 82.657 -165.1704
61.157222 82.649 -165.3795
61.523433 82.643 -165.6068
61.889644 82.638 -165.8548
62.255854 82.629 -166.1099
62.622065 82.619 -166.3560
62.988276 82.609 -166.5871
63.354487 82.601 -166.8116
63.720698 82.594 -167.0433
64.086909 82.587 -167.2893
64.453120 82.579 -167.5431
64.819331 82.567 -167.7900
65.185542 82.554 -168.0182
65.551753 82.543 -168.2281
65.917964 82.534 -168.4311
66.284174 82.527 -168.6402
66.650385 82.519 -168.8605
67.016596 82.511 -169.0859
67.382807 82.501 -169.3054
67.749018 82.490 -169.5120
68.115229 82.480 -169.7081
68.481440 82.472 -169.9024
68.847651 82.465 -170.1031
69.213862 82.458 -170.3117
69.580073 82.449 -170.5230
69.946284 82.439 -170.7301
70.312494 82.429 -170.9297
70.678705 82.419 -171.1241
71.044916 82.410 -171.3183
71.411127 82.401 -171.5155
71.777338 82.391 -171.7146
72.143549 82.381 -171.9116
72.509760 82.371 -172.1032
72.875971 82.361 -172.2895
73.242182 82.353 -172.4746
73.608393 82.345 -172.6635
73.974604 82.337 -172.8590
74.340814 82.329 -173.0596
74.707025 82.319 -173.2607
75.073236 82.308 -173.4564
75.439447 82.297 -173.6431
75.805658 82.286 -173.8205
76.171869 82.276 -173.9921
76.538080 82.267 -174.1620
76.904291 82.258 -174.3332
77.270502 82.249 -174.5055
77.636713 82.240 -174.6770
78.002924 82.231 -174.8461
78.369134 82.222 -175.0139
78.735345 82.214 -175.1830
79.101556 82.205 -175.3556
79.467767 82.195 -175.5305
79.833978 82.185 -175.7036
80.200189 82.174 -175.8706
80.566400 82.163 -176.0308
80.932611 82.153 -176.1882
81.298822 82.144 -176.3485
81.665033 82.135 -176.5148
82.031244 82.125 -176.6846
82.397454 82.115 -176.8518
82.763665 82.103 -177.0117
83.129876 82.093 -177.1641
83.496087 82.083 -177.3129
83.862298 82.073 -177.4611
84.228509 82.064 -177.6078
84.594720 82.054 -177.7490
84.960931 82.046 -177.8837
85.327142 82.039 -178.0171
85.693353 82.033 -178.1592
86.059563 82.026 -178.3161
86.425774 82.017 -178.4828
86.791985 82.005 -178.6436
87.158196 81.990 -178.7817
87.524407 81.976 -178.8926
87.890618 81.966 -178.9899
88.256829 81.960 -179.0978
88.623040 81.956 -179.2346
88.989251 81.950 -179.4003
89.355462 81.939 -179.5768
89.721673 81.924 -179.7411
90.087883 81.909 -179.8820
90.454094 81.895 179.9930
90.820305 81.885 179.8655
91.186516 81.875 179.7218
91.552727 81.864 179.5637
91.918938 81.851 179.4062
92.285149 81.837 179.2649
92.651360 81.824 179.1425
93.017571 81.813 179.0274
93.383782 81.806 178.9029
93.749993 81.799 178.7613
94.116203 81.790 178.6091
94.482414 81.779 178.4617
94.848625 81.767 178.3306
95.214836 81.755 178.2153
95.581047 81.746 178.1053
95.947258 81.738 177.9898
96.313469 81.729 177.8668
96.679680 81.719 177.7435
97.045891 81.707 177.6288
97.412102 81.696 177.5248
97.778313 81.687 177.4238
98.144523 81.679 177.3148
98.510734 81.670 177.1921
98.876945 81.660 177.0602
99.243156 81.647 176.9302
99.609367 81.633 176.8114
99.975578 81.620 176.7048
100.341789 81.608 176.6034
100.708000 81.598 176.4982
101.074211 81.588 176.3852
101.440422 81.578 176.2668
101.806633 81.568 176.1492
102.172843 81.558 176.0352
102.539054 81.548 175.9227
102.905265 81.540 175.8061
103.271476 81.531 175.6823
103.637687 81.521 175.5553
104.003898 81.509 175.4348
104.370109 81.496 175.3302
104.736320 81.484 175.2429
105.102531 81.475 175.1638
105.468742 81.468 175.0782
105.834953 81.461 174.9757
106.201163 81.453 174.8574
106.567374 81.442 174.7357
106.933585 81.429 174.6248
107.299796 81.415 174.5307
107.666007 81.403 174.4472
108.032218 81.393 174.3616
108.398429 81.384 174.2654
108.764640 81.374 174.1593
109.130851 81.365 174.0491
109.497062 81.355 173.9368
109.863272 81.346 173.8188
110.229483 81.336 173.6932
110.595694 81.323 173.5700
110.961905 81.309 173.4691
111.328116 81.296 173.4030
111.694327 81.290 173.3576
112.060538 81.291 173.2928
112.426749 81.294 173.1716
112.792960 81.291 172.9985
113.159171 81.276 172.8292
113.525382 81.251 172.7355
113.891592 81.231 172.7432
114.257803 81.225 172.7949
114.624014 81.235 172.7817
114.990225 81.244 172.6318
115.356436 81.234 172.3840
115.722647 81.196 172.1758
116.088858 81.144 172.1439
116.455069 81.103 172.3043
116.821280 81.093 172.5114
117.187491 81.108 172.5602
117.553702 81.113 172.3663
117.919912 81.078 172.0647
118.286123 80.998 171.9429
118.652334 80.909 172.2405
119.018545 80.868 172.9306
119.384756 80.918 173.6603
119.750967 81.042 173.9673
120.117178 81.177 173.6147
120.483389 81.255 172.7359
120.849600 81.242 171.7209
121.215811 81.156 170.9841
121.582022 81.047 170.7430
121.948232 80.973 170.9055
122.314443 80.958 171.1551
122.680654 80.985 171.1979
123.046865 81.012 170.9609
123.413076 81.009 170.5889
123.779287 80.977 170.2915
124.145498 80.937 170.1830
124.511709 80.913 170.2184
124.877920 80.912 170.2574
125.244131 80.923 170.1916
125.610342 80.928 170.0214
125.976552 80.917 169.8328
126.342763 80.896 169.7133
126.708974 80.876 169.6833
127.075185 80.865 169.6933
127.441396 80.864 169.6752
127.807607 80.864 169.5992
128.173818 80.858 169.4881
128.540029 80.844 169.3866
128.906240 80.828 169.3208
129.272451 80.815 169.2813
129.638662 80.805 169.2397
130.004872 80.797 169.1766
130.371083 80.787 169.0961
130.737294 80.775 169.0170
131.103505 80.762 168.9525
131.469716 80.752 168.8987
131.835927 80.744 168.8389
132.202138 80.738 168.7602
132.568349 80.730 168.6638
132.934560 80.719 168.5638
133.300771 80.706 168.4766
133.666981 80.693 168.4085
134.033192 80.681 168.3542
134.399403 80.672 168.3022
134.765614 80.664 168.2436
135.131825 80.655 168.1771
135.498036 80.645 168.1080
135.864247 80.635 168.0425
136.230458 80.623 167.9834
136.596669 80.612 167.9287
136.962880 80.601 167.8741
137.329091 80.591 167.8168
137.695301 80.579 167.7573
138.061512 80.568 167.6980
138.427723 80.556 167.6404
138.793934 80.545 167.5829
139.160145 80.535 167.5214
139.526356 80.524 167.4527
139.892567 80.514 167.3776
140.258778 80.502 167.3011
140.624989 80.490 167.2300
140.991200 80.478 167.1676
141.357411 80.467 167.1119
141.723621 80.458 167.0566
142.089832 80.451 166.9956
142.456043 80.443 166.9268
142.822254 80.436 166.8532
143.188465 80.427 166.7808
143.554676 80.418 166.7144
143.920887 80.408 166.6557
144.287098 80.399 166.6042
144.653309 80.391 166.5578
145.019520 80.383 166.5144
145.385731 80.375 166.4715
145.751941 80.369 166.4254
146.118152 80.362 166.3730
146.484363 80.354 166.3130
146.850574 80.346 166.2483
147.216785 80.335 166.1849
147.582996 80.323 166.1281
147.949207 80.311 166.0786
148.315418 80.300 166.0316
148.681629 80.290 165.9802
149.047840 80.279 165.9205
149.414051 80.267 165.8558
