* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Aug 1, 2023 6:35:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = DUO L B = CorrectV2
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.018738 53.806 -98.1654
2.355194 57.888 -113.0434
2.691650 61.251 -126.1431
3.028107 64.073 -138.0613
3.364563 66.467 -149.0758
3.701019 68.514 -159.3246
4.037476 70.273 -168.8802
4.373932 71.794 -177.7862
4.710388 73.116 173.9233
5.046844 74.275 166.2133
5.383301 75.298 159.0435
5.719757 76.209 152.3676
6.056213 77.027 146.1335
6.392670 77.769 140.2869
6.729126 78.446 134.7737
7.065582 79.066 129.5445
7.402039 79.635 124.5586
7.738495 80.156 119.7866
8.074951 80.632 115.2119
8.411407 81.066 110.8280
8.747864 81.461 106.6351
9.084320 81.821 102.6339
9.420776 82.151 98.8218
9.757233 82.455 95.1895
10.093689 82.738 91.7214
10.430145 83.004 88.3973
10.766602 83.253 85.1964
11.103058 83.487 82.1007
11.439514 83.707 79.0982
11.775970 83.911 76.1832
12.112427 84.102 73.3548
12.448883 84.280 70.6135
12.785339 84.445 67.9573
13.121796 84.600 65.3801
13.458252 84.745 62.8727
13.794708 84.882 60.4266
14.131165 85.010 58.0374
14.467621 85.128 55.7068
14.804077 85.237 53.4404
15.140533 85.336 51.2440
15.476990 85.428 49.1194
15.813446 85.515 47.0634
16.149902 85.599 45.0690
16.486359 85.680 43.1277
16.822815 85.760 41.2321
17.159271 85.835 39.3759
17.495728 85.906 37.5535
17.832184 85.972 35.7599
18.168640 86.035 33.9924
18.505096 86.096 32.2519
18.841553 86.154 30.5439
19.178009 86.206 28.8757
19.514465 86.248 27.2524
19.850922 86.278 25.6735
20.187378 86.294 24.1313
20.523834 86.299 22.6154
20.860291 86.300 21.1172
21.196747 86.301 19.6346
21.533203 86.304 18.1727
21.869659 86.311 16.7391
22.206116 86.319 15.3390
22.542572 86.327 13.9703
22.879028 86.333 12.6244
23.215485 86.339 11.2900
23.551941 86.342 9.9604
23.888397 86.343 8.6370
24.224854 86.341 7.3295
24.561310 86.336 6.0511
24.897766 86.328 4.8124
25.234222 86.319 3.6148
25.570679 86.312 2.4507
25.907135 86.309 1.3064
26.243591 86.307 0.1698
26.580048 86.306 -0.9645
26.916504 86.304 -2.0939
27.252960 86.301 -3.2111
27.589417 86.298 -4.3104
27.925873 86.295 -5.3922
28.262329 86.293 -6.4630
28.598785 86.291 -7.5303
28.935242 86.287 -8.5972
29.271698 86.280 -9.6589
29.608154 86.268 -10.7055
29.944611 86.253 -11.7277
30.281067 86.238 -12.7233
30.617523 86.226 -13.6986
30.953979 86.215 -14.6649
31.290436 86.204 -15.6306
31.626892 86.192 -16.5956
31.963348 86.177 -17.5515
32.299805 86.160 -18.4862
32.636261 86.141 -19.3924
32.972717 86.123 -20.2719
33.309174 86.108 -21.1353
33.645630 86.095 -21.9956
33.982086 86.082 -22.8619
34.318542 86.069 -23.7344
34.654999 86.055 -24.6062
34.991455 86.038 -25.4686
35.327911 86.021 -26.3160
35.664368 86.005 -27.1486
36.000824 85.989 -27.9711
36.337280 85.974 -28.7885
36.673737 85.959 -29.6031
37.010193 85.944 -30.4138
37.346649 85.927 -31.2178
37.683105 85.910 -32.0129
38.019562 85.892 -32.7990
38.356018 85.873 -33.5765
38.692474 85.854 -34.3455
39.028931 85.835 -35.1038
39.365387 85.816 -35.8497
39.701843 85.797 -36.5833
40.038300 85.781 -37.3087
40.374756 85.765 -38.0331
40.711212 85.750 -38.7625
41.047668 85.734 -39.4979
41.384125 85.716 -40.2339
41.720581 85.695 -40.9611
42.057037 85.673 -41.6714
42.393494 85.651 -42.3633
42.729950 85.630 -43.0419
43.066406 85.610 -43.7152
43.402863 85.590 -44.3873
43.739319 85.570 -45.0543
44.075775 85.548 -45.7058
44.412231 85.525 -46.3329
44.748688 85.505 -46.9359
45.085144 85.489 -47.5284
45.421600 85.477 -48.1321
45.758057 85.466 -48.7650
46.094513 85.454 -49.4294
46.430969 85.436 -50.1084
46.767426 85.411 -50.7720
47.103882 85.383 -51.3931
47.440338 85.356 -51.9625
47.776794 85.334 -52.4965
48.113251 85.320 -53.0288
48.449707 85.312 -53.5941
48.786163 85.304 -54.2073
49.122620 85.290 -54.8555
49.459076 85.269 -55.5039
49.795532 85.240 -56.1140
50.131989 85.210 -56.6641
50.468445 85.184 -57.1609
50.804901 85.165 -57.6367
51.141357 85.154 -58.1316
51.477814 85.146 -58.6710
51.814270 85.134 -59.2528
52.150726 85.114 -59.8489
52.487183 85.088 -60.4203
52.823639 85.059 -60.9384
53.160095 85.034 -61.4000
53.496552 85.016 -61.8287
53.833008 85.007 -62.2634
54.169464 85.004 -62.7377
54.505920 85.001 -63.2648
54.842377 84.994 -63.8326
55.178833 84.979 -64.4127
55.515289 84.957 -64.9745
55.851746 84.933 -65.4998
56.188202 84.909 -65.9883
56.524658 84.889 -66.4547
56.861115 84.872 -66.9180
57.197571 84.858 -67.3907
57.534027 84.843 -67.8738
57.870483 84.827 -68.3584
58.206940 84.811 -68.8342
58.543396 84.794 -69.2964
58.879852 84.779 -69.7491
59.216309 84.766 -70.2030
59.552765 84.756 -70.6685
59.889221 84.745 -71.1500
60.225677 84.734 -71.6442
60.562134 84.720 -72.1429
60.898590 84.705 -72.6382
61.235046 84.688 -73.1256
61.571503 84.669 -73.6034
61.907959 84.649 -74.0692
62.244415 84.627 -74.5171
62.580872 84.604 -74.9387
62.917328 84.583 -75.3296
63.253784 84.566 -75.6964
63.590240 84.556 -76.0601
63.926697 84.552 -76.4492
64.263153 84.552 -76.8873
64.599609 84.549 -77.3788
64.936066 84.538 -77.9028
65.272522 84.519 -78.4203
65.608978 84.492 -78.8916
65.945435 84.463 -79.2954
66.281891 84.440 -79.6410
66.618347 84.425 -79.9651
66.954803 84.419 -80.3133
67.291260 84.416 -80.7170
67.627716 84.410 -81.1779
67.964172 84.395 -81.6673
68.300629 84.372 -82.1414
68.637085 84.342 -82.5626
68.973541 84.313 -82.9175
69.309998 84.291 -83.2225
69.646454 84.279 -83.5159
69.982910 84.275 -83.8386
70.319366 84.274 -84.2167
70.655823 84.271 -84.6504
70.992279 84.262 -85.1172
71.328735 84.244 -85.5830
71.665192 84.219 -86.0162
72.001648 84.192 -86.4003
72.338104 84.167 -86.7376
72.674561 84.148 -87.0471
73.011017 84.135 -87.3547
73.347473 84.127 -87.6826
73.683929 84.121 -88.0411
74.020386 84.114 -88.4271
74.356842 84.103 -88.8268
74.693298 84.088 -89.2225
75.029755 84.070 -89.5999
75.366211 84.051 -89.9520
75.702667 84.032 -90.2809
76.039124 84.015 -90.5957
76.375580 84.000 -90.9079
76.712036 83.987 -91.2275
77.048492 83.975 -91.5597
77.384949 83.961 -91.9029
77.721405 83.946 -92.2503
78.057861 83.929 -92.5920
78.394318 83.910 -92.9196
78.730774 83.892 -93.2293
79.067230 83.876 -93.5248
79.403687 83.863 -93.8155
79.740143 83.853 -94.1134
80.076599 83.844 -94.4272
80.413055 83.835 -94.7590
80.749512 83.824 -95.1030
81.085968 83.810 -95.4489
81.422424 83.794 -95.7864
81.758881 83.777 -96.1099
82.095337 83.760 -96.4190
82.431793 83.744 -96.7178
82.768250 83.729 -97.0106
83.104706 83.715 -97.2999
83.441162 83.701 -97.5859
83.777618 83.687 -97.8678
84.114075 83.674 -98.1462
84.450531 83.662 -98.4247
84.786987 83.651 -98.7076
85.123444 83.640 -98.9985
85.459900 83.629 -99.2975
85.796356 83.618 -99.6008
86.132812 83.605 -99.9033
86.469269 83.592 -100.2009
86.805725 83.579 -100.4927
87.142181 83.567 -100.7810
87.478638 83.555 -101.0693
87.815094 83.543 -101.3591
88.151550 83.530 -101.6482
88.488007 83.515 -101.9314
88.824463 83.499 -102.2028
89.160919 83.482 -102.4595
89.497375 83.467 -102.7036
89.833832 83.452 -102.9423
90.170288 83.439 -103.1843
90.506744 83.427 -103.4364
90.843201 83.414 -103.7006
91.179657 83.401 -103.9733
91.516113 83.387 -104.2479
91.852570 83.371 -104.5183
92.189026 83.356 -104.7812
92.525482 83.341 -105.0377
92.861938 83.328 -105.2919
93.198395 83.316 -105.5475
93.534851 83.304 -105.8064
93.871307 83.292 -106.0669
94.207764 83.279 -106.3256
94.544220 83.265 -106.5786
94.880676 83.251 -106.8239
95.217133 83.238 -107.0619
95.553589 83.225 -107.2949
95.890045 83.214 -107.5258
96.226501 83.202 -107.7567
96.562958 83.191 -107.9884
96.899414 83.180 -108.2208
97.235870 83.169 -108.4530
97.572327 83.158 -108.6838
97.908783 83.147 -108.9126
98.245239 83.136 -109.1392
98.581696 83.125 -109.3644
98.918152 83.114 -109.5902
99.254608 83.104 -109.8196
99.591064 83.094 -110.0552
99.927521 83.083 -110.2986
100.263977 83.072 -110.5492
100.600433 83.059 -110.8041
100.936890 83.044 -111.0583
101.273346 83.027 -111.3068
101.609802 83.010 -111.5452
101.946259 82.992 -111.7706
102.282715 82.974 -111.9828
102.619171 82.957 -112.1830
102.955627 82.942 -112.3744
103.292084 82.929 -112.5610
103.628540 82.917 -112.7473
103.964996 82.907 -112.9371
104.301453 82.897 -113.1325
104.637909 82.888 -113.3339
104.974365 82.879 -113.5395
105.310822 82.869 -113.7469
105.647278 82.858 -113.9539
105.983734 82.847 -114.1595
106.320190 82.836 -114.3641
106.656647 82.826 -114.5684
106.993103 82.815 -114.7727
107.329559 82.804 -114.9760
107.666016 82.793 -115.1765
108.002472 82.782 -115.3724
108.338928 82.771 -115.5640
108.675385 82.761 -115.7527
109.011841 82.753 -115.9415
109.348297 82.745 -116.1327
109.684753 82.737 -116.3268
110.021210 82.728 -116.5217
110.357666 82.718 -116.7141
110.694122 82.708 -116.9011
111.030579 82.698 -117.0827
111.367035 82.689 -117.2616
111.703491 82.680 -117.4421
112.039948 82.672 -117.6272
112.376404 82.662 -117.8169
112.712860 82.651 -118.0074
113.049316 82.639 -118.1938
113.385773 82.626 -118.3728
113.722229 82.614 -118.5452
114.058685 82.603 -118.7161
114.395142 82.593 -118.8917
114.731598 82.583 -119.0759
115.068054 82.573 -119.2679
115.404510 82.562 -119.4623
115.740967 82.551 -119.6531
116.077423 82.539 -119.8370
116.413879 82.528 -120.0159
116.750336 82.519 -120.1940
117.086792 82.510 -120.3749
117.423248 82.501 -120.5566
117.759705 82.490 -120.7327
118.096161 82.479 -120.8954
118.432617 82.468 -121.0421
118.769073 82.461 -121.1783
119.105530 82.456 -121.3167
119.441986 82.452 -121.4694
119.778442 82.448 -121.6410
120.114899 82.441 -121.8246
120.451355 82.430 -122.0053
120.787811 82.416 -122.1686
121.124268 82.401 -122.3091
121.460724 82.389 -122.4346
121.797180 82.379 -122.5605
122.133636 82.370 -122.7003
122.470093 82.360 -122.8553
122.806549 82.346 -123.0130
123.143005 82.329 -123.1534
123.479462 82.312 -123.2621
123.815918 82.298 -123.3413
124.152374 82.291 -123.4113
124.488831 82.292 -123.5029
124.825287 82.296 -123.6410
125.161743 82.299 -123.8319
125.498199 82.297 -124.0592
125.834656 82.286 -124.2919
126.171112 82.270 -124.4988
126.507568 82.252 -124.6635
126.844025 82.236 -124.7906
127.180481 82.225 -124.9017
127.516937 82.219 -125.0221
127.853394 82.215 -125.1672
128.189850 82.208 -125.3351
128.526306 82.199 -125.5090
128.862762 82.185 -125.6682
129.199219 82.170 -125.7998
129.535675 82.157 -125.9058
129.872131 82.149 -126.0005
130.208588 82.143 -126.1025
130.545044 82.140 -126.2228
130.881500 82.135 -126.3602
131.217957 82.129 -126.5031
131.554413 82.120 -126.6379
131.890869 82.111 -126.7582
132.227325 82.104 -126.8686
132.563782 82.099 -126.9813
132.900238 82.095 -127.1076
133.236694 82.091 -127.2505
133.573151 82.084 -127.4018
133.909607 82.074 -127.5473
134.246063 82.063 -127.6753
134.582520 82.052 -127.7835
134.918976 82.044 -127.8809
