* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Aug 1, 2023 6:35:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = DUO R B = CorrectV2
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.018738 50.417 -90.1997
2.355194 54.551 -104.5100
2.691650 57.950 -116.7257
3.028107 60.808 -127.5944
3.364563 63.247 -137.4722
3.701019 65.350 -146.5488
4.037476 67.183 -154.9364
4.373932 68.792 -162.7132
4.710388 70.217 -169.9432
5.046844 71.490 -176.6874
5.383301 72.635 176.9953
5.719757 73.671 171.0503
6.056213 74.613 165.4310
6.392670 75.471 160.1021
6.729126 76.256 155.0393
7.065582 76.975 150.2266
7.402039 77.636 145.6516
7.738495 78.246 141.3008
8.074951 78.812 137.1565
8.411407 79.339 133.1960
8.747864 79.832 129.3962
9.084320 80.292 125.7378
9.420776 80.720 122.2108
9.757233 81.119 118.8147
10.093689 81.490 115.5550
10.430145 81.837 112.4352
10.766602 82.163 109.4498
11.103058 82.474 106.5818
11.439514 82.770 103.8070
11.775970 83.053 101.1023
12.112427 83.321 98.4551
12.448883 83.572 95.8665
12.785339 83.805 93.3477
13.121796 84.022 90.9116
13.458252 84.225 88.5636
13.794708 84.420 86.2979
14.131165 84.607 84.0995
14.467621 84.788 81.9506
14.804077 84.960 79.8383
15.140533 85.123 77.7584
15.476990 85.275 75.7147
15.813446 85.417 73.7155
16.149902 85.551 71.7680
16.486359 85.678 69.8759
16.822815 85.799 68.0370
17.159271 85.915 66.2445
17.495728 86.024 64.4906
17.832184 86.128 62.7687
18.168640 86.227 61.0766
18.505096 86.323 59.4170
18.841553 86.416 57.7951
19.178009 86.503 56.2155
19.514465 86.580 54.6790
19.850922 86.644 53.1812
20.187378 86.693 51.7149
20.523834 86.731 50.2726
20.860291 86.764 48.8499
21.196747 86.796 47.4452
21.533203 86.831 46.0579
21.869659 86.870 44.6861
22.206116 86.910 43.3257
22.542572 86.946 41.9734
22.879028 86.977 40.6306
23.215485 87.000 39.3054
23.551941 87.017 38.0108
23.888397 87.030 36.7593
24.224854 87.043 35.5555
24.561310 87.057 34.3926
24.897766 87.074 33.2545
25.234222 87.093 32.1237
25.570679 87.112 30.9899
25.907135 87.129 29.8553
26.243591 87.144 28.7319
26.580048 87.157 27.6339
26.916504 87.168 26.5682
27.252960 87.182 25.5297
27.589417 87.198 24.5033
27.925873 87.217 23.4719
28.262329 87.236 22.4268
28.598785 87.250 21.3723
28.935242 87.257 20.3247
29.271698 87.258 19.3038
29.608154 87.254 18.3232
29.944611 87.249 17.3848
30.281067 87.246 16.4783
30.617523 87.247 15.5878
30.953979 87.249 14.6997
31.290436 87.252 13.8080
31.626892 87.254 12.9139
31.963348 87.254 12.0220
32.299805 87.252 11.1357
32.636261 87.248 10.2557
32.972717 87.243 9.3812
33.309174 87.235 8.5132
33.645630 87.225 7.6562
33.982086 87.213 6.8174
34.318542 87.200 6.0021
34.654999 87.188 5.2108
34.991455 87.177 4.4371
35.327911 87.169 3.6716
35.664368 87.163 2.9062
36.000824 87.157 2.1383
36.337280 87.150 1.3712
36.673737 87.143 0.6107
37.010193 87.134 -0.1396
37.346649 87.124 -0.8807
37.683105 87.114 -1.6173
38.019562 87.103 -2.3530
38.356018 87.089 -3.0867
38.692474 87.072 -3.8116
39.028931 87.053 -4.5196
39.365387 87.033 -5.2059
39.701843 87.013 -5.8735
40.038300 86.995 -6.5309
40.374756 86.976 -7.1864
40.711212 86.957 -7.8419
41.047668 86.937 -8.4921
41.384125 86.916 -9.1289
41.720581 86.895 -9.7502
42.057037 86.878 -10.3641
42.393494 86.863 -10.9856
42.729950 86.849 -11.6262
43.066406 86.834 -12.2843
43.402863 86.816 -12.9445
43.739319 86.796 -13.5865
44.075775 86.776 -14.2007
44.412231 86.760 -14.7964
44.748688 86.747 -15.3969
45.085144 86.735 -16.0212
45.421600 86.718 -16.6658
45.758057 86.694 -17.2987
46.094513 86.664 -17.8755
46.430969 86.635 -18.3678
46.767426 86.615 -18.7882
47.103882 86.610 -19.1932
47.440338 86.620 -19.6569
47.776794 86.633 -20.2300
48.113251 86.638 -20.9102
48.449707 86.625 -21.6413
48.786163 86.594 -22.3423
49.122620 86.550 -22.9471
49.459076 86.505 -23.4369
49.795532 86.470 -23.8458
50.131989 86.446 -24.2380
50.468445 86.432 -24.6705
50.804901 86.418 -25.1641
51.141357 86.399 -25.7001
51.477814 86.372 -26.2386
51.814270 86.340 -26.7444
52.150726 86.307 -27.2045
52.487183 86.278 -27.6304
52.823639 86.257 -28.0470
53.160095 86.240 -28.4770
53.496552 86.228 -28.9323
53.833008 86.216 -29.4128
54.169464 86.202 -29.9122
54.505920 86.185 -30.4205
54.842377 86.165 -30.9270
55.178833 86.141 -31.4188
55.515289 86.115 -31.8829
55.851746 86.088 -32.3114
56.188202 86.064 -32.7055
56.524658 86.044 -33.0776
56.861115 86.029 -33.4462
57.197571 86.016 -33.8265
57.534027 86.004 -34.2227
57.870483 85.990 -34.6266
58.206940 85.973 -35.0239
58.543396 85.956 -35.4044
58.879852 85.940 -35.7700
59.216309 85.928 -36.1354
59.552765 85.919 -36.5207
59.889221 85.911 -36.9404
60.225677 85.900 -37.3953
60.562134 85.885 -37.8712
60.898590 85.863 -38.3456
61.235046 85.837 -38.7985
61.571503 85.810 -39.2195
61.907959 85.783 -39.6115
62.244415 85.760 -39.9855
62.580872 85.739 -40.3541
62.917328 85.722 -40.7255
63.253784 85.706 -41.1023
63.590240 85.692 -41.4849
63.926697 85.680 -41.8754
64.263153 85.669 -42.2788
64.599609 85.660 -42.6996
64.936066 85.649 -43.1364
65.272522 85.635 -43.5785
65.608978 85.616 -44.0085
65.945435 85.595 -44.4098
66.281891 85.573 -44.7744
66.618347 85.554 -45.1083
66.954803 85.538 -45.4281
67.291260 85.526 -45.7531
67.627716 85.516 -46.0955
67.964172 85.505 -46.4565
68.300629 85.491 -46.8282
68.637085 85.475 -47.1993
68.973541 85.457 -47.5620
69.309998 85.438 -47.9131
69.646454 85.419 -48.2524
69.982910 85.400 -48.5806
70.319366 85.382 -48.8981
70.655823 85.365 -49.2078
70.992279 85.352 -49.5181
71.328735 85.341 -49.8422
71.665192 85.332 -50.1926
72.001648 85.322 -50.5732
72.338104 85.307 -50.9746
72.674561 85.287 -51.3759
73.011017 85.262 -51.7534
73.347473 85.237 -52.0927
73.683929 85.214 -52.3959
74.020386 85.197 -52.6807
74.356842 85.186 -52.9713
74.693298 85.177 -53.2860
75.029755 85.168 -53.6293
75.366211 85.157 -53.9912
75.702667 85.141 -54.3547
76.039124 85.122 -54.7047
76.375580 85.101 -55.0352
76.712036 85.081 -55.3494
77.048492 85.062 -55.6562
77.384949 85.044 -55.9642
77.721405 85.027 -56.2777
78.057861 85.010 -56.5964
78.394318 84.992 -56.9171
78.730774 84.973 -57.2366
79.067230 84.954 -57.5522
79.403687 84.934 -57.8628
79.740143 84.915 -58.1677
80.076599 84.895 -58.4671
80.413055 84.877 -58.7626
80.749512 84.859 -59.0568
81.085968 84.841 -59.3524
81.422424 84.824 -59.6510
81.758881 84.807 -59.9510
82.095337 84.789 -60.2493
82.431793 84.771 -60.5425
82.768250 84.754 -60.8299
83.104706 84.738 -61.1145
83.441162 84.722 -61.4012
83.777618 84.706 -61.6934
84.114075 84.689 -61.9902
84.450531 84.671 -62.2869
84.786987 84.652 -62.5765
85.123444 84.632 -62.8552
85.459900 84.614 -63.1240
85.796356 84.597 -63.3883
86.132812 84.582 -63.6547
86.469269 84.568 -63.9268
86.805725 84.554 -64.2030
87.142181 84.539 -64.4788
87.478638 84.525 -64.7495
87.815094 84.511 -65.0142
88.151550 84.497 -65.2751
88.488007 84.484 -65.5366
88.824463 84.470 -65.8011
89.160919 84.455 -66.0681
89.497375 84.439 -66.3341
89.833832 84.421 -66.5961
90.170288 84.402 -66.8529
90.506744 84.383 -67.1056
90.843201 84.363 -67.3557
91.179657 84.343 -67.6034
91.516113 84.324 -67.8473
91.852570 84.304 -68.0858
92.189026 84.286 -68.3198
92.525482 84.269 -68.5533
92.861938 84.253 -68.7915
93.198395 84.238 -69.0378
93.534851 84.223 -69.2904
93.871307 84.206 -69.5431
94.207764 84.188 -69.7879
94.544220 84.169 -70.0199
94.880676 84.152 -70.2401
95.217133 84.137 -70.4558
95.553589 84.123 -70.6759
95.890045 84.111 -70.9070
96.226501 84.099 -71.1500
96.562958 84.086 -71.4003
96.899414 84.071 -71.6508
97.235870 84.055 -71.8961
97.572327 84.039 -72.1347
97.908783 84.024 -72.3689
98.245239 84.009 -72.6024
98.581696 83.994 -72.8379
98.918152 83.978 -73.0747
99.254608 83.961 -73.3094
99.591064 83.944 -73.5380
99.927521 83.926 -73.7575
100.263977 83.909 -73.9686
100.600433 83.893 -74.1750
100.936890 83.878 -74.3821
101.273346 83.863 -74.5941
101.609802 83.849 -74.8118
101.946259 83.834 -75.0327
102.282715 83.819 -75.2522
102.619171 83.804 -75.4666
102.955627 83.789 -75.6757
103.292084 83.775 -75.8828
103.628540 83.761 -76.0926
103.964996 83.748 -76.3080
104.301453 83.734 -76.5279
104.637909 83.719 -76.7471
104.974365 83.704 -76.9598
105.310822 83.688 -77.1635
105.647278 83.674 -77.3610
105.983734 83.661 -77.5591
106.320190 83.649 -77.7646
106.656647 83.637 -77.9802
106.993103 83.625 -78.2025
107.329559 83.610 -78.4244
107.666016 83.595 -78.6389
108.002472 83.579 -78.8428
108.338928 83.564 -79.0373
108.675385 83.550 -79.2265
109.011841 83.538 -79.4139
109.348297 83.526 -79.6010
109.684753 83.514 -79.7876
110.021210 83.502 -79.9736
110.357666 83.491 -80.1602
110.694122 83.479 -80.3484
111.030579 83.467 -80.5390
111.367035 83.454 -80.7300
111.703491 83.440 -80.9186
112.039948 83.427 -81.1036
112.376404 83.413 -81.2866
112.712860 83.399 -81.4713
113.049316 83.385 -81.6608
113.385773 83.370 -81.8546
113.722229 83.355 -82.0486
114.058685 83.340 -82.2390
114.395142 83.325 -82.4254
114.731598 83.312 -82.6132
115.068054 83.301 -82.8095
115.404510 83.289 -83.0170
115.740967 83.276 -83.2296
116.077423 83.263 -83.4341
116.413879 83.249 -83.6192
116.750336 83.240 -83.7850
117.086792 83.236 -83.9471
117.423248 83.237 -84.1307
117.759705 83.240 -84.3553
118.096161 83.240 -84.6223
118.432617 83.233 -84.9099
118.769073 83.218 -85.1830
119.105530 83.198 -85.4097
119.441986 83.178 -85.5789
119.778442 83.162 -85.7046
120.114899 83.152 -85.8186
120.451355 83.147 -85.9515
120.787811 83.142 -86.1174
121.124268 83.134 -86.3082
121.460724 83.120 -86.5023
121.797180 83.103 -86.6781
122.133636 83.085 -86.8264
122.470093 83.067 -86.9531
122.806549 83.051 -87.0717
123.143005 83.037 -87.1929
123.479462 83.022 -87.3180
123.815918 83.007 -87.4397
124.152374 82.993 -87.5514
124.488831 82.982 -87.6552
124.825287 82.975 -87.7648
125.161743 82.972 -87.8994
125.498199 82.970 -88.0726
125.834656 82.964 -88.2821
126.171112 82.952 -88.5092
126.507568 82.935 -88.7258
126.844025 82.913 -88.9092
127.180481 82.893 -89.0527
127.516937 82.877 -89.1700
127.853394 82.867 -89.2864
128.189850 82.860 -89.4247
128.526306 82.853 -89.5920
128.862762 82.843 -89.7776
129.199219 82.830 -89.9596
129.535675 82.815 -90.1205
129.872131 82.801 -90.2574
130.208588 82.791 -90.3837
130.545044 82.785 -90.5196
130.881500 82.781 -90.6787
131.217957 82.775 -90.8593
131.554413 82.766 -91.0472
131.890869 82.755 -91.2264
132.227325 82.744 -91.3906
132.563782 82.734 -91.5474
132.900238 82.726 -91.7109
133.236694 82.717 -91.8888
133.573151 82.706 -92.0743
133.909607 82.690 -92.2488
134.246063 82.673 -92.3939
134.582520 82.658 -92.5061
134.918976 82.647 -92.6021
135.255432 82.643 -92.7102
135.591888 82.640 -92.8529
