* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Jan 5, 2023 9:33:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Jan 5 B = Correct
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 64.329 18.7750
2.563477 66.220 14.9966
2.929687 67.982 10.9847
3.295898 69.622 6.8652
3.662109 71.148 2.7053
4.028320 72.568 -1.4576
4.394531 73.888 -5.6013
4.760742 75.114 -9.7114
5.126953 76.253 -13.7773
5.493164 77.311 -17.7910
5.859375 78.294 -21.7456
6.225586 79.206 -25.6353
6.591797 80.053 -29.4550
6.958007 80.840 -33.2003
7.324218 81.570 -36.8670
7.690429 82.248 -40.4517
8.056640 82.877 -43.9509
8.422851 83.461 -47.3619
8.789062 84.003 -50.6819
9.155273 84.507 -53.9089
9.521484 84.975 -57.0413
9.887695 85.411 -60.0786
10.253906 85.816 -63.0212
10.620117 86.195 -65.8705
10.986327 86.550 -68.6294
11.352538 86.882 -71.3018
11.718749 87.193 -73.8925
12.084960 87.487 -76.4071
12.451171 87.762 -78.8510
12.817382 88.022 -81.2293
13.183593 88.266 -83.5462
13.549804 88.495 -85.8046
13.916015 88.710 -88.0058
14.282226 88.910 -90.1493
14.648436 89.096 -92.2332
15.014647 89.269 -94.2542
15.380858 89.429 -96.2080
15.747069 89.578 -98.0902
16.113280 89.716 -99.8966
16.479491 89.844 -101.6240
16.845702 89.965 -103.2706
17.211913 90.080 -104.8371
17.578124 90.190 -106.3264
17.944335 90.296 -107.7445
18.310546 90.401 -109.0998
18.676756 90.503 -110.4032
19.042967 90.603 -111.6667
19.409178 90.701 -112.9032
19.775389 90.796 -114.1243
20.141600 90.888 -115.3398
20.507811 90.975 -116.5567
20.874022 91.057 -117.7785
21.240233 91.133 -119.0054
21.606444 91.202 -120.2344
21.972655 91.265 -121.4599
22.338866 91.320 -122.6752
22.705076 91.368 -123.8730
23.071287 91.410 -125.0465
23.437498 91.445 -126.1900
23.803709 91.476 -127.2995
24.169920 91.501 -128.3730
24.536131 91.524 -129.4101
24.902342 91.543 -130.4124
25.268553 91.561 -131.3825
25.634764 91.577 -132.3243
26.000975 91.593 -133.2419
26.367186 91.607 -134.1393
26.733396 91.621 -135.0202
27.099607 91.634 -135.8873
27.465818 91.645 -136.7423
27.832029 91.655 -137.5856
28.198240 91.663 -138.4167
28.564451 91.668 -139.2345
28.930662 91.672 -140.0375
29.296873 91.674 -140.8242
29.663084 91.674 -141.5936
30.029295 91.673 -142.3457
30.395506 91.672 -143.0809
30.761716 91.669 -143.8008
31.127927 91.667 -144.5074
31.494138 91.664 -145.2032
31.860349 91.662 -145.8906
32.226560 91.659 -146.5718
32.592771 91.656 -147.2484
32.958982 91.652 -147.9213
33.325193 91.647 -148.5906
33.691404 91.641 -149.2560
34.057615 91.634 -149.9164
34.423826 91.625 -150.5706
34.790036 91.615 -151.2171
35.156247 91.604 -151.8548
35.522458 91.592 -152.4825
35.888669 91.579 -153.0997
36.254880 91.566 -153.7062
36.621091 91.552 -154.3022
36.987302 91.538 -154.8883
37.353513 91.523 -155.4653
37.719724 91.509 -156.0341
38.085935 91.494 -156.5955
38.452145 91.479 -157.1503
38.818356 91.464 -157.6989
39.184567 91.448 -158.2413
39.550778 91.432 -158.7775
39.916989 91.415 -159.3071
40.283200 91.398 -159.8295
40.649411 91.380 -160.3440
41.015622 91.362 -160.8500
41.381833 91.343 -161.3472
41.748044 91.324 -161.8352
42.114255 91.305 -162.3142
42.480465 91.286 -162.7844
42.846676 91.266 -163.2466
43.212887 91.247 -163.7013
43.579098 91.228 -164.1494
43.945309 91.209 -164.5916
44.311520 91.189 -165.0284
44.677731 91.170 -165.4601
45.043942 91.151 -165.8868
45.410153 91.131 -166.3081
45.776364 91.111 -166.7235
46.142575 91.091 -167.1326
46.508785 91.070 -167.5347
46.874996 91.050 -167.9296
47.241207 91.030 -168.3171
47.607418 91.010 -168.6976
47.973629 90.990 -169.0717
48.339840 90.971 -169.4404
48.706051 90.953 -169.8051
49.072262 90.935 -170.1670
49.438473 90.918 -170.5274
49.804684 90.901 -170.8874
50.170895 90.884 -171.2477
50.537105 90.867 -171.6087
50.903316 90.849 -171.9702
51.269527 90.831 -172.3317
51.635738 90.812 -172.6925
52.001949 90.793 -173.0514
52.368160 90.772 -173.4075
52.734371 90.751 -173.7598
53.100582 90.730 -174.1073
53.466793 90.708 -174.4497
53.833004 90.685 -174.7866
54.199215 90.663 -175.1179
54.565425 90.640 -175.4438
54.931636 90.617 -175.7647
55.297847 90.594 -176.0808
55.664058 90.571 -176.3923
56.030269 90.548 -176.6995
56.396480 90.525 -177.0023
56.762691 90.502 -177.3008
57.128902 90.479 -177.5948
57.495113 90.456 -177.8843
57.861324 90.433 -178.1694
58.227535 90.410 -178.4503
58.593745 90.388 -178.7275
58.959956 90.366 -179.0016
59.326167 90.345 -179.2735
59.692378 90.323 -179.5441
60.058589 90.302 -179.8143
60.424800 90.282 179.9152
60.791011 90.261 179.6438
61.157222 90.240 179.3713
61.523433 90.219 179.0978
61.889644 90.197 178.8236
62.255854 90.175 178.5496
62.622065 90.153 178.2764
62.988276 90.129 178.0053
63.354487 90.105 177.7374
63.720698 90.081 177.4735
64.086909 90.056 177.2148
64.453120 90.031 176.9618
64.819331 90.006 176.7150
65.185542 89.981 176.4746
65.551753 89.956 176.2404
65.917964 89.932 176.0118
66.284174 89.908 175.7884
66.650385 89.885 175.5690
67.016596 89.862 175.3529
67.382807 89.840 175.1388
67.749018 89.818 174.9259
68.115229 89.797 174.7132
68.481440 89.776 174.5001
68.847651 89.755 174.2859
69.213862 89.735 174.0704
69.580073 89.714 173.8537
69.946284 89.693 173.6358
70.312494 89.672 173.4173
70.678705 89.651 173.1987
71.044916 89.629 172.9809
71.411127 89.606 172.7646
71.777338 89.584 172.5506
72.143549 89.560 172.3398
72.509760 89.537 172.1326
72.875971 89.514 171.9296
73.242182 89.491 171.7309
73.608393 89.467 171.5366
73.974604 89.444 171.3462
74.340814 89.422 171.1594
74.707025 89.400 170.9756
75.073236 89.378 170.7940
75.439447 89.356 170.6139
75.805658 89.334 170.4346
76.171869 89.313 170.2554
76.538080 89.292 170.0757
76.904291 89.271 169.8951
77.270502 89.249 169.7133
77.636713 89.228 169.5300
78.002924 89.206 169.3452
78.369134 89.184 169.1591
78.735345 89.162 168.9720
79.101556 89.140 168.7841
79.467767 89.117 168.5963
79.833978 89.094 168.4090
80.200189 89.070 168.2232
80.566400 89.045 168.0397
80.932611 89.020 167.8596
81.298822 88.995 167.6837
81.665033 88.969 167.5129
82.031244 88.943 167.3480
82.397454 88.917 167.1895
82.763665 88.891 167.0377
83.129876 88.865 166.8927
83.496087 88.839 166.7543
83.862298 88.814 166.6219
84.228509 88.789 166.4946
84.594720 88.766 166.3714
84.960931 88.743 166.2510
85.327142 88.722 166.1319
85.693353 88.702 166.0126
86.059563 88.683 165.8918
86.425774 88.664 165.7678
86.791985 88.647 165.6397
87.158196 88.630 165.5067
87.524407 88.614 165.3680
87.890618 88.597 165.2237
88.256829 88.581 165.0740
88.623040 88.563 164.9195
88.989251 88.545 164.7613
89.355462 88.525 164.6006
89.721673 88.504 164.4388
90.087883 88.482 164.2774
90.454094 88.459 164.1180
90.820305 88.434 163.9619
91.186516 88.409 163.8104
91.552727 88.383 163.6645
91.918938 88.357 163.5250
92.285149 88.331 163.3922
92.651360 88.305 163.2664
93.017571 88.280 163.1475
93.383782 88.255 163.0350
93.749993 88.231 162.9284
94.116203 88.207 162.8267
94.482414 88.185 162.7290
94.848625 88.164 162.6341
95.214836 88.143 162.5408
95.581047 88.124 162.4478
95.947258 88.105 162.3540
96.313469 88.087 162.2584
96.679680 88.069 162.1600
97.045891 88.052 162.0581
97.412102 88.035 161.9523
97.778313 88.018 161.8424
98.144523 88.000 161.7285
98.510734 87.983 161.6108
98.876945 87.965 161.4901
99.243156 87.946 161.3670
99.609367 87.926 161.2425
99.975578 87.906 161.1174
100.341789 87.885 160.9930
100.708000 87.864 160.8699
101.074211 87.842 160.7493
101.440422 87.819 160.6318
101.806633 87.796 160.5181
102.172843 87.773 160.4085
102.539054 87.750 160.3034
102.905265 87.727 160.2029
103.271476 87.704 160.1071
103.637687 87.681 160.0156
104.003898 87.659 159.9282
104.370109 87.637 159.8444
104.736320 87.615 159.7637
105.102531 87.594 159.6854
105.468742 87.573 159.6087
105.834953 87.552 159.5330
106.201163 87.532 159.4573
106.567374 87.513 159.3811
106.933585 87.494 159.3037
107.299796 87.475 159.2246
107.666007 87.457 159.1435
108.032218 87.439 159.0599
108.398429 87.421 158.9740
108.764640 87.403 158.8857
109.130851 87.386 158.7951
109.497062 87.368 158.7026
109.863272 87.350 158.6082
110.229483 87.333 158.5124
110.595694 87.315 158.4155
110.961905 87.296 158.3177
111.328116 87.277 158.2195
111.694327 87.258 158.1211
112.060538 87.238 158.0229
112.426749 87.218 157.9252
112.792960 87.197 157.8286
113.159171 87.176 157.7334
113.525382 87.154 157.6401
113.891592 87.131 157.5493
114.257803 87.108 157.4613
114.624014 87.085 157.3768
114.990225 87.061 157.2961
115.356436 87.038 157.2200
115.722647 87.014 157.1489
116.088858 86.991 157.0831
116.455069 86.968 157.0232
116.821280 86.945 156.9694
117.187491 86.923 156.9216
117.553702 86.902 156.8795
117.919912 86.882 156.8423
118.286123 86.863 156.8087
118.652334 86.845 156.7772
119.018545 86.828 156.7458
119.384756 86.813 156.7124
119.750967 86.799 156.6749
120.117178 86.785 156.6315
120.483389 86.773 156.5808
120.849600 86.760 156.5220
121.215811 86.748 156.4548
121.582022 86.735 156.3799
121.948232 86.721 156.2980
122.314443 86.707 156.2106
122.680654 86.692 156.1192
123.046865 86.677 156.0254
123.413076 86.661 155.9307
123.779287 86.644 155.8362
124.145498 86.627 155.7432
124.511709 86.609 155.6524
124.877920 86.591 155.5643
125.244131 86.573 155.4794
125.610342 86.555 155.3978
125.976552 86.536 155.3197
126.342763 86.518 155.2452
126.708974 86.499 155.1744
127.075185 86.481 155.1073
127.441396 86.462 155.0439
127.807607 86.443 154.9840
128.173818 86.425 154.9276
128.540029 86.406 154.8746
128.906240 86.387 154.8245
129.272451 86.369 154.7772
129.638662 86.351 154.7321
130.004872 86.333 154.6888
130.371083 86.315 154.6469
130.737294 86.298 154.6057
131.103505 86.281 154.5648
131.469716 86.265 154.5237
131.835927 86.249 154.4819
132.202138 86.233 154.4390
132.568349 86.217 154.3948
132.934560 86.202 154.3491
133.300771 86.188 154.3016
133.666981 86.173 154.2523
134.033192 86.158 154.2013
134.399403 86.144 154.1485
134.765614 86.130 154.0940
135.131825 86.115 154.0381
135.498036 86.101 153.9808
135.864247 86.087 153.9223
136.230458 86.072 153.8629
136.596669 86.058 153.8027
136.962880 86.044 153.7419
137.329091 86.029 153.6808
137.695301 86.015 153.6197
138.061512 86.000 153.5586
138.427723 85.985 153.4978
138.793934 85.970 153.4375
139.160145 85.955 153.3779
139.526356 85.939 153.3193
139.892567 85.924 153.2618
140.258778 85.908 153.2057
140.624989 85.891 153.1511
140.991200 85.875 153.0983
141.357411 85.858 153.0475
141.723621 85.841 152.9989
142.089832 85.823 152.9525
142.456043 85.805 152.9086
142.822254 85.787 152.8672
143.188465 85.769 152.8284
143.554676 85.751 152.7920
143.920887 85.733 152.7581
144.287098 85.715 152.7265
144.653309 85.697 152.6971
145.019520 85.679 152.6698
145.385731 85.661 152.6443
145.751941 85.644 152.6205
146.118152 85.627 152.5981
146.484363 85.610 152.5769
146.850574 85.594 152.5566
147.216785 85.578 152.5369
147.582996 85.562 152.5176
147.949207 85.547 152.4984
148.315418 85.532 152.4789
148.681629 85.518 152.4590
149.047840 85.504 152.4382
149.414051 85.490 152.4164
149.780261 85.476 152.3931
150.146472 85.463 152.3683
150.512683 85.451 152.3416
150.878894 85.438 152.3127
151.245105 85.426 152.2818
