* Measurement data measured by REW V5.20.4
* Source: Lyra L
* Format: 
* Dated: Jul 11, 2022 3:32:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Lyra L
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
20.055882 69.125
20.201214 69.418
20.347601 69.489
20.495049 69.516
20.643564 69.550
20.793156 69.570
20.943832 69.590
21.095600 69.609
21.248468 69.627
21.402443 69.643
21.557533 69.656
21.713749 69.666
21.871096 69.674
22.029583 69.679
22.189219 69.683
22.350010 69.685
22.511967 69.686
22.675098 69.686
22.839411 69.685
23.004915 69.684
23.171618 69.684
23.339529 69.684
23.508657 69.684
23.679010 69.685
23.850597 69.685
24.023428 69.684
24.197512 69.683
24.372856 69.681
24.549473 69.679
24.727369 69.678
24.906553 69.676
25.087036 69.675
25.268827 69.673
25.451937 69.672
25.636372 69.671
25.822144 69.671
26.009262 69.670
26.197737 69.670
26.387577 69.671
26.578793 69.671
26.771393 69.672
26.965389 69.673
27.160791 69.674
27.357609 69.674
27.555853 69.674
27.755533 69.674
27.956661 69.674
28.159246 69.675
28.363300 69.676
28.568832 69.677
28.775854 69.678
28.984375 69.679
29.194408 69.679
29.405964 69.678
29.619051 69.677
29.833683 69.675
30.049870 69.672
30.267624 69.669
30.486956 69.665
30.707876 69.661
30.930399 69.657
31.154533 69.653
31.380293 69.650
31.607687 69.646
31.836729 69.642
32.067432 69.636
32.299805 69.629
32.533863 69.621
32.769615 69.611
33.007076 69.601
33.246258 69.590
33.487175 69.579
33.729836 69.568
33.974255 69.557
34.220448 69.545
34.468422 69.533
34.718193 69.520
34.969776 69.508
35.223183 69.496
35.478424 69.486
35.735516 69.477
35.994469 69.468
36.255299 69.460
36.518021 69.453
36.782646 69.445
37.049187 69.436
37.317661 69.428
37.588081 69.418
37.860458 69.408
38.134811 69.398
38.411152 69.387
38.689495 69.376
38.969856 69.364
39.252247 69.352
39.536686 69.340
39.823185 69.327
40.111759 69.315
40.402424 69.302
40.695198 69.289
40.990093 69.277
41.287125 69.264
41.586308 69.250
41.887657 69.237
42.191193 69.223
42.496929 69.209
42.804878 69.194
43.115059 69.179
43.427490 69.163
43.742184 69.147
44.059158 69.131
44.378429 69.115
44.700012 69.098
45.023926 69.081
45.350189 69.064
45.678814 69.047
46.009823 69.029
46.343227 69.010
46.679050 68.992
47.017307 68.972
47.358013 68.953
47.701187 68.935
48.046848 68.916
48.395016 68.899
48.745705 68.882
49.098938 68.866
49.454731 68.851
49.813099 68.836
50.174065 68.822
50.537647 68.807
50.903862 68.792
51.272732 68.777
51.644276 68.761
52.018513 68.744
52.395462 68.726
52.775143 68.708
53.157574 68.690
53.542774 68.671
53.930767 68.652
54.321571 68.633
54.715206 68.613
55.111694 68.593
55.511055 68.574
55.913311 68.554
56.318481 68.533
56.726589 68.513
57.137653 68.493
57.551697 68.473
57.968739 68.453
58.388805 68.434
58.811916 68.415
59.238091 68.397
59.667355 68.377
60.099728 68.357
60.535236 68.335
60.973900 68.312
61.415741 68.289
61.860786 68.265
62.309055 68.242
62.760571 68.219
63.215359 68.197
63.673443 68.174
64.134850 68.152
64.599594 68.129
65.067711 68.106
65.539215 68.084
66.014137 68.061
66.492500 68.039
66.974335 68.017
67.459656 67.996
67.948494 67.976
68.440880 67.955
68.936829 67.934
69.436371 67.912
69.939537 67.888
70.446350 67.862
70.956833 67.835
71.471016 67.806
71.988922 67.777
72.510582 67.747
73.036026 67.719
73.565277 67.691
74.098358 67.664
74.635307 67.638
75.176147 67.612
75.720901 67.586
76.269608 67.561
76.822289 67.536
77.378975 67.510
77.939697 67.484
78.504478 67.458
79.073357 67.431
79.646355 67.404
80.223503 67.375
80.804832 67.347
81.390381 67.317
81.980171 67.288
82.574234 67.258
83.172600 67.229
83.775299 67.200
84.382370 67.172
84.993843 67.144
85.609741 67.116
86.230103 67.088
86.854965 67.059
87.484352 67.029
88.118301 66.999
88.756844 66.969
89.400009 66.939
90.047836 66.909
90.700363 66.878
91.357613 66.847
92.019630 66.815
92.686440 66.783
93.358086 66.752
94.034599 66.720
94.716011 66.689
95.402359 66.658
96.093681 66.627
96.790016 66.597
97.491394 66.566
98.197853 66.536
98.909431 66.504
99.626167 66.473
100.348099 66.441
101.075264 66.409
101.807693 66.377
102.545433 66.344
103.288521 66.312
104.036995 66.279
104.790894 66.247
105.550255 66.216
106.315117 66.184
107.085518 66.153
107.861504 66.121
108.643112 66.088
109.430382 66.055
110.223358 66.021
111.022079 65.988
111.826591 65.955
112.636932 65.923
113.453148 65.892
114.275276 65.860
115.103363 65.827
115.937447 65.793
116.777580 65.758
117.623802 65.722
