* Measurement data measured by REW V5.20.4
* Source: Lyra R
* Format: 
* Dated: Jul 11, 2022 3:32:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Lyra R
* Measurement: A times B
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
20.055882 68.832
20.201214 69.120
20.347601 69.185
20.495049 69.207
20.643564 69.235
20.793156 69.250
20.943832 69.265
21.095600 69.279
21.248468 69.292
21.402443 69.304
21.557533 69.313
21.713749 69.320
21.871096 69.324
22.029583 69.326
22.189219 69.326
22.350010 69.326
22.511967 69.324
22.675098 69.322
22.839411 69.319
23.004915 69.316
23.171618 69.314
23.339529 69.313
23.508657 69.312
23.679010 69.311
23.850597 69.310
24.023428 69.308
24.197512 69.306
24.372856 69.303
24.549473 69.300
24.727369 69.297
24.906553 69.294
25.087036 69.291
25.268827 69.288
25.451937 69.285
25.636372 69.283
25.822144 69.280
26.009262 69.278
26.197737 69.275
26.387577 69.274
26.578793 69.272
26.771393 69.271
26.965389 69.270
27.160791 69.268
27.357609 69.266
27.555853 69.264
27.755533 69.262
27.956661 69.260
28.159246 69.258
28.363300 69.257
28.568832 69.256
28.775854 69.254
28.984375 69.253
29.194408 69.251
29.405964 69.248
29.619051 69.244
29.833683 69.239
30.049870 69.234
30.267624 69.229
30.486956 69.223
30.707876 69.217
30.930399 69.211
31.154533 69.205
31.380293 69.200
31.607687 69.194
31.836729 69.189
32.067432 69.182
32.299805 69.174
32.533863 69.165
32.769615 69.156
33.007076 69.145
33.246258 69.135
33.487175 69.125
33.729836 69.115
33.974255 69.104
34.220448 69.092
34.468422 69.079
34.718193 69.066
34.969776 69.052
35.223183 69.038
35.478424 69.024
35.735516 69.011
35.994469 68.997
36.255299 68.984
36.518021 68.971
36.782646 68.958
37.049187 68.945
37.317661 68.931
37.588081 68.918
37.860458 68.905
38.134811 68.892
38.411152 68.878
38.689495 68.864
38.969856 68.850
39.252247 68.836
39.536686 68.821
39.823185 68.805
40.111759 68.789
40.402424 68.773
40.695198 68.756
40.990093 68.739
41.287125 68.722
41.586308 68.704
41.887657 68.687
42.191193 68.669
42.496929 68.651
42.804878 68.632
43.115059 68.613
43.427490 68.594
43.742184 68.575
44.059158 68.556
44.378429 68.536
44.700012 68.517
45.023926 68.497
45.350189 68.477
45.678814 68.457
46.009823 68.438
46.343227 68.418
46.679050 68.398
47.017307 68.379
47.358013 68.360
47.701187 68.341
48.046848 68.323
48.395016 68.305
48.745705 68.287
49.098938 68.269
49.454731 68.251
49.813099 68.233
50.174065 68.216
50.537647 68.198
50.903862 68.180
51.272732 68.163
51.644276 68.146
52.018513 68.129
52.395462 68.112
52.775143 68.095
53.157574 68.077
53.542774 68.057
53.930767 68.037
54.321571 68.015
54.715206 67.992
55.111694 67.967
55.511055 67.942
55.913311 67.917
56.318481 67.892
56.726589 67.868
57.137653 67.844
57.551697 67.822
57.968739 67.800
58.388805 67.779
58.811916 67.758
59.238091 67.736
59.667355 67.713
60.099728 67.689
60.535236 67.662
60.973900 67.634
61.415741 67.606
61.860786 67.577
62.309055 67.549
62.760571 67.522
63.215359 67.495
63.673443 67.468
64.134850 67.442
64.599594 67.416
65.067711 67.390
65.539215 67.364
66.014137 67.338
66.492500 67.313
66.974335 67.287
67.459656 67.260
67.948494 67.232
68.440880 67.203
68.936829 67.172
69.436371 67.140
69.939537 67.109
70.446350 67.078
70.956833 67.048
71.471016 67.019
71.988922 66.992
72.510582 66.966
73.036026 66.940
73.565277 66.915
74.098358 66.889
74.635307 66.863
75.176147 66.836
75.720901 66.809
76.269608 66.781
76.822289 66.753
77.378975 66.724
77.939697 66.694
78.504478 66.664
79.073357 66.633
79.646355 66.602
80.223503 66.571
80.804832 66.540
81.390381 66.508
81.980171 66.476
82.574234 66.444
83.172600 66.411
83.775299 66.379
84.382370 66.346
84.993843 66.314
85.609741 66.282
86.230103 66.250
86.854965 66.219
87.484352 66.188
88.118301 66.157
88.756844 66.126
89.400009 66.094
90.047836 66.061
90.700363 66.028
91.357613 65.993
92.019630 65.959
92.686440 65.925
93.358086 65.891
94.034599 65.858
94.716011 65.825
95.402359 65.793
96.093681 65.761
96.790016 65.728
97.491394 65.695
98.197853 65.662
98.909431 65.628
99.626167 65.593
100.348099 65.558
101.075264 65.522
101.807693 65.486
102.545433 65.450
103.288521 65.415
104.036995 65.380
104.790894 65.346
105.550255 65.314
106.315117 65.281
107.085518 65.248
107.861504 65.213
108.643112 65.176
109.430382 65.138
110.223358 65.100
111.022079 65.063
111.826591 65.028
112.636932 64.993
113.453148 64.960
114.275276 64.927
115.103363 64.895
115.937447 64.862
116.777580 64.830
117.623802 64.797
118.476151 64.764
119.334679 64.730
120.199425 64.696
121.070442 64.661
121.947769 64.626
122.831451 64.591
123.721542 64.554
124.618080 64.517
125.521111 64.478
126.430687 64.438
127.346855 64.399
128.269669 64.361
129.199158 64.324
130.135391 64.288
131.078400 64.255
132.028244 64.223
132.984970 64.191
133.948639 64.160
134.919281 64.127
135.896957 64.092
136.881729 64.055
137.873627 64.017
138.872711 63.980
139.879044 63.944
140.892670 63.908
141.913635 63.874
142.942001 63.841
143.977814 63.808
145.021133 63.776
146.072021 63.744
147.130524 63.713
148.196686 63.681
149.270584 63.648
150.352264 63.613
151.441772 63.578
152.539185 63.542
153.644547 63.508
154.757919 63.474
155.879364 63.441
157.008926 63.409
158.146683 63.378
159.292679 63.347
160.446976 63.315
161.609634 63.283
162.780731 63.252
163.960312 63.221
165.148438 63.191
166.345169 63.159
167.550568 63.126
168.764709 63.091
169.987656 63.056
171.219452 63.020
172.460175 62.985
173.709885 62.951
174.968658 62.917
176.236557 62.881
177.513641 62.845
178.799973 62.808
180.095627 62.770
181.400681 62.732
182.715179 62.695
184.039215 62.659
185.372833 62.625
186.716125 62.592
188.069153 62.559
189.431976 62.525
190.804672 62.490
192.187317 62.457
193.579987 62.425
194.982742 62.394
196.395660 62.361
197.818817 62.327
199.252289 62.291
200.696152 62.255
202.150482 62.220
203.615341 62.187
205.090820 62.154
206.576996 62.121
208.073944 62.088
209.581726 62.054
211.100449 62.021
212.630173 61.988
214.170975 61.956
215.722946 61.925
217.286163 61.896
218.860703 61.868
220.446655 61.840
222.044098 61.813
223.653122 61.786
225.273804 61.759
226.906235 61.731
228.550491 61.703
230.206665 61.675
231.874832 61.649
233.555099 61.622
235.247543 61.597
236.952240 61.572
238.669296 61.546
240.398788 61.520
242.140823 61.493
243.895477 61.466
245.662842 61.441
247.443008 61.417
249.236084 61.393
251.042145 61.368
252.861298 61.341
254.693634 61.314
256.539246 61.288
258.398224 61.261
260.270691 61.235
262.156708 61.209
264.056396 61.182
265.969849 61.156
267.897186 61.131
269.838470 61.107
271.793823 61.082
273.763367 61.057
275.747162 61.031
277.745331 61.005
279.757996 60.980
281.785248 60.955
283.827179 60.929
285.883911 60.904
287.955536 60.877
290.042175 60.851
292.143951 60.825
294.260956 60.799
296.393280 60.773
