* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Jan 14, 2023 7:26:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Jan 14 B = Correct
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 69.982 4.2292
2.563477 71.730 0.2165
2.929687 73.370 -4.0475
3.295898 74.902 -8.4388
3.662109 76.326 -12.8860
4.028320 77.646 -17.3460
4.394531 78.868 -21.7910
4.760742 79.997 -26.2014
5.126953 81.039 -30.5620
5.493164 82.000 -34.8602
5.859375 82.884 -39.0854
6.225586 83.697 -43.2282
6.591797 84.445 -47.2806
6.958007 85.132 -51.2357
7.324218 85.763 -55.0880
7.690429 86.343 -58.8329
8.056640 86.874 -62.4673
8.422851 87.362 -65.9889
8.789062 87.810 -69.3965
9.155273 88.221 -72.6901
9.521484 88.599 -75.8701
9.887695 88.946 -78.9380
10.253906 89.265 -81.8958
10.620117 89.558 -84.7460
10.986327 89.828 -87.4915
11.352538 90.077 -90.1356
11.718749 90.306 -92.6818
12.084960 90.518 -95.1338
12.451171 90.714 -97.4953
12.817382 90.894 -99.7700
13.183593 91.062 -101.9617
13.549804 91.217 -104.0740
13.916015 91.361 -106.1106
14.282226 91.495 -108.0750
14.648436 91.619 -109.9703
15.014647 91.734 -111.7999
15.380858 91.841 -113.5668
15.747069 91.941 -115.2739
16.113280 92.034 -116.9238
16.479491 92.120 -118.5192
16.845702 92.201 -120.0623
17.211913 92.275 -121.5555
17.578124 92.344 -123.0008
17.944335 92.407 -124.4002
18.310546 92.464 -125.7558
18.676756 92.514 -127.0696
19.042967 92.559 -128.3437
19.409178 92.597 -129.5805
19.775389 92.628 -130.7821
20.141600 92.654 -131.9507
20.507811 92.674 -133.0883
20.874022 92.689 -134.1966
21.240233 92.700 -135.2771
21.606444 92.708 -136.3309
21.972655 92.713 -137.3589
22.338866 92.716 -138.3620
22.705076 92.717 -139.3408
23.071287 92.717 -140.2962
23.437498 92.715 -141.2289
23.803709 92.713 -142.1396
24.169920 92.709 -143.0294
24.536131 92.705 -143.8989
24.902342 92.699 -144.7489
25.268553 92.692 -145.5799
25.634764 92.685 -146.3926
26.000975 92.677 -147.1874
26.367186 92.668 -147.9647
26.733396 92.659 -148.7251
27.099607 92.649 -149.4689
27.465818 92.639 -150.1966
27.832029 92.628 -150.9087
28.198240 92.617 -151.6056
28.564451 92.606 -152.2879
28.930662 92.594 -152.9560
29.296873 92.582 -153.6107
29.663084 92.569 -154.2522
30.029295 92.556 -154.8811
30.395506 92.542 -155.4978
30.761716 92.528 -156.1026
31.127927 92.514 -156.6959
31.494138 92.499 -157.2779
31.860349 92.484 -157.8489
32.226560 92.469 -158.4094
32.592771 92.453 -158.9596
32.958982 92.436 -159.4999
33.325193 92.419 -160.0309
33.691404 92.402 -160.5530
34.057615 92.385 -161.0667
34.423826 92.367 -161.5725
34.790036 92.349 -162.0708
35.156247 92.330 -162.5618
35.522458 92.312 -163.0458
35.888669 92.293 -163.5229
36.254880 92.273 -163.9932
36.621091 92.254 -164.4567
36.987302 92.234 -164.9133
37.353513 92.214 -165.3632
37.719724 92.193 -165.8064
38.085935 92.173 -166.2431
38.452145 92.152 -166.6735
38.818356 92.131 -167.0979
39.184567 92.111 -167.5166
39.550778 92.090 -167.9299
39.916989 92.069 -168.3383
40.283200 92.047 -168.7418
40.649411 92.026 -169.1408
41.015622 92.005 -169.5356
41.381833 91.983 -169.9261
41.748044 91.962 -170.3124
42.114255 91.940 -170.6946
42.480465 91.918 -171.0727
42.846676 91.896 -171.4465
43.212887 91.873 -171.8159
43.579098 91.850 -172.1810
43.945309 91.828 -172.5415
44.311520 91.805 -172.8974
44.677731 91.782 -173.2486
45.043942 91.758 -173.5950
45.410153 91.735 -173.9366
45.776364 91.711 -174.2734
46.142575 91.688 -174.6053
46.508785 91.664 -174.9326
46.874996 91.641 -175.2552
47.241207 91.617 -175.5732
47.607418 91.594 -175.8869
47.973629 91.571 -176.1962
48.339840 91.548 -176.5015
48.706051 91.525 -176.8027
49.072262 91.503 -177.1001
49.438473 91.480 -177.3937
49.804684 91.457 -177.6837
50.170895 91.435 -177.9701
50.537105 91.412 -178.2530
50.903316 91.389 -178.5324
51.269527 91.366 -178.8085
51.635738 91.343 -179.0813
52.001949 91.320 -179.3510
52.368160 91.297 -179.6175
52.734371 91.275 -179.8811
53.100582 91.252 179.8582
53.466793 91.229 179.6003
53.833004 91.206 179.3450
54.199215 91.183 179.0923
54.565425 91.160 178.8422
54.931636 91.138 178.5945
55.297847 91.115 178.3493
55.664058 91.092 178.1065
56.030269 91.070 177.8662
56.396480 91.047 177.6284
56.762691 91.025 177.3929
57.128902 91.003 177.1598
57.495113 90.980 176.9288
57.861324 90.958 176.6998
58.227535 90.936 176.4727
58.593745 90.914 176.2469
58.959956 90.892 176.0225
59.326167 90.871 175.7991
59.692378 90.849 175.5766
60.058589 90.827 175.3549
60.424800 90.805 175.1339
60.791011 90.783 174.9138
61.157222 90.761 174.6947
61.523433 90.738 174.4769
61.889644 90.716 174.2606
62.255854 90.693 174.0460
62.622065 90.670 173.8334
62.988276 90.646 173.6230
63.354487 90.623 173.4148
63.720698 90.600 173.2089
64.086909 90.577 173.0052
64.453120 90.554 172.8038
64.819331 90.531 172.6045
65.185542 90.508 172.4073
65.551753 90.486 172.2119
65.917964 90.463 172.0185
66.284174 90.441 171.8269
66.650385 90.419 171.6371
67.016596 90.396 171.4492
67.382807 90.374 171.2632
67.749018 90.351 171.0790
68.115229 90.329 170.8969
68.481440 90.306 170.7166
68.847651 90.284 170.5382
69.213862 90.261 170.3618
69.580073 90.239 170.1872
69.946284 90.216 170.0143
70.312494 90.194 169.8431
70.678705 90.172 169.6734
71.044916 90.149 169.5052
71.411127 90.127 169.3385
71.777338 90.105 169.1731
72.143549 90.083 169.0090
72.509760 90.061 168.8464
72.875971 90.039 168.6850
73.242182 90.017 168.5251
73.608393 89.996 168.3666
73.974604 89.974 168.2095
74.340814 89.953 168.0539
74.707025 89.932 167.8996
75.073236 89.910 167.7466
75.439447 89.889 167.5950
75.805658 89.867 167.4448
76.171869 89.845 167.2960
76.538080 89.823 167.1487
76.904291 89.801 167.0032
77.270502 89.779 166.8596
77.636713 89.756 166.7180
78.002924 89.734 166.5788
78.369134 89.711 166.4421
78.735345 89.689 166.3079
79.101556 89.666 166.1761
79.467767 89.644 166.0468
79.833978 89.623 165.9196
80.200189 89.601 165.7942
80.566400 89.581 165.6703
80.932611 89.560 165.5476
81.298822 89.540 165.4258
81.665033 89.520 165.3044
82.031244 89.500 165.1833
82.397454 89.480 165.0624
82.763665 89.461 164.9416
83.129876 89.441 164.8206
83.496087 89.422 164.6997
83.862298 89.403 164.5789
84.228509 89.383 164.4582
84.594720 89.364 164.3377
84.960931 89.344 164.2176
85.327142 89.325 164.0979
85.693353 89.306 163.9788
86.059563 89.287 163.8602
86.425774 89.268 163.7422
86.791985 89.249 163.6250
87.158196 89.230 163.5085
87.524407 89.212 163.3928
87.890618 89.193 163.2777
88.256829 89.174 163.1634
88.623040 89.155 163.0497
88.989251 89.136 162.9365
89.355462 89.116 162.8239
89.721673 89.096 162.7117
90.087883 89.076 162.6000
90.454094 89.055 162.4887
90.820305 89.034 162.3781
91.186516 89.013 162.2681
91.552727 88.992 162.1588
91.918938 88.971 162.0504
92.285149 88.950 161.9430
92.651360 88.929 161.8365
93.017571 88.908 161.7310
93.383782 88.888 161.6265
93.749993 88.868 161.5229
94.116203 88.848 161.4203
94.482414 88.829 161.3187
94.848625 88.809 161.2180
95.214836 88.790 161.1182
95.581047 88.770 161.0194
95.947258 88.751 160.9215
96.313469 88.732 160.8245
96.679680 88.713 160.7282
97.045891 88.694 160.6325
97.412102 88.674 160.5373
97.778313 88.655 160.4426
98.144523 88.636 160.3483
98.510734 88.616 160.2543
98.876945 88.597 160.1609
99.243156 88.577 160.0682
99.609367 88.557 159.9761
99.975578 88.538 159.8849
100.341789 88.518 159.7945
100.708000 88.498 159.7051
101.074211 88.479 159.6165
101.440422 88.459 159.5286
101.806633 88.440 159.4414
102.172843 88.421 159.3549
102.539054 88.402 159.2689
102.905265 88.383 159.1833
103.271476 88.365 159.0983
103.637687 88.346 159.0139
104.003898 88.327 158.9302
104.370109 88.309 158.8472
104.736320 88.290 158.7651
105.102531 88.271 158.6839
105.468742 88.253 158.6036
105.834953 88.234 158.5242
106.201163 88.215 158.4456
106.567374 88.196 158.3678
106.933585 88.178 158.2907
107.299796 88.159 158.2142
107.666007 88.140 158.1383
108.032218 88.122 158.0630
108.398429 88.104 157.9881
108.764640 88.086 157.9137
109.130851 88.068 157.8397
109.497062 88.050 157.7662
109.863272 88.033 157.6932
110.229483 88.015 157.6205
110.595694 87.998 157.5484
110.961905 87.980 157.4767
111.328116 87.963 157.4056
111.694327 87.946 157.3351
112.060538 87.928 157.2653
112.426749 87.910 157.1964
112.792960 87.892 157.1282
113.159171 87.874 157.0609
113.525382 87.856 156.9945
113.891592 87.838 156.9288
114.257803 87.820 156.8638
114.624014 87.802 156.7992
114.990225 87.784 156.7349
115.356436 87.767 156.6706
115.722647 87.749 156.6063
116.088858 87.732 156.5417
116.455069 87.715 156.4770
116.821280 87.699 156.4119
117.187491 87.682 156.3467
117.553702 87.666 156.2813
117.919912 87.649 156.2161
118.286123 87.633 156.1513
118.652334 87.616 156.0872
119.018545 87.599 156.0240
119.384756 87.582 155.9621
119.750967 87.565 155.9018
120.117178 87.547 155.8432
120.483389 87.530 155.7864
120.849600 87.512 155.7314
121.215811 87.494 155.6782
121.582022 87.477 155.6263
121.948232 87.459 155.5757
122.314443 87.442 155.5258
122.680654 87.425 155.4763
123.046865 87.409 155.4268
123.413076 87.393 155.3768
123.779287 87.377 155.3262
124.145498 87.362 155.2747
124.511709 87.347 155.2221
124.877920 87.332 155.1686
125.244131 87.317 155.1143
125.610342 87.303 155.0593
125.976552 87.288 155.0040
126.342763 87.273 154.9487
126.708974 87.258 154.8939
127.075185 87.243 154.8399
127.441396 87.228 154.7869
127.807607 87.213 154.7353
128.173818 87.197 154.6851
128.540029 87.181 154.6364
128.906240 87.165 154.5891
129.272451 87.149 154.5430
129.638662 87.133 154.4980
130.004872 87.116 154.4539
130.371083 87.100 154.4103
130.737294 87.084 154.3671
131.103505 87.068 154.3239
131.469716 87.052 154.2808
131.835927 87.037 154.2375
132.202138 87.021 154.1941
132.568349 87.005 154.1506
132.934560 86.990 154.1070
133.300771 86.975 154.0634
133.666981 86.959 154.0200
134.033192 86.944 153.9769
134.399403 86.929 153.9343
134.765614 86.914 153.8922
135.131825 86.899 153.8506
135.498036 86.885 153.8098
135.864247 86.870 153.7695
136.230458 86.856 153.7297
136.596669 86.842 153.6903
136.962880 86.828 153.6511
137.329091 86.815 153.6118
137.695301 86.801 153.5722
138.061512 86.788 153.5322
138.427723 86.775 153.4915
138.793934 86.762 153.4503
139.160145 86.749 153.4085
139.526356 86.736 153.3663
139.892567 86.723 153.3240
140.258778 86.709 153.2819
140.624989 86.695 153.2404
140.991200 86.681 153.1996
141.357411 86.667 153.1602
141.723621 86.652 153.1221
142.089832 86.637 153.0856
142.456043 86.622 153.0507
142.822254 86.606 153.0173
143.188465 86.591 152.9853
143.554676 86.576 152.9545
143.920887 86.560 152.9246
144.287098 86.545 152.8952
144.653309 86.530 152.8660
145.019520 86.515 152.8368
145.385731 86.500 152.8073
145.751941 86.486 152.7773
146.118152 86.471 152.7467
146.484363 86.456 152.7156
146.850574 86.442 152.6841
147.216785 86.427 152.6523
147.582996 86.412 152.6205
147.949207 86.398 152.5889
148.315418 86.383 152.5578
148.681629 86.368 152.5275
149.047840 86.354 152.4980
149.414051 86.339 152.4697
149.780261 86.325 152.4424
150.146472 86.310 152.4162
150.512683 86.296 152.3910
150.878894 86.282 152.3666
151.245105 86.268 152.3430
151.611316 86.254 152.3198
151.977527 86.241 152.2970
