* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: May 7, 2023 8:28:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = KZ D-Fi R B = CorrectV2
* Measurement: KZ D-Fi L
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.018738 54.059 79.5478
2.355194 58.512 66.4760
2.691650 62.115 54.0298
3.028107 65.062 42.1829
3.364563 67.487 30.9914
3.701019 69.491 20.5312
4.037476 71.155 10.8651
4.373932 72.552 2.0203
4.710388 73.743 -6.0275
5.046844 74.779 -13.3571
5.383301 75.698 -20.0874
5.719757 76.524 -26.3482
6.056213 77.270 -32.2476
6.392670 77.944 -37.8526
6.729126 78.548 -43.1882
7.065582 79.088 -48.2542
7.402039 79.571 -53.0448
7.738495 80.004 -57.5633
8.074951 80.394 -61.8238
8.411407 80.746 -65.8419
8.747864 81.062 -69.6233
9.084320 81.346 -73.1603
9.420776 81.603 -76.4402
9.757233 81.842 -79.4647
10.093689 82.073 -82.2675
10.430145 82.301 -84.9156
10.766602 82.526 -87.4890
11.103058 82.740 -90.0456
11.439514 82.932 -92.5924
11.775970 83.094 -95.0809
12.112427 83.225 -97.4318
12.448883 83.333 -99.5778
12.785339 83.435 -101.5054
13.121796 83.541 -103.2699
13.458252 83.659 -104.9717
13.794708 83.781 -106.7017
14.131165 83.893 -108.4915
14.467621 83.985 -110.2987
14.804077 84.050 -112.0349
15.140533 84.096 -113.6177
15.476990 84.136 -115.0180
15.813446 84.185 -116.2753
16.149902 84.247 -117.4719
16.486359 84.319 -118.6812
16.822815 84.390 -119.9270
17.159271 84.450 -121.1798
17.495728 84.500 -122.3891
17.832184 84.544 -123.5244
18.168640 84.591 -124.5986
18.505096 84.647 -125.6577
18.841553 84.706 -126.7453
19.178009 84.758 -127.8699
19.514465 84.791 -128.9989
19.850922 84.800 -130.0800
20.187378 84.788 -131.0736
20.523834 84.766 -131.9744
20.860291 84.745 -132.8089
21.196747 84.732 -133.6132
21.533203 84.728 -134.4102
21.869659 84.732 -135.2020
22.206116 84.741 -135.9835
22.542572 84.754 -136.7605
22.879028 84.768 -137.5559
23.215485 84.781 -138.3955
23.551941 84.787 -139.2855
23.888397 84.781 -140.1993
24.224854 84.761 -141.0862
24.561310 84.731 -141.8958
24.897766 84.696 -142.6027
25.234222 84.662 -143.2141
25.570679 84.635 -143.7558
25.907135 84.614 -144.2499
26.243591 84.599 -144.7032
26.580048 84.592 -145.1170
26.916504 84.595 -145.5078
27.252960 84.612 -145.9198
27.589417 84.639 -146.4099
27.925873 84.665 -147.0128
28.262329 84.678 -147.7098
28.598785 84.667 -148.4242
28.935242 84.633 -149.0514
29.271698 84.586 -149.5082
29.608154 84.545 -149.7773
29.944611 84.525 -149.9213
30.281067 84.534 -150.0541
30.617523 84.565 -150.2849
30.953979 84.605 -150.6691
31.290436 84.640 -151.1951
31.626892 84.659 -151.8042
31.963348 84.660 -152.4257
32.299805 84.648 -153.0048
32.636261 84.629 -153.5158
32.972717 84.610 -153.9602
33.309174 84.595 -154.3581
33.645630 84.586 -154.7375
33.982086 84.583 -155.1251
34.318542 84.582 -155.5395
34.654999 84.581 -155.9850
34.991455 84.576 -156.4508
35.327911 84.565 -156.9154
35.664368 84.551 -157.3577
36.000824 84.534 -157.7663
36.337280 84.517 -158.1434
36.673737 84.502 -158.4990
37.010193 84.487 -158.8414
37.346649 84.472 -159.1708
37.683105 84.455 -159.4820
38.019562 84.439 -159.7726
38.356018 84.424 -160.0483
38.692474 84.410 -160.3201
39.028931 84.395 -160.5927
39.365387 84.378 -160.8558
39.701843 84.359 -161.0870
40.038300 84.340 -161.2691
40.374756 84.330 -161.4103
40.711212 84.331 -161.5520
41.047668 84.341 -161.7523
41.384125 84.355 -162.0521
41.720581 84.359 -162.4461
42.057037 84.348 -162.8783
42.393494 84.320 -163.2684
42.729950 84.284 -163.5548
43.066406 84.255 -163.7316
43.402863 84.240 -163.8546
43.739319 84.242 -164.0098
44.075775 84.252 -164.2605
44.412231 84.257 -164.6094
44.748688 84.248 -164.9993
45.085144 84.224 -165.3489
45.421600 84.195 -165.6034
45.758057 84.172 -165.7666
46.094513 84.163 -165.8976
46.430969 84.166 -166.0701
46.767426 84.172 -166.3230
47.103882 84.170 -166.6367
47.440338 84.155 -166.9490
47.776794 84.132 -167.1984
48.113251 84.111 -167.3665
48.449707 84.099 -167.4905
48.786163 84.098 -167.6358
49.122620 84.099 -167.8469
49.459076 84.093 -168.1119
49.795532 84.075 -168.3681
50.131989 84.048 -168.5445
50.468445 84.027 -168.6163
50.804901 84.021 -168.6329
51.141357 84.036 -168.6952
51.477814 84.060 -168.8920
51.814270 84.078 -169.2395
52.150726 84.075 -169.6662
52.487183 84.050 -170.0541
52.823639 84.015 -170.3116
53.160095 83.988 -170.4357
53.496552 83.984 -170.5225
53.833008 83.998 -170.7064
54.169464 84.011 -171.0651
54.505920 84.001 -171.5551
54.842377 83.953 -172.0202
55.178833 83.876 -172.2694
55.515289 83.799 -172.1886
55.851746 83.758 -171.8316
56.188202 83.776 -171.4242
56.524658 83.844 -171.2473
56.861115 83.926 -171.4705
57.197571 83.976 -172.0546
57.534027 83.966 -172.7746
57.870483 83.894 -173.3283
58.206940 83.791 -173.4779
58.543396 83.707 -173.1804
58.879852 83.684 -172.6386
59.216309 83.731 -172.2023
59.552765 83.818 -172.1584
59.889221 83.894 -172.5665
60.225677 83.918 -173.2488
60.562134 83.880 -173.9049
60.898590 83.803 -174.2735
61.235046 83.732 -174.2786
61.571503 83.706 -174.0866
61.907959 83.733 -174.0096
62.244415 83.783 -174.2930
62.580872 83.805 -174.9482
62.917328 83.764 -175.7410
63.253784 83.659 -176.3183
63.590240 83.530 -176.3996
63.926697 83.441 -175.9677
64.263153 83.442 -175.3374
64.599609 83.533 -174.9908
64.936066 83.661 -175.2626
65.272522 83.751 -176.1404
65.608978 83.751 -177.2991
65.945435 83.654 -178.2746
66.281891 83.498 -178.6716
66.618347 83.355 -178.3579
66.954803 83.290 -177.5626
67.291260 83.327 -176.7567
67.627716 83.432 -176.3482
67.964172 83.542 -176.4463
68.300629 83.609 -176.8672
68.637085 83.622 -177.3067
68.973541 83.602 -177.5314
69.309998 83.585 -177.5003
69.646454 83.595 -177.3595
69.982910 83.631 -177.3136
70.319366 83.668 -177.4678
70.655823 83.678 -177.7624
70.992279 83.655 -178.0319
71.328735 83.610 -178.1286
71.665192 83.571 -178.0295
72.001648 83.558 -177.8558
72.338104 83.568 -177.7855
72.674561 83.581 -177.9220
73.011017 83.573 -178.2229
73.347473 83.531 -178.5338
73.683929 83.468 -178.6945
74.020386 83.408 -178.6481
74.356842 83.376 -178.4848
74.693298 83.378 -178.3825
75.029755 83.397 -178.4790
75.366211 83.407 -178.7776
75.702667 83.391 -179.1525
76.039124 83.354 -179.4389
76.375580 83.315 -179.5467
76.712036 83.299 -179.5231
77.048492 83.314 -179.5183
77.384949 83.348 -179.6698
77.721405 83.375 -179.9945
78.057861 83.377 179.6268
78.394318 83.354 179.3690
78.730774 83.329 179.3397
79.067230 83.327 179.4946
79.403687 83.360 179.6584
79.740143 83.412 179.6552
80.076599 83.450 179.4506
80.413055 83.450 179.1952
80.749512 83.409 179.1410
81.085968 83.361 179.4777
81.422424 83.355 -179.8288
81.758881 83.426 -179.0775
82.095337 83.564 -178.6761
82.431793 83.720 -178.8851
82.768250 83.828 -179.6714
83.104706 83.846 179.2509
83.441162 83.767 178.2728
83.777618 83.621 177.7237
84.114075 83.465 177.7259
84.450531 83.352 178.1313
84.786987 83.304 178.6077
85.123444 83.304 178.8473
85.459900 83.311 178.7416
85.796356 83.289 178.4012
86.132812 83.229 178.0463
86.469269 83.145 177.8657
86.805725 83.069 177.9160
87.142181 83.023 178.1043
87.478638 83.016 178.2619
87.815094 83.034 178.2550
88.151550 83.055 178.0551
88.488007 83.061 177.7327
88.824463 83.049 177.4001
89.160919 83.023 177.1487
89.497375 82.995 177.0150
89.833832 82.975 176.9807
90.170288 82.967 176.9988
90.506744 82.971 177.0222
90.843201 82.984 177.0201
91.179657 83.001 176.9793
91.516113 83.017 176.8979
91.852570 83.028 176.7827
92.189026 83.032 176.6495
92.525482 83.028 176.5217
92.861938 83.015 176.4259
93.198395 82.997 176.3806
93.534851 82.979 176.3873
93.871307 82.965 176.4280
94.207764 82.956 176.4722
94.544220 82.952 176.4894
94.880676 82.948 176.4622
95.217133 82.943 176.3906
95.553589 82.932 176.2892
95.890045 82.916 176.1793
96.226501 82.896 176.0795
96.562958 82.875 176.0003
96.899414 82.856 175.9425
97.235870 82.840 175.8990
97.572327 82.830 175.8592
97.908783 82.824 175.8120
98.245239 82.822 175.7484
98.581696 82.824 175.6623
98.918152 82.826 175.5504
99.254608 82.827 175.4131
99.591064 82.826 175.2550
99.927521 82.820 175.0869
100.263977 82.807 174.9258
100.600433 82.787 174.7936
100.936890 82.761 174.7124
101.273346 82.734 174.6982
101.609802 82.709 174.7528
101.946259 82.692 174.8604
102.282715 82.686 174.9872
102.619171 82.691 175.0908
102.955627 82.702 175.1322
103.292084 82.714 175.0916
103.628540 82.720 174.9766
103.964996 82.715 174.8209
104.301453 82.697 174.6734
104.637909 82.671 174.5777
104.974365 82.644 174.5533
105.310822 82.625 174.5845
105.647278 82.616 174.6259
105.983734 82.619 174.6245
106.320190 82.625 174.5465
106.656647 82.629 174.3943
106.993103 82.623 174.2047
107.329559 82.608 174.0286
107.666016 82.588 173.9044
108.002472 82.569 173.8395
108.338928 82.558 173.8096
108.675385 82.554 173.7771
109.011841 82.553 173.7163
109.348297 82.552 173.6290
109.684753 82.546 173.5400
110.021210 82.536 173.4781
110.357666 82.527 173.4549
110.694122 82.522 173.4552
111.030579 82.522 173.4472
111.367035 82.525 173.4035
111.703491 82.525 173.3191
112.039948 82.518 173.2146
112.376404 82.504 173.1222
112.712860 82.486 173.0656
113.049316 82.467 173.0461
113.385773 82.453 173.0443
113.722229 82.442 173.0345
114.058685 82.433 173.0027
114.395142 82.423 172.9540
114.731598 82.410 172.9064
115.068054 82.398 172.8759
115.404510 82.389 172.8627
115.740967 82.385 172.8496
116.077423 82.387 172.8115
116.413879 82.390 172.7332
116.750336 82.390 172.6214
117.086792 82.383 172.5059
117.423248 82.370 172.4268
117.759705 82.356 172.4138
118.096161 82.347 172.4667
118.432617 82.351 172.5475
118.769073 82.368 172.5921
119.105530 82.391 172.5401
119.441986 82.409 172.3690
119.778442 82.408 172.1154
120.114899 82.381 171.8701
120.451355 82.330 171.7461
120.787811 82.269 171.8286
121.124268 82.222 172.1246
121.460724 82.206 172.5423
121.797180 82.229 172.9214
122.133636 82.279 173.1085
122.470093 82.333 173.0317
122.806549 82.368 172.7303
123.143005 82.368 172.3275
123.479462 82.336 171.9713
123.815918 82.283 171.7686
124.152374 82.232 171.7444
124.488831 82.196 171.8397
124.825287 82.182 171.9540
125.161743 82.183 172.0042
125.498199 82.188 171.9631
125.834656 82.189 171.8582
126.171112 82.182 171.7396
126.507568 82.171 171.6441
126.844025 82.162 171.5762
127.180481 82.156 171.5164
127.516937 82.153 171.4443
127.853394 82.148 171.3591
128.189850 82.140 171.2800
128.526306 82.129 171.2299
128.862762 82.120 171.2149
129.199219 82.115 171.2159
129.535675 82.115 171.2012
129.872131 82.116 171.1513
130.208588 82.110 171.0770
130.545044 82.097 171.0181
130.881500 82.077 171.0197
131.217957 82.060 171.1005
131.554413 82.054 171.2329
131.890869 82.062 171.3519
132.227325 82.081 171.3893
132.563782 82.098 171.3152
132.900238 82.103 171.1577
133.236694 82.091 170.9899
133.573151 82.065 170.8907
133.909607 82.035 170.9005
134.246063 82.015 170.9963
134.582520 82.011 171.1048
134.918976 82.018 171.1462
135.255432 82.025 171.0846
135.591888 82.020 170.9508
135.928345 81.999 170.8249
136.264801 81.965 170.7901
136.601257 81.933 170.8836
136.937714 81.917 171.0712
137.274170 81.922 171.2633
