* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: May 7, 2023 8:38:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.018738 56.383 84.9545
2.355194 60.645 69.6478
2.691650 64.168 56.2644
3.028107 67.100 44.1102
3.364563 69.554 32.9010
3.701019 71.619 22.5198
4.037476 73.365 12.9130
4.373932 74.853 4.0421
4.710388 76.131 -4.1380
5.046844 77.241 -11.6858
5.383301 78.213 -18.6691
5.719757 79.071 -25.1557
6.056213 79.836 -31.2054
6.392670 80.519 -36.8664
6.729126 81.135 -42.1773
7.065582 81.691 -47.1724
7.402039 82.197 -51.8850
7.738495 82.658 -56.3473
8.074951 83.080 -60.5879
8.411407 83.465 -64.6277
8.747864 83.817 -68.4800
9.084320 84.137 -72.1530
9.420776 84.428 -75.6541
9.757233 84.693 -78.9922
10.093689 84.934 -82.1761
10.430145 85.151 -85.2100
10.766602 85.346 -88.0902
11.103058 85.521 -90.8068
11.439514 85.681 -93.3536
11.775970 85.834 -95.7406
12.112427 85.983 -98.0027
12.448883 86.133 -100.1949
12.785339 86.279 -102.3726
13.121796 86.412 -104.5643
13.458252 86.525 -106.7523
13.794708 86.611 -108.8741
14.131165 86.673 -110.8475
14.467621 86.723 -112.6109
14.804077 86.776 -114.1626
15.140533 86.848 -115.5757
15.476990 86.941 -116.9726
15.813446 87.048 -118.4674
16.149902 87.152 -120.1087
16.486359 87.234 -121.8566
16.822815 87.284 -123.6030
17.159271 87.303 -125.2223
17.495728 87.305 -126.6277
17.832184 87.309 -127.8107
18.168640 87.332 -128.8436
18.505096 87.381 -129.8422
18.841553 87.448 -130.9060
19.178009 87.515 -132.0739
19.514465 87.564 -133.3176
19.850922 87.586 -134.5691
20.187378 87.580 -135.7610
20.523834 87.556 -136.8585
20.860291 87.531 -137.8712
21.196747 87.513 -138.8414
21.533203 87.505 -139.8163
21.869659 87.501 -140.8190
22.206116 87.493 -141.8351
22.542572 87.473 -142.8189
22.879028 87.442 -143.7168
23.215485 87.408 -144.4954
23.551941 87.383 -145.1628
23.888397 87.374 -145.7716
24.224854 87.385 -146.3984
24.561310 87.408 -147.1091
24.897766 87.430 -147.9273
25.234222 87.440 -148.8241
25.570679 87.434 -149.7329
25.907135 87.413 -150.5807
26.243591 87.384 -151.3222
26.580048 87.359 -151.9592
26.916504 87.343 -152.5368
27.252960 87.337 -153.1151
27.589417 87.333 -153.7345
27.925873 87.324 -154.3918
28.262329 87.302 -155.0417
28.598785 87.266 -155.6189
28.935242 87.225 -156.0715
29.271698 87.189 -156.3904
29.608154 87.171 -156.6219
29.944611 87.176 -156.8566
30.281067 87.202 -157.1963
30.617523 87.237 -157.7132
30.953979 87.265 -158.4212
31.290436 87.270 -159.2692
31.626892 87.244 -160.1593
31.963348 87.189 -160.9796
32.299805 87.117 -161.6441
32.636261 87.043 -162.1248
32.972717 86.983 -162.4635
33.309174 86.947 -162.7524
33.645630 86.932 -163.0909
33.982086 86.928 -163.5407
34.318542 86.921 -164.1058
34.654999 86.904 -164.7413
34.991455 86.872 -165.3812
35.327911 86.828 -165.9665
35.664368 86.780 -166.4619
36.000824 86.733 -166.8579
36.337280 86.694 -167.1653
36.673737 86.666 -167.4100
37.010193 86.653 -167.6297
37.346649 86.654 -167.8694
37.683105 86.664 -168.1698
38.019562 86.675 -168.5500
38.356018 86.680 -168.9964
38.692474 86.674 -169.4670
39.028931 86.657 -169.9136
39.365387 86.637 -170.3091
39.701843 86.617 -170.6631
40.038300 86.601 -171.0126
40.374756 86.584 -171.3911
40.711212 86.561 -171.7983
41.047668 86.526 -172.1928
41.384125 86.481 -172.5172
41.720581 86.435 -172.7388
42.057037 86.400 -172.8796
42.393494 86.382 -173.0105
42.729950 86.375 -173.2082
43.066406 86.370 -173.5053
43.402863 86.355 -173.8691
43.739319 86.327 -174.2256
44.075775 86.293 -174.5108
44.412231 86.263 -174.7171
44.748688 86.246 -174.9007
45.085144 86.242 -175.1432
45.421600 86.238 -175.4923
45.758057 86.223 -175.9256
46.094513 86.189 -176.3628
46.430969 86.142 -176.7161
46.767426 86.095 -176.9474
47.103882 86.060 -177.0944
47.440338 86.042 -177.2461
47.776794 86.034 -177.4827
48.113251 86.023 -177.8218
48.449707 85.998 -178.2094
48.786163 85.957 -178.5570
49.122620 85.910 -178.7991
49.459076 85.869 -178.9340
49.795532 85.845 -179.0232
50.131989 85.835 -179.1488
50.468445 85.831 -179.3596
50.804901 85.822 -179.6450
51.141357 85.803 -179.9499
51.477814 85.777 179.7833
51.814270 85.750 179.5759
52.150726 85.730 179.4032
52.487183 85.718 179.2162
52.823639 85.710 178.9807
53.160095 85.699 178.7011
53.496552 85.680 178.4153
53.833008 85.656 178.1638
54.169464 85.633 177.9577
54.505920 85.616 177.7667
54.842377 85.605 177.5387
55.178833 85.592 177.2377
55.515289 85.568 176.8758
55.851746 85.527 176.5157
56.188202 85.470 176.2425
56.524658 85.408 176.1169
56.861115 85.359 176.1338
57.197571 85.333 176.2130
57.534027 85.334 176.2336
57.870483 85.347 176.0974
58.206940 85.355 175.7843
58.543396 85.339 175.3665
58.879852 85.294 174.9763
59.216309 85.230 174.7447
59.552765 85.166 174.7334
59.889221 85.125 174.8962
60.225677 85.119 175.0963
60.562134 85.142 175.1815
60.898590 85.172 175.0734
61.235046 85.188 174.8101
61.571503 85.178 174.5199
61.907959 85.147 174.3444
62.244415 85.115 174.3513
62.580872 85.105 174.4844
62.917328 85.125 174.5873
63.253784 85.163 174.4990
63.590240 85.192 174.1580
63.926697 85.186 173.6450
64.263153 85.131 173.1469
64.599609 85.037 172.8675
64.936066 84.933 172.9265
65.272522 84.853 173.2916
65.608978 84.821 173.7860
65.945435 84.836 174.1817
66.281891 84.877 174.3185
66.618347 84.916 174.1683
66.954803 84.931 173.8151
67.291260 84.917 173.3892
67.627716 84.877 173.0023
67.964172 84.823 172.7143
68.300629 84.769 172.5340
68.637085 84.721 172.4395
68.973541 84.686 172.3971
69.309998 84.667 172.3672
69.646454 84.663 172.3030
69.982910 84.672 172.1563
70.319366 84.685 171.8987
70.655823 84.691 171.5430
70.992279 84.682 171.1472
71.328735 84.657 170.7924
71.665192 84.625 170.5420
72.001648 84.596 170.4066
72.338104 84.579 170.3406
72.674561 84.574 170.2753
73.011017 84.574 170.1693
73.347473 84.569 170.0373
73.683929 84.558 169.9354
74.020386 84.546 169.9121
74.356842 84.543 169.9590
74.693298 84.558 169.9989
75.029755 84.585 169.9278
75.366211 84.609 169.6847
75.702667 84.610 169.3011
76.039124 84.574 168.8970
76.375580 84.506 168.6259
76.712036 84.425 168.5956
77.048492 84.358 168.8050
77.384949 84.323 169.1334
77.721405 84.326 169.4034
78.057861 84.349 169.4797
78.394318 84.368 169.3391
78.730774 84.366 169.0690
79.067230 84.337 168.8085
79.403687 84.294 168.6700
79.740143 84.255 168.6805
80.076599 84.237 168.7701
80.413055 84.242 168.8185
80.749512 84.260 168.7291
81.085968 84.273 168.4841
81.422424 84.266 168.1495
81.758881 84.237 167.8337
82.095337 84.194 167.6288
82.431793 84.150 167.5634
82.768250 84.120 167.5926
83.104706 84.105 167.6296
83.441162 84.101 167.6010
83.777618 84.094 167.4899
84.114075 84.076 167.3400
84.450531 84.046 167.2227
84.786987 84.010 167.1898
85.123444 83.981 167.2401
85.459900 83.966 167.3197
85.796356 83.963 167.3565
86.132812 83.965 167.3062
86.469269 83.961 167.1774
86.805725 83.946 167.0220
87.142181 83.923 166.8983
87.478638 83.897 166.8344
87.815094 83.878 166.8115
88.151550 83.866 166.7823
88.488007 83.858 166.7069
88.824463 83.846 166.5842
89.160919 83.825 166.4525
89.497375 83.796 166.3626
89.833832 83.767 166.3405
90.170288 83.747 166.3663
90.506744 83.738 166.3849
90.843201 83.737 166.3437
91.179657 83.735 166.2275
91.516113 83.725 166.0677
91.852570 83.706 165.9171
92.189026 83.685 165.8110
92.525482 83.668 165.7405
92.861938 83.658 165.6589
93.198395 83.651 165.5202
93.534851 83.636 165.3206
93.871307 83.606 165.1127
94.207764 83.562 164.9800
94.544220 83.514 164.9860
94.880676 83.477 165.1271
95.217133 83.463 165.3243
95.553589 83.472 165.4639
95.890045 83.492 165.4632
96.226501 83.507 165.3170
96.562958 83.503 165.0941
96.899414 83.481 164.8930
97.235870 83.447 164.7857
97.572327 83.415 164.7822
97.908783 83.393 164.8346
98.245239 83.382 164.8771
98.581696 83.375 164.8707
98.918152 83.364 164.8233
99.254608 83.347 164.7733
99.591064 83.327 164.7546
99.927521 83.310 164.7691
100.263977 83.299 164.7862
100.600433 83.293 164.7681
100.936890 83.285 164.7004
101.273346 83.270 164.6042
101.609802 83.247 164.5229
101.946259 83.221 164.4915
102.282715 83.199 164.5124
102.619171 83.185 164.5534
102.955627 83.180 164.5691
103.292084 83.177 164.5310
103.628540 83.171 164.4455
103.964996 83.159 164.3472
104.301453 83.141 164.2749
104.637909 83.122 164.2465
104.974365 83.109 164.2485
105.310822 83.102 164.2462
105.647278 83.099 164.2076
105.983734 83.095 164.1238
106.320190 83.085 164.0145
106.656647 83.067 163.9158
106.993103 83.044 163.8591
107.329559 83.021 163.8550
107.666016 83.003 163.8896
108.002472 82.991 163.9342
108.338928 82.985 163.9621
108.675385 82.981 163.9609
109.011841 82.975 163.9348
109.348297 82.968 163.8967
109.684753 82.958 163.8580
110.021210 82.947 163.8221
110.357666 82.935 163.7852
110.694122 82.922 163.7435
111.030579 82.906 163.6981
111.367035 82.889 163.6566
111.703491 82.871 163.6272
112.039948 82.852 163.6117
112.376404 82.835 163.6029
112.712860 82.818 163.5895
113.049316 82.801 163.5665
113.385773 82.782 163.5431
113.722229 82.760 163.5400
114.058685 82.739 163.5765
114.395142 82.726 163.6508
114.731598 82.723 163.7303
115.068054 82.732 163.7604
115.404510 82.746 163.6926
115.740967 82.755 163.5159
116.077423 82.747 163.2732
116.413879 82.720 163.0486
116.750336 82.678 162.9308
117.086792 82.635 162.9662
117.423248 82.607 163.1282
117.759705 82.603 163.3226
118.096161 82.619 163.4356
118.432617 82.643 163.3963
118.769073 82.656 163.2159
119.105530 82.646 162.9805
119.441986 82.615 162.8048
119.778442 82.573 162.7717
120.114899 82.538 162.8877
120.451355 82.523 163.0784
120.787811 82.530 163.2308
121.124268 82.548 163.2584
121.460724 82.563 163.1464
121.797180 82.561 162.9538
122.133636 82.541 162.7743
122.470093 82.508 162.6854
122.806549 82.476 162.7087
123.143005 82.454 162.8045
123.479462 82.448 162.8998
123.815918 82.451 162.9333
124.152374 82.453 162.8890
124.488831 82.448 162.7989
124.825287 82.433 162.7188
125.161743 82.413 162.6940
125.498199 82.395 162.7341
125.834656 82.384 162.8092
126.171112 82.384 162.8698
126.507568 82.388 162.8759
126.844025 82.391 162.8190
127.180481 82.386 162.7249
127.516937 82.371 162.6379
127.853394 82.350 162.5956
128.189850 82.330 162.6086
128.526306 82.314 162.6564
128.862762 82.306 162.7000
129.199219 82.302 162.7061
129.535675 82.296 162.6676
129.872131 82.284 162.6076
130.208588 82.266 162.5643
130.545044 82.245 162.5667
130.881500 82.228 162.6147
131.217957 82.220 162.6772
131.554413 82.218 162.7114
131.890869 82.219 162.6912
132.227325 82.214 162.6272
132.563782 82.202 162.5618
132.900238 82.184 162.5423
133.236694 82.169 162.5871
133.573151 82.164 162.6661
133.909607 82.172 162.7125
134.246063 82.186 162.6625
134.582520 82.193 162.5000
134.918976 82.182 162.2753
135.255432 82.147 162.0876
135.591888 82.098 162.0363
135.928345 82.049 162.1663
136.264801 82.020 162.4354
136.601257 82.020 162.7285
136.937714 82.043 162.9175
137.274170 82.074 162.9310
137.610626 82.094 162.7888
137.947083 82.091 162.5842
138.283539 82.067 162.4296
138.619995 82.033 162.3972
138.956451 82.006 162.4827
139.292908 81.995 162.6133
139.629364 81.998 162.6972
139.965820 82.006 162.6807
140.302277 82.006 162.5780
