* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Jan 15, 2023 9:20:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Jan 15 B = Correct
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 67.075 -2.8890
2.563477 68.751 -7.0278
2.929687 70.329 -11.3800
3.295898 71.803 -15.8365
3.662109 73.172 -20.3329
4.028320 74.439 -24.8295
4.394531 75.608 -29.3001
4.760742 76.686 -33.7257
5.126953 77.678 -38.0915
5.493164 78.588 -42.3851
5.859375 79.424 -46.5958
6.225586 80.189 -50.7144
6.591797 80.890 -54.7329
6.958007 81.531 -58.6447
7.324218 82.118 -62.4442
7.690429 82.654 -66.1275
8.056640 83.143 -69.6916
8.422851 83.590 -73.1349
8.789062 83.999 -76.4567
9.155273 84.372 -79.6576
9.521484 84.713 -82.7387
9.887695 85.025 -85.7023
10.253906 85.311 -88.5509
10.620117 85.572 -91.2880
10.986327 85.812 -93.9169
11.352538 86.032 -96.4418
11.718749 86.234 -98.8665
12.084960 86.420 -101.1955
12.451171 86.592 -103.4328
12.817382 86.749 -105.5828
13.183593 86.895 -107.6493
13.549804 87.030 -109.6366
13.916015 87.154 -111.5483
14.282226 87.269 -113.3883
14.648436 87.376 -115.1601
15.014647 87.475 -116.8671
15.380858 87.567 -118.5128
15.747069 87.652 -120.1001
16.113280 87.732 -121.6321
16.479491 87.805 -123.1118
16.845702 87.874 -124.5417
17.211913 87.937 -125.9243
17.578124 87.996 -127.2620
17.944335 88.049 -128.5570
18.310546 88.096 -129.8112
18.676756 88.138 -131.0268
19.042967 88.174 -132.2057
19.409178 88.204 -133.3501
19.775389 88.228 -134.4618
20.141600 88.246 -135.5428
20.507811 88.259 -136.5948
20.874022 88.266 -137.6194
21.240233 88.270 -138.6177
21.606444 88.271 -139.5907
21.972655 88.269 -140.5392
22.338866 88.265 -141.4640
22.705076 88.260 -142.3655
23.071287 88.253 -143.2446
23.437498 88.246 -144.1018
23.803709 88.237 -144.9377
24.169920 88.227 -145.7532
24.536131 88.217 -146.5489
24.902342 88.205 -147.3255
25.268553 88.193 -148.0835
25.634764 88.181 -148.8236
26.000975 88.167 -149.5464
26.367186 88.154 -150.2526
26.733396 88.140 -150.9426
27.099607 88.126 -151.6171
27.465818 88.112 -152.2767
27.832029 88.098 -152.9219
28.198240 88.084 -153.5535
28.564451 88.069 -154.1717
28.930662 88.054 -154.7773
29.296873 88.039 -155.3705
29.663084 88.023 -155.9519
30.029295 88.007 -156.5217
30.395506 87.991 -157.0802
30.761716 87.974 -157.6278
31.127927 87.957 -158.1645
31.494138 87.940 -158.6906
31.860349 87.923 -159.2063
32.226560 87.905 -159.7120
32.592771 87.887 -160.2078
32.958982 87.868 -160.6943
33.325193 87.849 -161.1718
33.691404 87.831 -161.6410
34.057615 87.811 -162.1027
34.423826 87.792 -162.5578
34.790036 87.773 -163.0071
35.156247 87.754 -163.4515
35.522458 87.734 -163.8920
35.888669 87.714 -164.3291
36.254880 87.693 -164.7632
36.621091 87.672 -165.1942
36.987302 87.650 -165.6217
37.353513 87.627 -166.0448
37.719724 87.603 -166.4623
38.085935 87.578 -166.8727
38.452145 87.551 -167.2743
38.818356 87.523 -167.6659
39.184567 87.495 -168.0463
39.550778 87.466 -168.4148
39.916989 87.437 -168.7713
40.283200 87.408 -169.1162
40.649411 87.379 -169.4503
41.015622 87.350 -169.7749
41.381833 87.322 -170.0913
41.748044 87.295 -170.4011
42.114255 87.268 -170.7056
42.480465 87.242 -171.0058
42.846676 87.216 -171.3026
43.212887 87.190 -171.5966
43.579098 87.165 -171.8880
43.945309 87.139 -172.1770
44.311520 87.114 -172.4635
44.677731 87.089 -172.7473
45.043942 87.064 -173.0283
45.410153 87.038 -173.3064
45.776364 87.013 -173.5814
46.142575 86.988 -173.8533
46.508785 86.962 -174.1220
46.874996 86.937 -174.3874
47.241207 86.912 -174.6496
47.607418 86.888 -174.9085
47.973629 86.863 -175.1644
48.339840 86.838 -175.4171
48.706051 86.814 -175.6667
49.072262 86.789 -175.9133
49.438473 86.765 -176.1568
49.804684 86.741 -176.3974
50.170895 86.716 -176.6349
50.537105 86.692 -176.8695
50.903316 86.668 -177.1011
51.269527 86.643 -177.3299
51.635738 86.619 -177.5558
52.001949 86.594 -177.7790
52.368160 86.570 -177.9996
52.734371 86.545 -178.2176
53.100582 86.521 -178.4333
53.466793 86.497 -178.6466
53.833004 86.472 -178.8577
54.199215 86.448 -179.0666
54.565425 86.424 -179.2732
54.931636 86.400 -179.4776
55.297847 86.375 -179.6797
55.664058 86.351 -179.8794
56.030269 86.327 179.9234
56.396480 86.303 179.7288
56.762691 86.278 179.5369
57.128902 86.254 179.3478
57.495113 86.230 179.1618
57.861324 86.205 178.9791
58.227535 86.181 178.8000
58.593745 86.157 178.6247
58.959956 86.133 178.4534
59.326167 86.109 178.2863
59.692378 86.085 178.1232
60.058589 86.062 177.9635
60.424800 86.039 177.8066
60.791011 86.017 177.6516
61.157222 85.995 177.4971
61.523433 85.974 177.3420
61.889644 85.953 177.1853
62.255854 85.933 177.0262
62.622065 85.912 176.8641
62.988276 85.892 176.6992
63.354487 85.871 176.5319
63.720698 85.849 176.3630
64.086909 85.827 176.1937
64.453120 85.805 176.0252
64.819331 85.782 175.8587
65.185542 85.759 175.6954
65.551753 85.735 175.5361
65.917964 85.712 175.3812
66.284174 85.688 175.2311
66.650385 85.664 175.0856
67.016596 85.640 174.9446
67.382807 85.616 174.8075
67.749018 85.592 174.6739
68.115229 85.569 174.5432
68.481440 85.545 174.4149
68.847651 85.522 174.2887
69.213862 85.500 174.1641
69.580073 85.477 174.0409
69.946284 85.455 173.9188
70.312494 85.433 173.7975
70.678705 85.411 173.6769
71.044916 85.389 173.5568
71.411127 85.368 173.4370
71.777338 85.346 173.3172
72.143549 85.325 173.1974
72.509760 85.305 173.0774
72.875971 85.284 172.9571
73.242182 85.264 172.8362
73.608393 85.244 172.7147
73.974604 85.224 172.5924
74.340814 85.205 172.4689
74.707025 85.185 172.3442
75.073236 85.165 172.2181
75.439447 85.144 172.0906
75.805658 85.123 171.9622
76.171869 85.102 171.8334
76.538080 85.079 171.7054
76.904291 85.055 171.5797
77.270502 85.031 171.4581
77.636713 85.006 171.3426
78.002924 84.980 171.2350
78.369134 84.954 171.1365
78.735345 84.927 171.0482
79.101556 84.902 170.9700
79.467767 84.877 170.9011
79.833978 84.853 170.8399
80.200189 84.831 170.7844
80.566400 84.810 170.7321
80.932611 84.791 170.6808
81.298822 84.773 170.6284
81.665033 84.756 170.5731
82.031244 84.740 170.5142
82.397454 84.724 170.4510
82.763665 84.708 170.3839
83.129876 84.692 170.3133
83.496087 84.676 170.2398
83.862298 84.660 170.1644
84.228509 84.643 170.0878
84.594720 84.626 170.0107
84.960931 84.609 169.9337
85.327142 84.592 169.8572
85.693353 84.574 169.7816
86.059563 84.557 169.7070
86.425774 84.539 169.6336
86.791985 84.522 169.5614
87.158196 84.504 169.4905
87.524407 84.487 169.4208
87.890618 84.469 169.3525
88.256829 84.451 169.2853
88.623040 84.433 169.2194
88.989251 84.415 169.1547
89.355462 84.396 169.0910
89.721673 84.377 169.0283
90.087883 84.357 168.9664
90.454094 84.338 168.9053
90.820305 84.318 168.8448
91.186516 84.298 168.7848
91.552727 84.278 168.7251
91.918938 84.259 168.6657
92.285149 84.239 168.6065
92.651360 84.220 168.5475
93.017571 84.202 168.4886
93.383782 84.183 168.4299
93.749993 84.165 168.3714
94.116203 84.147 168.3132
94.482414 84.129 168.2554
94.848625 84.111 168.1979
95.214836 84.093 168.1410
95.581047 84.075 168.0845
95.947258 84.058 168.0286
96.313469 84.040 167.9734
96.679680 84.022 167.9188
97.045891 84.004 167.8651
97.412102 83.986 167.8123
97.778313 83.968 167.7604
98.144523 83.950 167.7097
98.510734 83.932 167.6600
98.876945 83.914 167.6114
99.243156 83.896 167.5638
99.609367 83.878 167.5170
99.975578 83.860 167.4707
100.341789 83.842 167.4247
100.708000 83.825 167.3786
101.074211 83.807 167.3321
101.440422 83.790 167.2852
101.806633 83.773 167.2377
102.172843 83.755 167.1899
102.539054 83.738 167.1422
102.905265 83.721 167.0950
103.271476 83.703 167.0490
103.637687 83.685 167.0047
104.003898 83.668 166.9627
104.370109 83.650 166.9232
104.736320 83.633 166.8862
105.102531 83.615 166.8516
105.468742 83.598 166.8188
105.834953 83.581 166.7872
106.201163 83.565 166.7560
106.567374 83.549 166.7244
106.933585 83.534 166.6916
107.299796 83.519 166.6569
107.666007 83.504 166.6199
108.032218 83.490 166.5803
108.398429 83.476 166.5381
108.764640 83.463 166.4937
109.130851 83.449 166.4473
109.497062 83.436 166.3995
109.863272 83.422 166.3508
110.229483 83.409 166.3020
110.595694 83.396 166.2536
110.961905 83.383 166.2062
111.328116 83.370 166.1602
111.694327 83.357 166.1161
112.060538 83.345 166.0742
112.426749 83.333 166.0343
112.792960 83.322 165.9965
113.159171 83.311 165.9603
113.525382 83.302 165.9250
113.891592 83.294 165.8894
114.257803 83.287 165.8517
114.624014 83.282 165.8098
114.990225 83.278 165.7605
115.356436 83.277 165.7005
115.722647 83.276 165.6260
116.088858 83.277 165.5334
116.455069 83.277 165.4198
116.821280 83.277 165.2836
117.187491 83.275 165.1251
117.553702 83.269 164.9470
117.919912 83.260 164.7548
118.286123 83.244 164.5561
118.652334 83.223 164.3608
119.018545 83.196 164.1800
119.384756 83.164 164.0246
119.750967 83.126 163.9043
120.117178 83.086 163.8265
120.483389 83.044 163.7952
120.849600 83.002 163.8104
121.215811 82.962 163.8685
121.582022 82.926 163.9623
121.948232 82.894 164.0828
122.314443 82.868 164.2197
122.680654 82.846 164.3629
123.046865 82.829 164.5039
123.413076 82.816 164.6364
123.779287 82.806 164.7560
124.145498 82.799 164.8607
124.511709 82.792 164.9505
124.877920 82.787 165.0263
125.244131 82.781 165.0900
125.610342 82.776 165.1436
125.976552 82.770 165.1892
126.342763 82.763 165.2284
126.708974 82.757 165.2626
127.075185 82.749 165.2929
127.441396 82.742 165.3199
127.807607 82.733 165.3440
128.173818 82.724 165.3655
128.540029 82.715 165.3846
128.906240 82.706 165.4016
129.272451 82.696 165.4163
129.638662 82.685 165.4290
130.004872 82.675 165.4398
130.371083 82.664 165.4487
130.737294 82.653 165.4559
131.103505 82.642 165.4614
131.469716 82.631 165.4652
131.835927 82.619 165.4673
132.202138 82.608 165.4678
132.568349 82.597 165.4667
132.934560 82.587 165.4638
133.300771 82.576 165.4592
133.666981 82.565 165.4528
134.033192 82.555 165.4448
134.399403 82.544 165.4353
134.765614 82.533 165.4245
135.131825 82.523 165.4125
135.498036 82.512 165.3997
135.864247 82.502 165.3863
136.230458 82.492 165.3727
136.596669 82.481 165.3590
136.962880 82.471 165.3456
137.329091 82.461 165.3326
137.695301 82.451 165.3201
138.061512 82.440 165.3083
138.427723 82.431 165.2972
138.793934 82.421 165.2867
139.160145 82.411 165.2766
139.526356 82.401 165.2670
139.892567 82.392 165.2577
140.258778 82.382 165.2484
140.624989 82.372 165.2391
140.991200 82.363 165.2297
141.357411 82.353 165.2200
141.723621 82.343 165.2101
142.089832 82.332 165.1999
142.456043 82.322 165.1894
142.822254 82.311 165.1788
143.188465 82.300 165.1680
143.554676 82.289 165.1573
143.920887 82.278 165.1469
144.287098 82.266 165.1368
144.653309 82.255 165.1273
145.019520 82.243 165.1186
145.385731 82.231 165.1108
145.751941 82.219 165.1042
146.118152 82.207 165.0988
146.484363 82.195 165.0947
146.850574 82.183 165.0919
147.216785 82.171 165.0903
147.582996 82.160 165.0899
147.949207 82.148 165.0906
148.315418 82.137 165.0921
148.681629 82.126 165.0944
149.047840 82.115 165.0972
149.414051 82.105 165.1005
149.780261 82.094 165.1041
150.146472 82.084 165.1078
150.512683 82.074 165.1115
150.878894 82.065 165.1151
151.245105 82.056 165.1184
151.611316 82.046 165.1213
