* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: May 7, 2023 8:15:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = KZ LL L B = CorrectV2
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 79.151 16.5693
2.563477 82.152 3.1394
2.929687 84.556 -9.1248
3.295898 86.507 -20.2694
3.662109 88.112 -30.3714
4.028320 89.454 -39.5442
4.394531 90.589 -47.9227
4.760742 91.559 -55.6359
5.126953 92.390 -62.7797
5.493164 93.100 -69.4078
5.859375 93.707 -75.5434
6.225586 94.229 -81.2031
6.591797 94.684 -86.4194
6.958007 95.088 -91.2493
7.324218 95.451 -95.7636
7.690429 95.779 -100.0276
8.056640 96.071 -104.0842
8.422851 96.329 -107.9518
8.789062 96.555 -111.6329
9.155273 96.751 -115.1275
9.521484 96.922 -118.4407
9.887695 97.072 -121.5834
10.253906 97.203 -124.5684
10.620117 97.318 -127.4079
10.986327 97.419 -130.1137
11.352538 97.509 -132.6999
11.718749 97.588 -135.1821
12.084960 97.657 -137.5740
12.451171 97.715 -139.8831
12.817382 97.763 -142.1091
13.183593 97.799 -144.2475
13.549804 97.827 -146.2951
13.916015 97.848 -148.2547
14.282226 97.865 -150.1348
14.648436 97.878 -151.9466
15.014647 97.886 -153.7000
15.380858 97.889 -155.4013
15.747069 97.888 -157.0540
16.113280 97.882 -158.6590
16.479491 97.872 -160.2151
16.845702 97.858 -161.7196
17.211913 97.839 -163.1694
17.578124 97.815 -164.5641
17.944335 97.789 -165.9079
18.310546 97.764 -167.2099
18.676756 97.742 -168.4803
19.042967 97.718 -169.7253
19.409178 97.687 -170.9442
19.775389 97.641 -172.1301
20.141600 97.578 -173.2753
20.507811 97.502 -174.3773
20.874022 97.420 -175.4411
21.240233 97.342 -176.4773
21.606444 97.270 -177.4955
21.972655 97.203 -178.4974
22.338866 97.136 -179.4758
22.705076 97.066 179.5807
23.071287 96.993 178.6790
23.437498 96.919 177.8153
23.803709 96.848 176.9760
24.169920 96.779 176.1457
24.536131 96.710 175.3171
24.902342 96.640 174.4952
25.268553 96.565 173.6938
25.634764 96.489 172.9248
26.000975 96.414 172.1908
26.367186 96.340 171.4836
26.733396 96.269 170.7920
27.099607 96.199 170.1103
27.465818 96.128 169.4423
27.832029 96.058 168.7966
28.198240 95.989 168.1785
28.564451 95.922 167.5842
28.930662 95.857 167.0028
29.296873 95.792 166.4238
29.663084 95.727 165.8435
30.029295 95.660 165.2661
30.395506 95.593 164.6989
30.761716 95.527 164.1461
31.127927 95.461 163.6064
31.494138 95.395 163.0758
31.860349 95.329 162.5528
32.226560 95.261 162.0411
32.592771 95.191 161.5480
32.958982 95.121 161.0791
33.325193 95.051 160.6339
33.691404 94.984 160.2050
34.057615 94.919 159.7810
34.423826 94.855 159.3530
34.790036 94.790 158.9192
35.156247 94.724 158.4858
35.522458 94.656 158.0649
35.888669 94.587 157.6673
36.254880 94.519 157.2962
36.621091 94.454 156.9445
36.987302 94.392 156.5971
37.353513 94.331 156.2398
37.719724 94.271 155.8676
38.085935 94.207 155.4888
38.452145 94.140 155.1205
38.818356 94.071 154.7783
39.184567 94.004 154.4661
39.550778 93.940 154.1741
39.916989 93.880 153.8840
40.283200 93.823 153.5811
40.649411 93.765 153.2623
41.015622 93.705 152.9371
41.381833 93.642 152.6204
41.748044 93.577 152.3242
42.114255 93.512 152.0526
42.480465 93.449 151.8024
42.846676 93.388 151.5676
43.212887 93.330 151.3420
43.579098 93.275 151.1203
43.945309 93.221 150.8972
44.311520 93.169 150.6683
44.677731 93.116 150.4324
45.043942 93.062 150.1936
45.410153 93.006 149.9604
45.776364 92.949 149.7403
46.142575 92.893 149.5344
46.508785 92.839 149.3349
46.874996 92.787 149.1293
47.241207 92.736 148.9084
47.607418 92.684 148.6721
47.973629 92.628 148.4317
48.339840 92.570 148.2032
48.706051 92.511 147.9991
49.072262 92.453 147.8207
49.438473 92.399 147.6576
49.804684 92.348 147.4934
50.170895 92.298 147.3166
50.537105 92.248 147.1284
50.903316 92.196 146.9431
51.269527 92.142 146.7784
51.635738 92.090 146.6422
52.001949 92.042 146.5228
52.368160 91.999 146.3932
52.734371 91.959 146.2281
53.100582 91.917 146.0234
53.466793 91.867 145.8047
53.833004 91.810 145.6161
54.199215 91.748 145.4942
54.565425 91.689 145.4413
54.931636 91.641 145.4197
55.297847 91.602 145.3710
55.664058 91.566 145.2539
56.030269 91.524 145.0731
56.396480 91.470 144.8793
56.762691 91.406 144.7402
57.128902 91.342 144.6961
57.495113 91.288 144.7285
57.861324 91.252 144.7629
58.227535 91.230 144.7113
58.593745 91.209 144.5280
58.959956 91.176 144.2427
59.326167 91.122 143.9473
59.692378 91.054 143.7430
60.058589 90.986 143.6768
60.424800 90.936 143.7056
60.791011 90.907 143.7206
61.157222 90.891 143.6243
61.523433 90.869 143.4045
61.889644 90.828 143.1508
62.255854 90.770 142.9948
62.622065 90.713 143.0128
62.988276 90.682 143.1513
63.354487 90.685 143.2418
63.720698 90.708 143.1107
64.086909 90.720 142.7068
64.453120 90.693 142.1470
64.819331 90.619 141.6541
65.185542 90.515 141.4300
65.551753 90.418 141.5333
65.917964 90.357 141.8356
66.284174 90.339 142.1040
66.650385 90.344 142.1616
67.016596 90.339 141.9955
67.382807 90.304 141.7407
67.749018 90.244 141.5711
68.115229 90.177 141.5805
68.481440 90.129 141.7263
68.847651 90.106 141.8704
69.213862 90.101 141.8851
69.580073 90.094 141.7394
69.946284 90.070 141.5037
70.312494 90.027 141.2853
70.678705 89.976 141.1506
71.044916 89.928 141.0874
71.411127 89.890 141.0302
71.777338 89.853 140.9245
72.143549 89.808 140.7787
72.509760 89.750 140.6626
72.875971 89.685 140.6564
73.242182 89.627 140.7867
73.608393 89.590 140.9936
73.974604 89.579 141.1600
74.340814 89.582 141.1846
74.707025 89.580 141.0471
75.073236 89.557 140.8195
75.439447 89.512 140.6200
75.805658 89.453 140.5416
76.171869 89.398 140.5977
76.538080 89.360 140.7182
76.904291 89.339 140.7994
77.270502 89.325 140.7738
77.636713 89.305 140.6476
78.002924 89.271 140.4864
78.369134 89.224 140.3647
78.735345 89.175 140.3188
79.101556 89.132 140.3307
79.467767 89.097 140.3505
79.833978 89.068 140.3370
80.200189 89.039 140.2839
80.566400 89.005 140.2168
80.932611 88.966 140.1698
81.298822 88.928 140.1602
81.665033 88.893 140.1803
82.031244 88.865 140.2056
82.397454 88.842 140.2119
82.763665 88.820 140.1873
83.129876 88.798 140.1337
83.496087 88.772 140.0622
83.862298 88.743 139.9862
84.228509 88.710 139.9167
84.594720 88.675 139.8600
84.960931 88.638 139.8183
85.327142 88.601 139.7921
85.693353 88.564 139.7834
86.059563 88.528 139.7960
86.425774 88.495 139.8315
86.791985 88.467 139.8820
87.158196 88.444 139.9287
87.524407 88.427 139.9487
87.890618 88.411 139.9292
88.256829 88.391 139.8790
88.623040 88.365 139.8250
88.989251 88.335 139.7947
89.355462 88.304 139.7963
89.721673 88.277 139.8106
90.087883 88.254 139.8049
90.454094 88.229 139.7596
90.820305 88.199 139.6867
91.186516 88.160 139.6254
91.552727 88.117 139.6161
91.918938 88.076 139.6709
92.285149 88.045 139.7617
92.651360 88.025 139.8358
93.017571 88.012 139.8484
93.383782 87.997 139.7904
93.749993 87.974 139.6908
94.116203 87.941 139.5984
94.482414 87.901 139.5546
94.848625 87.862 139.5739
95.214836 87.828 139.6404
95.581047 87.803 139.7195
95.947258 87.785 139.7750
96.313469 87.772 139.7838
96.679680 87.757 139.7430
97.045891 87.737 139.6695
97.412102 87.710 139.5914
97.778313 87.677 139.5363
98.144523 87.642 139.5190
98.510734 87.608 139.5360
98.876945 87.577 139.5699
99.243156 87.548 139.6034
99.609367 87.518 139.6329
99.975578 87.487 139.6710
100.341789 87.455 139.7364
100.708000 87.426 139.8361
101.074211 87.404 139.9545
101.440422 87.390 140.0579
101.806633 87.383 140.1119
102.172843 87.376 140.1008
102.539054 87.365 140.0356
102.905265 87.346 139.9467
103.271476 87.319 139.8686
103.637687 87.288 139.8242
104.003898 87.256 139.8183
104.370109 87.227 139.8396
104.736320 87.203 139.8679
105.102531 87.183 139.8839
105.468742 87.164 139.8768
105.834953 87.143 139.8498
106.201163 87.119 139.8186
106.567374 87.092 139.8038
106.933585 87.066 139.8179
107.299796 87.043 139.8550
107.666007 87.026 139.8911
108.032218 87.013 139.8985
108.398429 86.999 139.8658
108.764640 86.979 139.8095
109.130851 86.953 139.7668
109.497062 86.923 139.7733
109.863272 86.895 139.8376
110.229483 86.874 139.9329
110.595694 86.861 140.0121
110.961905 86.853 140.0388
111.328116 86.840 140.0121
111.694327 86.819 139.9672
112.060538 86.789 139.9526
112.426749 86.758 139.9963
112.792960 86.731 140.0865
113.159171 86.713 140.1776
113.525382 86.702 140.2211
113.891592 86.690 140.1984
114.257803 86.670 140.1340
114.624014 86.641 140.0783
114.990225 86.608 140.0734
115.356436 86.578 140.1240
115.722647 86.557 140.1938
116.088858 86.544 140.2328
116.455069 86.534 140.2147
116.821280 86.518 140.1578
117.187491 86.495 140.1119
117.553702 86.469 140.1206
117.919912 86.449 140.1842
118.286123 86.440 140.2542
118.652334 86.440 140.2653
119.018545 86.439 140.1849
119.384756 86.426 140.0414
119.750967 86.396 139.9112
120.117178 86.353 139.8721
120.483389 86.310 139.9538
120.849600 86.278 140.1193
121.215811 86.263 140.2900
121.582022 86.257 140.3989
121.948232 86.251 140.4305
122.314443 86.238 140.4213
122.680654 86.216 140.4245
123.046865 86.192 140.4698
123.413076 86.171 140.5456
123.779287 86.157 140.6146
124.145498 86.145 140.6477
124.511709 86.131 140.6469
124.877920 86.111 140.6414
125.244131 86.088 140.6629
125.610342 86.067 140.7196
125.976552 86.051 140.7910
126.342763 86.040 140.8443
126.708974 86.030 140.8603
127.075185 86.018 140.8467
127.441396 86.000 140.8305
127.807607 85.980 140.8369
128.173818 85.960 140.8709
128.540029 85.944 140.9156
128.906240 85.931 140.9470
129.272451 85.918 140.9532
129.638662 85.903 140.9432
130.004872 85.883 140.9379
130.371083 85.863 140.9533
130.737294 85.844 140.9883
131.103505 85.827 141.0267
131.469716 85.813 141.0525
131.835927 85.797 141.0643
132.202138 85.779 141.0766
132.568349 85.760 141.1057
132.934560 85.743 141.1532
133.300771 85.730 141.2006
133.666981 85.720 141.2218
134.033192 85.709 141.2057
134.399403 85.692 141.1691
134.765614 85.668 141.1488
135.131825 85.641 141.1775
135.498036 85.616 141.2595
135.864247 85.600 141.3660
136.230458 85.592 141.4534
136.596669 85.588 141.4930
136.962880 85.581 141.4883
137.329091 85.568 141.4684
137.695301 85.551 141.4646
138.061512 85.533 141.4893
138.427723 85.518 141.5316
138.793934 85.505 141.5713
139.160145 85.493 141.5981
139.526356 85.479 141.6194
139.892567 85.464 141.6509
140.258778 85.449 141.7005
140.624989 85.437 141.7591
140.991200 85.428 141.8068
141.357411 85.421 141.8285
141.723621 85.411 141.8259
142.089832 85.396 141.8161
142.456043 85.379 141.8186
142.822254 85.360 141.8417
143.188465 85.342 141.8783
143.554676 85.327 141.9144
143.920887 85.313 141.9410
144.287098 85.297 141.9611
144.653309 85.280 141.9856
145.019520 85.263 142.0238
145.385731 85.247 142.0750
145.751941 85.234 142.1287
146.118152 85.223 142.1717
146.484363 85.213 142.1964
146.850574 85.202 142.2050
147.216785 85.189 142.2072
147.582996 85.173 142.2145
147.949207 85.156 142.2347
148.315418 85.138 142.2699
148.681629 85.123 142.3167
149.047840 85.109 142.3682
149.414051 85.097 142.4161
149.780261 85.086 142.4536
150.146472 85.076 142.4782
150.512683 85.064 142.4934
150.878894 85.051 142.5071
151.245105 85.036 142.5280
151.611316 85.021 142.5604
151.977527 85.007 142.6019
152.343738 84.995 142.6448
152.709949 84.985 142.6806
153.076160 84.975 142.7058
153.442371 84.964 142.7238
153.808581 84.952 142.7427
