* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: May 7, 2023 8:18:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ LL R
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 79.281 15.7671
2.563477 82.298 2.5332
2.929687 84.706 -9.6620
3.295898 86.647 -20.7966
3.662109 88.229 -30.8852
4.028320 89.540 -39.9907
4.394531 90.645 -48.2250
4.760742 91.594 -55.7310
5.126953 92.419 -62.6507
5.493164 93.137 -69.0943
5.859375 93.760 -75.1263
6.225586 94.300 -80.7731
6.591797 94.767 -86.0443
6.958007 95.174 -90.9555
7.324218 95.534 -95.5385
7.690429 95.854 -99.8384
8.056640 96.140 -103.8997
8.422851 96.395 -107.7545
8.789062 96.620 -111.4178
9.155273 96.818 -114.8939
9.521484 96.991 -118.1868
9.887695 97.145 -121.3075
10.253906 97.283 -124.2748
10.620117 97.405 -127.1098
10.986327 97.514 -129.8291
11.352538 97.608 -132.4413
11.718749 97.688 -134.9480
12.084960 97.755 -137.3491
12.451171 97.812 -139.6470
12.817382 97.858 -141.8481
13.183593 97.896 -143.9608
13.549804 97.926 -145.9922
13.916015 97.948 -147.9455
14.282226 97.965 -149.8218
14.648436 97.977 -151.6246
15.014647 97.984 -153.3625
15.380858 97.988 -155.0480
15.747069 97.988 -156.6923
16.113280 97.983 -158.2984
16.479491 97.974 -159.8598
16.845702 97.960 -161.3654
17.211913 97.941 -162.8087
17.578124 97.920 -164.1945
17.944335 97.899 -165.5384
18.310546 97.880 -166.8576
18.676756 97.863 -168.1610
19.042967 97.842 -169.4452
19.409178 97.812 -170.6982
19.775389 97.766 -171.9087
20.141600 97.704 -173.0725
20.507811 97.627 -174.1911
20.874022 97.544 -175.2670
21.240233 97.463 -176.2998
21.606444 97.389 -177.2880
21.972655 97.324 -178.2353
22.338866 97.264 -179.1553
22.705076 97.207 179.9322
23.071287 97.148 179.0111
23.437498 97.085 178.0800
23.803709 97.015 177.1543
24.169920 96.941 176.2583
24.536131 96.863 175.4105
24.902342 96.786 174.6127
25.268553 96.711 173.8505
25.634764 96.639 173.1033
26.000975 96.570 172.3575
26.367186 96.500 171.6137
26.733396 96.428 170.8833
27.099607 96.356 170.1777
27.465818 96.285 169.5000
27.832029 96.216 168.8435
28.198240 96.150 168.1978
28.564451 96.085 167.5574
28.930662 96.018 166.9260
29.296873 95.949 166.3127
29.663084 95.878 165.7247
30.029295 95.809 165.1610
30.395506 95.742 164.6128
30.761716 95.678 164.0696
31.127927 95.615 163.5261
31.494138 95.552 162.9854
31.860349 95.486 162.4559
32.226560 95.419 161.9451
32.592771 95.351 161.4558
32.958982 95.284 160.9850
33.325193 95.217 160.5287
33.691404 95.150 160.0836
34.057615 95.085 159.6485
34.423826 95.020 159.2216
34.790036 94.956 158.7985
35.156247 94.892 158.3745
35.522458 94.829 157.9479
35.888669 94.764 157.5237
36.254880 94.697 157.1120
36.621091 94.630 156.7218
36.987302 94.564 156.3546
37.353513 94.499 156.0022
37.719724 94.436 155.6522
38.085935 94.375 155.2966
38.452145 94.312 154.9376
38.818356 94.247 154.5858
39.184567 94.182 154.2513
39.550778 94.119 153.9348
39.916989 94.058 153.6266
40.283200 93.999 153.3134
40.649411 93.940 152.9897
41.015622 93.878 152.6636
41.381833 93.814 152.3513
41.748044 93.749 152.0651
42.114255 93.686 151.8027
42.480465 93.627 151.5478
42.846676 93.571 151.2819
43.212887 93.515 150.9992
43.579098 93.456 150.7120
43.945309 93.395 150.4427
44.311520 93.333 150.2062
44.677731 93.275 149.9977
45.043942 93.222 149.7935
45.410153 93.173 149.5665
45.776364 93.124 149.3062
46.142575 93.070 149.0267
46.508785 93.010 148.7589
46.874996 92.947 148.5315
47.241207 92.887 148.3521
47.607418 92.832 148.2022
47.973629 92.785 148.0484
48.339840 92.742 147.8614
48.706051 92.700 147.6330
49.072262 92.653 147.3789
49.438473 92.600 147.1287
49.804684 92.543 146.9093
50.170895 92.486 146.7306
50.537105 92.432 146.5813
50.903316 92.384 146.4360
51.269527 92.339 146.2704
51.635738 92.294 146.0752
52.001949 92.245 145.8618
52.368160 92.191 145.6555
52.734371 92.135 145.4797
53.100582 92.081 145.3408
53.466793 92.031 145.2233
53.833004 91.987 145.1004
54.199215 91.945 144.9524
54.565425 91.901 144.7816
54.931636 91.852 144.6115
55.297847 91.799 144.4695
55.664058 91.749 144.3658
56.030269 91.704 144.2820
56.396480 91.666 144.1820
56.762691 91.631 144.0370
57.128902 91.593 143.8469
57.495113 91.547 143.6419
57.861324 91.494 143.4631
58.227535 91.439 143.3357
58.593745 91.386 143.2532
58.959956 91.339 143.1849
59.326167 91.296 143.1003
59.692378 91.254 142.9902
60.058589 91.209 142.8708
60.424800 91.162 142.7663
60.791011 91.116 142.6875
61.157222 91.074 142.6223
61.523433 91.036 142.5457
61.889644 90.998 142.4410
62.255854 90.958 142.3141
62.622065 90.913 142.1894
62.988276 90.865 142.0908
63.354487 90.818 142.0233
63.720698 90.777 141.9683
64.086909 90.740 141.8980
64.453120 90.705 141.7949
64.819331 90.667 141.6646
65.185542 90.626 141.5311
65.551753 90.580 141.4200
65.917964 90.535 141.3424
66.284174 90.492 141.2898
66.650385 90.453 141.2417
67.016596 90.418 141.1798
67.382807 90.382 141.0985
67.749018 90.345 141.0048
68.115229 90.306 140.9118
68.481440 90.266 140.8290
68.847651 90.227 140.7574
69.213862 90.189 140.6909
69.580073 90.153 140.6212
69.946284 90.118 140.5437
70.312494 90.081 140.4611
70.678705 90.043 140.3818
71.044916 90.003 140.3161
71.411127 89.963 140.2701
71.777338 89.925 140.2421
72.143549 89.890 140.2216
72.509760 89.858 140.1949
72.875971 89.828 140.1515
73.242182 89.797 140.0901
73.608393 89.766 140.0191
73.974604 89.732 139.9508
74.340814 89.697 139.8940
74.707025 89.663 139.8487
75.073236 89.630 139.8071
75.439447 89.598 139.7602
75.805658 89.564 139.7045
76.171869 89.529 139.6451
76.538080 89.491 139.5916
76.904291 89.452 139.5511
77.270502 89.414 139.5234
77.636713 89.379 139.5009
78.002924 89.345 139.4745
78.369134 89.312 139.4390
78.735345 89.280 139.3953
79.101556 89.247 139.3477
79.467767 89.214 139.2999
79.833978 89.181 139.2527
80.200189 89.148 139.2065
80.566400 89.114 139.1638
80.932611 89.080 139.1289
81.298822 89.047 139.1048
81.665033 89.015 139.0876
82.031244 88.986 139.0678
82.397454 88.958 139.0352
82.763665 88.929 138.9885
83.129876 88.897 138.9391
83.496087 88.862 138.9055
83.862298 88.827 138.9010
84.228509 88.794 138.9219
84.594720 88.766 138.9472
84.960931 88.743 138.9500
85.327142 88.721 138.9148
85.693353 88.696 138.8482
86.059563 88.666 138.7749
86.425774 88.632 138.7219
86.791985 88.597 138.7021
87.158196 88.566 138.7076
87.524407 88.539 138.7170
87.890618 88.515 138.7116
88.256829 88.490 138.6873
88.623040 88.463 138.6557
88.989251 88.433 138.6338
89.355462 88.402 138.6306
89.721673 88.372 138.6416
90.087883 88.344 138.6519
90.454094 88.318 138.6479
90.820305 88.291 138.6264
91.186516 88.261 138.5958
91.552727 88.229 138.5697
91.918938 88.197 138.5571
92.285149 88.166 138.5573
92.651360 88.137 138.5613
93.017571 88.110 138.5602
93.383782 88.083 138.5510
93.749993 88.055 138.5394
94.116203 88.025 138.5347
94.482414 87.996 138.5425
94.848625 87.969 138.5599
95.214836 87.944 138.5772
95.581047 87.920 138.5843
95.947258 87.897 138.5773
96.313469 87.872 138.5611
96.679680 87.846 138.5455
97.045891 87.818 138.5385
97.412102 87.792 138.5405
97.778313 87.766 138.5458
98.144523 87.742 138.5468
98.510734 87.718 138.5404
98.876945 87.693 138.5296
99.243156 87.666 138.5206
99.609367 87.639 138.5178
99.975578 87.613 138.5210
100.341789 87.587 138.5268
100.708000 87.561 138.5324
101.074211 87.536 138.5386
101.440422 87.511 138.5483
101.806633 87.486 138.5634
102.172843 87.463 138.5815
102.539054 87.441 138.5967
102.905265 87.420 138.6033
103.271476 87.400 138.5999
103.637687 87.377 138.5903
104.003898 87.354 138.5805
104.370109 87.330 138.5749
104.736320 87.305 138.5741
105.102531 87.280 138.5761
105.468742 87.255 138.5789
105.834953 87.229 138.5832
106.201163 87.203 138.5914
106.567374 87.176 138.6062
106.933585 87.151 138.6281
107.299796 87.127 138.6549
107.666007 87.105 138.6815
108.032218 87.084 138.7020
108.398429 87.066 138.7113
108.764640 87.047 138.7072
109.130851 87.028 138.6921
109.497062 87.008 138.6737
109.863272 86.985 138.6616
110.229483 86.962 138.6630
110.595694 86.939 138.6788
110.961905 86.918 138.7026
111.328116 86.899 138.7249
111.694327 86.880 138.7393
112.060538 86.861 138.7461
112.426749 86.840 138.7519
112.792960 86.818 138.7635
113.159171 86.795 138.7838
113.525382 86.773 138.8098
113.891592 86.751 138.8360
114.257803 86.730 138.8586
114.624014 86.709 138.8768
114.990225 86.687 138.8917
115.356436 86.666 138.9042
115.722647 86.643 138.9149
116.088858 86.621 138.9266
116.455069 86.598 138.9445
116.821280 86.576 138.9733
117.187491 86.556 139.0112
117.553702 86.539 139.0466
117.919912 86.524 139.0629
118.286123 86.510 139.0503
118.652334 86.491 139.0157
119.018545 86.467 138.9837
119.384756 86.438 138.9838
119.750967 86.410 139.0314
120.117178 86.386 139.1159
120.483389 86.370 139.2045
120.849600 86.360 139.2609
121.215811 86.352 139.2672
121.582022 86.339 139.2335
121.948232 86.321 139.1891
122.314443 86.298 139.1640
122.680654 86.274 139.1707
123.046865 86.251 139.2009
123.413076 86.233 139.2348
123.779287 86.216 139.2570
124.145498 86.200 139.2656
124.511709 86.182 139.2712
124.877920 86.164 139.2869
125.244131 86.146 139.3173
125.610342 86.130 139.3566
125.976552 86.116 139.3923
126.342763 86.103 139.4155
126.708974 86.090 139.4263
127.075185 86.074 139.4338
127.441396 86.056 139.4497
127.807607 86.038 139.4800
128.173818 86.021 139.5207
128.540029 86.006 139.5601
128.906240 85.992 139.5869
129.272451 85.976 139.5979
129.638662 85.958 139.6011
130.004872 85.937 139.6108
130.371083 85.916 139.6379
130.737294 85.895 139.6819
131.103505 85.877 139.7306
131.469716 85.862 139.7679
131.835927 85.847 139.7855
132.202138 85.830 139.7884
132.568349 85.811 139.7915
132.934560 85.790 139.8087
133.300771 85.769 139.8432
133.666981 85.751 139.8853
134.033192 85.736 139.9207
134.399403 85.721 139.9413
134.765614 85.705 139.9510
135.131825 85.686 139.9628
135.498036 85.667 139.9886
135.864247 85.649 140.0305
136.230458 85.635 140.0792
136.596669 85.623 140.1211
136.962880 85.612 140.1470
137.329091 85.601 140.1571
137.695301 85.589 140.1586
138.061512 85.575 140.1603
138.427723 85.561 140.1672
138.793934 85.546 140.1801
139.160145 85.531 140.1976
139.526356 85.516 140.2195
139.892567 85.500 140.2469
140.258778 85.485 140.2801
140.624989 85.471 140.3171
140.991200 85.457 140.3533
141.357411 85.444 140.3850
141.723621 85.431 140.4113
142.089832 85.416 140.4354
142.456043 85.400 140.4625
142.822254 85.383 140.4955
143.188465 85.368 140.5328
143.554676 85.354 140.5689
143.920887 85.340 140.5973
144.287098 85.327 140.6152
144.653309 85.313 140.6254
145.019520 85.296 140.6355
145.385731 85.278 140.6534
145.751941 85.261 140.6836
146.118152 85.244 140.7238
146.484363 85.230 140.7670
146.850574 85.217 140.8052
147.216785 85.205 140.8337
147.582996 85.193 140.8536
147.949207 85.179 140.8702
148.315418 85.165 140.8894
148.681629 85.150 140.9144
149.047840 85.136 140.9446
149.414051 85.123 140.9767
149.780261 85.110 141.0073
150.146472 85.097 141.0348
150.512683 85.084 141.0602
150.878894 85.070 141.0860
151.245105 85.056 141.1146
151.611316 85.042 141.1469
151.977527 85.029 141.1816
152.343738 85.016 141.2159
152.709949 85.005 141.2462
153.076160 84.993 141.2706
153.442371 84.981 141.2900
153.808581 84.968 141.3081
154.174792 84.954 141.3295
154.541003 84.940 141.3567
154.907214 84.927 141.3881
