* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Jan 28, 2023 4:42:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Jan 28 B = Correct
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 63.560 22.0413
2.563477 65.413 17.2709
2.929687 67.122 12.2903
3.295898 68.701 7.2283
3.662109 70.159 2.1548
4.028320 71.505 -2.8897
4.394531 72.746 -7.8801
4.760742 73.889 -12.7989
5.126953 74.940 -17.6326
5.493164 75.906 -22.3701
5.859375 76.792 -27.0017
6.225586 77.604 -31.5188
6.591797 78.346 -35.9139
6.958007 79.024 -40.1803
7.324218 79.643 -44.3126
7.690429 80.208 -48.3064
8.056640 80.722 -52.1585
8.422851 81.191 -55.8667
8.789062 81.618 -59.4299
9.155273 82.006 -62.8482
9.521484 82.360 -66.1226
9.887695 82.682 -69.2551
10.253906 82.977 -72.2487
10.620117 83.246 -75.1072
10.986327 83.493 -77.8350
11.352538 83.719 -80.4376
11.718749 83.927 -82.9206
12.084960 84.120 -85.2906
12.451171 84.298 -87.5542
12.817382 84.464 -89.7184
13.183593 84.618 -91.7901
13.549804 84.762 -93.7761
13.916015 84.897 -95.6831
14.282226 85.023 -97.5171
14.648436 85.141 -99.2834
15.014647 85.252 -100.9867
15.380858 85.354 -102.6305
15.747069 85.450 -104.2178
16.113280 85.538 -105.7504
16.479491 85.620 -107.2294
16.845702 85.695 -108.6552
17.211913 85.763 -110.0280
17.578124 85.825 -111.3478
17.944335 85.880 -112.6147
18.310546 85.930 -113.8291
18.676756 85.973 -114.9921
19.042967 86.009 -116.1056
19.409178 86.041 -117.1722
19.775389 86.066 -118.1949
20.141600 86.087 -119.1775
20.507811 86.103 -120.1238
20.874022 86.116 -121.0374
21.240233 86.126 -121.9221
21.606444 86.134 -122.7807
21.972655 86.140 -123.6160
22.338866 86.145 -124.4300
22.705076 86.149 -125.2242
23.071287 86.151 -125.9997
23.437498 86.153 -126.7570
23.803709 86.153 -127.4963
24.169920 86.151 -128.2174
24.536131 86.148 -128.9199
24.902342 86.144 -129.6033
25.268553 86.138 -130.2670
25.634764 86.131 -130.9106
26.000975 86.123 -131.5337
26.367186 86.114 -132.1366
26.733396 86.105 -132.7195
27.099607 86.096 -133.2834
27.465818 86.086 -133.8293
27.832029 86.076 -134.3585
28.198240 86.067 -134.8726
28.564451 86.057 -135.3731
28.930662 86.048 -135.8612
29.296873 86.038 -136.3381
29.663084 86.027 -136.8044
30.029295 86.016 -137.2606
30.395506 86.005 -137.7064
30.761716 85.993 -138.1413
31.127927 85.980 -138.5648
31.494138 85.966 -138.9757
31.860349 85.952 -139.3735
32.226560 85.937 -139.7575
32.592771 85.921 -140.1274
32.958982 85.906 -140.4837
33.325193 85.890 -140.8272
33.691404 85.875 -141.1590
34.057615 85.860 -141.4807
34.423826 85.846 -141.7942
34.790036 85.832 -142.1012
35.156247 85.818 -142.4031
35.522458 85.805 -142.7012
35.888669 85.792 -142.9963
36.254880 85.779 -143.2885
36.621091 85.766 -143.5778
36.987302 85.752 -143.8637
37.353513 85.737 -144.1454
37.719724 85.723 -144.4221
38.085935 85.707 -144.6932
38.452145 85.691 -144.9577
38.818356 85.675 -145.2154
39.184567 85.658 -145.4658
39.550778 85.642 -145.7089
39.916989 85.625 -145.9447
40.283200 85.608 -146.1736
40.649411 85.591 -146.3960
41.015622 85.574 -146.6121
41.381833 85.557 -146.8225
41.748044 85.540 -147.0277
42.114255 85.523 -147.2278
42.480465 85.507 -147.4231
42.846676 85.490 -147.6138
43.212887 85.473 -147.7998
43.579098 85.456 -147.9810
43.945309 85.440 -148.1573
44.311520 85.423 -148.3284
44.677731 85.406 -148.4940
45.043942 85.389 -148.6538
45.410153 85.372 -148.8078
45.776364 85.356 -148.9558
46.142575 85.339 -149.0981
46.508785 85.324 -149.2350
46.874996 85.308 -149.3670
47.241207 85.294 -149.4950
47.607418 85.280 -149.6200
47.973629 85.266 -149.7432
48.339840 85.254 -149.8658
48.706051 85.242 -149.9891
49.072262 85.230 -150.1142
49.438473 85.219 -150.2420
49.804684 85.207 -150.3728
50.170895 85.195 -150.5065
50.537105 85.182 -150.6423
50.903316 85.167 -150.7790
51.269527 85.152 -150.9146
51.635738 85.136 -151.0471
52.001949 85.118 -151.1745
52.368160 85.100 -151.2952
52.734371 85.081 -151.4079
53.100582 85.063 -151.5124
53.466793 85.044 -151.6093
53.833004 85.026 -151.6999
54.199215 85.008 -151.7862
54.565425 84.991 -151.8704
54.931636 84.975 -151.9546
55.297847 84.960 -152.0406
55.664058 84.944 -152.1296
56.030269 84.929 -152.2222
56.396480 84.913 -152.3181
56.762691 84.897 -152.4165
57.128902 84.880 -152.5160
57.495113 84.863 -152.6150
57.861324 84.844 -152.7119
58.227535 84.825 -152.8051
58.593745 84.805 -152.8934
58.959956 84.785 -152.9760
59.326167 84.765 -153.0524
59.692378 84.745 -153.1230
60.058589 84.725 -153.1883
60.424800 84.706 -153.2493
60.791011 84.687 -153.3074
61.157222 84.669 -153.3639
61.523433 84.651 -153.4199
61.889644 84.634 -153.4764
62.255854 84.617 -153.5339
62.622065 84.600 -153.5926
62.988276 84.583 -153.6523
63.354487 84.566 -153.7125
63.720698 84.549 -153.7724
64.086909 84.533 -153.8313
64.453120 84.516 -153.8885
64.819331 84.499 -153.9432
65.185542 84.483 -153.9950
65.551753 84.467 -154.0439
65.917964 84.451 -154.0899
66.284174 84.436 -154.1335
66.650385 84.422 -154.1754
67.016596 84.408 -154.2168
67.382807 84.395 -154.2587
67.749018 84.382 -154.3025
68.115229 84.370 -154.3496
68.481440 84.358 -154.4008
68.847651 84.346 -154.4567
69.213862 84.333 -154.5172
69.580073 84.320 -154.5815
69.946284 84.305 -154.6480
70.312494 84.290 -154.7145
70.678705 84.273 -154.7784
71.044916 84.255 -154.8368
71.411127 84.235 -154.8874
71.777338 84.215 -154.9283
72.143549 84.195 -154.9583
72.509760 84.175 -154.9775
72.875971 84.156 -154.9866
73.242182 84.137 -154.9873
73.608393 84.120 -154.9818
73.974604 84.104 -154.9722
74.340814 84.088 -154.9609
74.707025 84.074 -154.9495
75.073236 84.060 -154.9392
75.439447 84.046 -154.9306
75.805658 84.032 -154.9236
76.171869 84.018 -154.9179
76.538080 84.004 -154.9129
76.904291 83.989 -154.9075
77.270502 83.974 -154.9012
77.636713 83.959 -154.8932
78.002924 83.944 -154.8831
78.369134 83.929 -154.8705
78.735345 83.913 -154.8555
79.101556 83.898 -154.8382
79.467767 83.884 -154.8191
79.833978 83.870 -154.7988
80.200189 83.856 -154.7780
80.566400 83.843 -154.7574
80.932611 83.830 -154.7377
81.298822 83.817 -154.7197
81.665033 83.805 -154.7037
82.031244 83.793 -154.6902
82.397454 83.781 -154.6791
82.763665 83.769 -154.6704
83.129876 83.757 -154.6638
83.496087 83.744 -154.6586
83.862298 83.732 -154.6546
84.228509 83.719 -154.6510
84.594720 83.705 -154.6474
84.960931 83.692 -154.6437
85.327142 83.678 -154.6396
85.693353 83.665 -154.6352
86.059563 83.651 -154.6303
86.425774 83.638 -154.6253
86.791985 83.625 -154.6200
87.158196 83.611 -154.6147
87.524407 83.598 -154.6090
87.890618 83.585 -154.6029
88.256829 83.571 -154.5960
88.623040 83.556 -154.5878
88.989251 83.542 -154.5782
89.355462 83.527 -154.5666
89.721673 83.511 -154.5529
90.087883 83.495 -154.5369
90.454094 83.479 -154.5189
90.820305 83.463 -154.4990
91.186516 83.448 -154.4777
91.552727 83.432 -154.4554
91.918938 83.417 -154.4329
92.285149 83.402 -154.4104
92.651360 83.388 -154.3887
93.017571 83.374 -154.3679
93.383782 83.361 -154.3482
93.749993 83.347 -154.3295
94.116203 83.334 -154.3116
94.482414 83.321 -154.2939
94.848625 83.307 -154.2759
95.214836 83.294 -154.2569
95.581047 83.280 -154.2363
95.947258 83.266 -154.2137
96.313469 83.252 -154.1886
96.679680 83.238 -154.1608
97.045891 83.224 -154.1305
97.412102 83.211 -154.0978
97.778313 83.197 -154.0630
98.144523 83.183 -154.0267
98.510734 83.170 -153.9891
98.876945 83.157 -153.9507
99.243156 83.144 -153.9118
99.609367 83.132 -153.8727
99.975578 83.119 -153.8335
100.341789 83.107 -153.7943
100.708000 83.095 -153.7552
101.074211 83.083 -153.7162
101.440422 83.072 -153.6773
101.806633 83.061 -153.6386
102.172843 83.050 -153.6004
102.539054 83.040 -153.5626
102.905265 83.030 -153.5256
103.271476 83.020 -153.4896
103.637687 83.010 -153.4547
104.003898 83.001 -153.4210
104.370109 82.991 -153.3885
104.736320 82.981 -153.3570
105.102531 82.971 -153.3264
105.468742 82.960 -153.2962
105.834953 82.950 -153.2660
106.201163 82.939 -153.2351
106.567374 82.927 -153.2032
106.933585 82.916 -153.1698
107.299796 82.904 -153.1343
107.666007 82.892 -153.0966
108.032218 82.881 -153.0565
108.398429 82.869 -153.0138
108.764640 82.858 -152.9687
109.130851 82.847 -152.9212
109.497062 82.836 -152.8716
109.863272 82.826 -152.8199
110.229483 82.816 -152.7666
110.595694 82.806 -152.7121
110.961905 82.797 -152.6569
111.328116 82.789 -152.6019
111.694327 82.781 -152.5479
112.060538 82.773 -152.4960
112.426749 82.765 -152.4473
112.792960 82.758 -152.4028
113.159171 82.750 -152.3633
113.525382 82.742 -152.3290
113.891592 82.733 -152.2999
114.257803 82.724 -152.2749
114.624014 82.714 -152.2528
114.990225 82.702 -152.2318
115.356436 82.690 -152.2097
115.722647 82.677 -152.1843
116.088858 82.663 -152.1539
116.455069 82.648 -152.1167
116.821280 82.634 -152.0719
117.187491 82.620 -152.0193
117.553702 82.606 -151.9593
117.919912 82.593 -151.8930
118.286123 82.581 -151.8219
118.652334 82.570 -151.7479
119.018545 82.560 -151.6730
119.384756 82.550 -151.5991
119.750967 82.542 -151.5280
120.117178 82.534 -151.4608
120.483389 82.527 -151.3985
120.849600 82.519 -151.3414
121.215811 82.512 -151.2895
121.582022 82.504 -151.2420
121.948232 82.495 -151.1983
122.314443 82.487 -151.1572
122.680654 82.478 -151.1178
123.046865 82.469 -151.0791
123.413076 82.459 -151.0402
123.779287 82.449 -151.0007
124.145498 82.440 -150.9600
124.511709 82.430 -150.9179
124.877920 82.421 -150.8744
125.244131 82.411 -150.8295
125.610342 82.402 -150.7832
125.976552 82.393 -150.7354
126.342763 82.383 -150.6864
126.708974 82.374 -150.6361
127.075185 82.365 -150.5846
127.441396 82.356 -150.5319
127.807607 82.347 -150.4781
128.173818 82.338 -150.4234
128.540029 82.328 -150.3678
128.906240 82.319 -150.3114
129.272451 82.309 -150.2545
129.638662 82.300 -150.1971
130.004872 82.290 -150.1393
130.371083 82.281 -150.0814
130.737294 82.271 -150.0233
131.103505 82.262 -149.9653
131.469716 82.253 -149.9075
131.835927 82.244 -149.8502
132.202138 82.235 -149.7935
132.568349 82.225 -149.7374
132.934560 82.217 -149.6820
133.300771 82.208 -149.6272
133.666981 82.199 -149.5727
134.033192 82.189 -149.5181
134.399403 82.180 -149.4631
134.765614 82.171 -149.4070
135.131825 82.162 -149.3493
135.498036 82.152 -149.2898
135.864247 82.143 -149.2280
136.230458 82.134 -149.1640
136.596669 82.126 -149.0978
136.962880 82.118 -149.0301
137.329091 82.110 -148.9613
137.695301 82.103 -148.8923
138.061512 82.096 -148.8240
138.427723 82.090 -148.7570
138.793934 82.084 -148.6922
139.160145 82.078 -148.6296
139.526356 82.072 -148.5695
139.892567 82.066 -148.5114
140.258778 82.060 -148.4549
140.624989 82.053 -148.3990
140.991200 82.045 -148.3430
141.357411 82.037 -148.2860
141.723621 82.029 -148.2273
142.089832 82.020 -148.1665
142.456043 82.011 -148.1035
142.822254 82.002 -148.0387
143.188465 81.993 -147.9724
143.554676 81.985 -147.9053
143.920887 81.976 -147.8383
144.287098 81.968 -147.7718
144.653309 81.959 -147.7064
145.019520 81.951 -147.6423
145.385731 81.943 -147.5795
