* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Jan 28, 2023 4:42:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Jan 28 B = Correct
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 65.490 16.9262
2.563477 67.214 12.8680
2.929687 68.824 8.4591
3.295898 70.325 3.8626
3.662109 71.720 -0.8244
4.028320 73.015 -5.5416
4.394531 74.215 -10.2488
4.760742 75.325 -14.9182
5.126953 76.350 -19.5290
5.493164 77.295 -24.0646
5.859375 78.165 -28.5115
6.225586 78.965 -32.8586
6.591797 79.700 -37.0966
6.958007 80.374 -41.2178
7.324218 80.993 -45.2164
7.690429 81.559 -49.0877
8.056640 82.078 -52.8287
8.422851 82.553 -56.4376
8.789062 82.988 -59.9141
9.155273 83.387 -63.2588
9.521484 83.753 -66.4735
9.887695 84.088 -69.5609
10.253906 84.395 -72.5243
10.620117 84.678 -75.3680
10.986327 84.938 -78.0965
11.352538 85.177 -80.7147
11.718749 85.397 -83.2275
12.084960 85.600 -85.6400
12.451171 85.787 -87.9569
12.817382 85.959 -90.1827
13.183593 86.117 -92.3215
13.549804 86.263 -94.3767
13.916015 86.398 -96.3517
14.282226 86.521 -98.2491
14.648436 86.635 -100.0716
15.014647 86.739 -101.8213
15.380858 86.835 -103.5007
15.747069 86.923 -105.1122
16.113280 87.005 -106.6583
16.479491 87.080 -108.1418
16.845702 87.149 -109.5654
17.211913 87.213 -110.9323
17.578124 87.272 -112.2452
17.944335 87.325 -113.5071
18.310546 87.373 -114.7207
18.676756 87.416 -115.8889
19.042967 87.452 -117.0141
19.409178 87.483 -118.0988
19.775389 87.508 -119.1455
20.141600 87.528 -120.1565
20.507811 87.542 -121.1340
20.874022 87.552 -122.0800
21.240233 87.559 -122.9960
21.606444 87.562 -123.8837
21.972655 87.563 -124.7442
22.338866 87.563 -125.5783
22.705076 87.561 -126.3868
23.071287 87.558 -127.1702
23.437498 87.554 -127.9289
23.803709 87.549 -128.6634
24.169920 87.543 -129.3741
24.536131 87.537 -130.0617
24.902342 87.529 -130.7268
25.268553 87.522 -131.3703
25.634764 87.514 -131.9934
26.000975 87.505 -132.5973
26.367186 87.497 -133.1832
26.733396 87.489 -133.7523
27.099607 87.481 -134.3058
27.465818 87.472 -134.8447
27.832029 87.464 -135.3698
28.198240 87.455 -135.8818
28.564451 87.446 -136.3810
28.930662 87.436 -136.8679
29.296873 87.426 -137.3424
29.663084 87.416 -137.8046
30.029295 87.404 -138.2543
30.395506 87.392 -138.6917
30.761716 87.380 -139.1167
31.127927 87.368 -139.5296
31.494138 87.355 -139.9311
31.860349 87.342 -140.3221
32.226560 87.329 -140.7040
32.592771 87.316 -141.0781
32.958982 87.303 -141.4459
33.325193 87.290 -141.8087
33.691404 87.276 -142.1675
34.057615 87.262 -142.5225
34.423826 87.247 -142.8738
34.790036 87.231 -143.2206
35.156247 87.214 -143.5618
35.522458 87.197 -143.8963
35.888669 87.178 -144.2227
36.254880 87.159 -144.5400
36.621091 87.139 -144.8473
36.987302 87.119 -145.1443
37.353513 87.099 -145.4314
37.719724 87.079 -145.7090
38.085935 87.060 -145.9781
38.452145 87.040 -146.2401
38.818356 87.022 -146.4961
39.184567 87.004 -146.7474
39.550778 86.986 -146.9952
39.916989 86.968 -147.2402
40.283200 86.951 -147.4830
40.649411 86.934 -147.7238
41.015622 86.916 -147.9625
41.381833 86.899 -148.1986
41.748044 86.881 -148.4316
42.114255 86.863 -148.6606
42.480465 86.844 -148.8848
42.846676 86.825 -149.1034
43.212887 86.806 -149.3159
43.579098 86.787 -149.5220
43.945309 86.768 -149.7217
44.311520 86.749 -149.9151
44.677731 86.730 -150.1029
45.043942 86.711 -150.2858
45.410153 86.693 -150.4644
45.776364 86.675 -150.6396
46.142575 86.657 -150.8118
46.508785 86.639 -150.9813
46.874996 86.621 -151.1480
47.241207 86.603 -151.3114
47.607418 86.585 -151.4708
47.973629 86.566 -151.6251
48.339840 86.547 -151.7732
48.706051 86.528 -151.9141
49.072262 86.509 -152.0469
49.438473 86.491 -152.1715
49.804684 86.473 -152.2879
50.170895 86.455 -152.3970
50.537105 86.438 -152.5001
50.903316 86.422 -152.5992
51.269527 86.408 -152.6965
51.635738 86.394 -152.7944
52.001949 86.381 -152.8953
52.368160 86.369 -153.0014
52.734371 86.358 -153.1145
53.100582 86.346 -153.2355
53.466793 86.335 -153.3648
53.833004 86.322 -153.5020
54.199215 86.308 -153.6458
54.565425 86.292 -153.7937
54.931636 86.275 -153.9429
55.297847 86.255 -154.0898
55.664058 86.234 -154.2306
56.030269 86.211 -154.3619
56.396480 86.186 -154.4805
56.762691 86.161 -154.5844
57.128902 86.135 -154.6727
57.495113 86.110 -154.7457
57.861324 86.085 -154.8049
58.227535 86.062 -154.8531
58.593745 86.041 -154.8934
58.959956 86.021 -154.9292
59.326167 86.003 -154.9637
59.692378 85.986 -154.9996
60.058589 85.971 -155.0390
60.424800 85.956 -155.0829
60.791011 85.942 -155.1318
61.157222 85.928 -155.1857
61.523433 85.914 -155.2441
61.889644 85.901 -155.3064
62.255854 85.886 -155.3722
62.622065 85.872 -155.4408
62.988276 85.857 -155.5117
63.354487 85.842 -155.5848
63.720698 85.827 -155.6593
64.086909 85.811 -155.7351
64.453120 85.796 -155.8114
64.819331 85.779 -155.8876
65.185542 85.763 -155.9630
65.551753 85.746 -156.0369
65.917964 85.728 -156.1086
66.284174 85.710 -156.1776
66.650385 85.692 -156.2438
67.016596 85.674 -156.3071
67.382807 85.655 -156.3676
67.749018 85.637 -156.4259
68.115229 85.618 -156.4823
68.481440 85.599 -156.5372
68.847651 85.579 -156.5904
69.213862 85.559 -156.6418
69.580073 85.538 -156.6902
69.946284 85.517 -156.7346
70.312494 85.495 -156.7732
70.678705 85.472 -156.8042
71.044916 85.449 -156.8258
71.411127 85.426 -156.8370
71.777338 85.403 -156.8370
72.143549 85.381 -156.8262
72.509760 85.360 -156.8055
72.875971 85.341 -156.7770
73.242182 85.324 -156.7428
73.608393 85.308 -156.7057
73.974604 85.294 -156.6683
74.340814 85.282 -156.6327
74.707025 85.271 -156.6008
75.073236 85.261 -156.5742
75.439447 85.252 -156.5536
75.805658 85.243 -156.5399
76.171869 85.235 -156.5333
76.538080 85.227 -156.5342
76.904291 85.219 -156.5425
77.270502 85.210 -156.5581
77.636713 85.201 -156.5806
78.002924 85.192 -156.6091
78.369134 85.181 -156.6423
78.735345 85.169 -156.6790
79.101556 85.157 -156.7173
79.467767 85.143 -156.7553
79.833978 85.129 -156.7916
80.200189 85.113 -156.8246
80.566400 85.098 -156.8535
80.932611 85.081 -156.8777
81.298822 85.065 -156.8973
81.665033 85.049 -156.9126
82.031244 85.032 -156.9241
82.397454 85.016 -156.9328
82.763665 85.000 -156.9392
83.129876 84.984 -156.9440
83.496087 84.969 -156.9475
83.862298 84.953 -156.9499
84.228509 84.937 -156.9513
84.594720 84.921 -156.9516
84.960931 84.906 -156.9506
85.327142 84.890 -156.9482
85.693353 84.875 -156.9443
86.059563 84.860 -156.9391
86.425774 84.846 -156.9326
86.791985 84.831 -156.9252
87.158196 84.817 -156.9170
87.524407 84.803 -156.9083
87.890618 84.790 -156.8992
88.256829 84.776 -156.8899
88.623040 84.762 -156.8803
88.989251 84.748 -156.8703
89.355462 84.733 -156.8598
89.721673 84.719 -156.8486
90.087883 84.703 -156.8365
90.454094 84.688 -156.8235
90.820305 84.673 -156.8097
91.186516 84.658 -156.7951
91.552727 84.642 -156.7800
91.918938 84.627 -156.7646
92.285149 84.613 -156.7491
92.651360 84.598 -156.7339
93.017571 84.584 -156.7188
93.383782 84.570 -156.7041
93.749993 84.557 -156.6895
94.116203 84.543 -156.6750
94.482414 84.530 -156.6603
94.848625 84.516 -156.6452
95.214836 84.503 -156.6296
95.581047 84.489 -156.6132
95.947258 84.476 -156.5959
96.313469 84.462 -156.5776
96.679680 84.448 -156.5582
97.045891 84.434 -156.5375
97.412102 84.419 -156.5154
97.778313 84.404 -156.4917
98.144523 84.390 -156.4661
98.510734 84.375 -156.4385
98.876945 84.360 -156.4086
99.243156 84.344 -156.3764
99.609367 84.329 -156.3419
99.975578 84.314 -156.3054
100.341789 84.300 -156.2671
100.708000 84.285 -156.2275
101.074211 84.271 -156.1870
101.440422 84.258 -156.1462
101.806633 84.244 -156.1053
102.172843 84.231 -156.0649
102.539054 84.219 -156.0250
102.905265 84.206 -155.9858
103.271476 84.194 -155.9473
103.637687 84.182 -155.9094
104.003898 84.170 -155.8721
104.370109 84.159 -155.8354
104.736320 84.147 -155.7991
105.102531 84.135 -155.7633
105.468742 84.123 -155.7281
105.834953 84.111 -155.6937
106.201163 84.100 -155.6603
106.567374 84.088 -155.6279
106.933585 84.076 -155.5968
107.299796 84.064 -155.5669
107.666007 84.053 -155.5382
108.032218 84.041 -155.5106
108.398429 84.029 -155.4839
108.764640 84.017 -155.4578
109.130851 84.006 -155.4320
109.497062 83.994 -155.4063
109.863272 83.982 -155.3804
110.229483 83.970 -155.3543
110.595694 83.958 -155.3277
110.961905 83.946 -155.3005
111.328116 83.934 -155.2727
111.694327 83.922 -155.2442
112.060538 83.909 -155.2147
112.426749 83.897 -155.1840
112.792960 83.884 -155.1519
113.159171 83.870 -155.1181
113.525382 83.857 -155.0820
113.891592 83.843 -155.0437
114.257803 83.830 -155.0031
114.624014 83.817 -154.9601
114.990225 83.804 -154.9151
115.356436 83.792 -154.8687
115.722647 83.780 -154.8216
116.088858 83.769 -154.7747
116.455069 83.758 -154.7286
116.821280 83.748 -154.6842
117.187491 83.738 -154.6419
117.553702 83.728 -154.6018
117.919912 83.719 -154.5636
118.286123 83.709 -154.5269
118.652334 83.698 -154.4908
119.018545 83.687 -154.4543
119.384756 83.675 -154.4163
119.750967 83.663 -154.3759
120.117178 83.651 -154.3324
120.483389 83.638 -154.2852
120.849600 83.624 -154.2341
121.215811 83.611 -154.1794
121.582022 83.598 -154.1213
121.948232 83.585 -154.0605
122.314443 83.572 -153.9976
122.680654 83.560 -153.9332
123.046865 83.548 -153.8678
123.413076 83.537 -153.8020
123.779287 83.526 -153.7362
124.145498 83.516 -153.6705
124.511709 83.506 -153.6053
124.877920 83.497 -153.5408
125.244131 83.488 -153.4770
125.610342 83.480 -153.4143
125.976552 83.471 -153.3528
126.342763 83.463 -153.2927
126.708974 83.455 -153.2340
127.075185 83.447 -153.1769
127.441396 83.439 -153.1215
127.807607 83.431 -153.0676
128.173818 83.423 -153.0150
128.540029 83.414 -152.9636
128.906240 83.404 -152.9131
129.272451 83.395 -152.8632
129.638662 83.385 -152.8136
130.004872 83.375 -152.7641
130.371083 83.365 -152.7145
130.737294 83.354 -152.6647
131.103505 83.343 -152.6146
131.469716 83.333 -152.5643
131.835927 83.322 -152.5137
132.202138 83.311 -152.4628
132.568349 83.300 -152.4116
132.934560 83.290 -152.3600
133.300771 83.279 -152.3081
133.666981 83.269 -152.2558
134.033192 83.258 -152.2030
134.399403 83.248 -152.1496
134.765614 83.237 -152.0955
135.131825 83.227 -152.0407
135.498036 83.217 -151.9851
135.864247 83.208 -151.9287
136.230458 83.198 -151.8716
136.596669 83.189 -151.8137
136.962880 83.180 -151.7552
137.329091 83.171 -151.6962
137.695301 83.163 -151.6371
138.061512 83.155 -151.5780
138.427723 83.147 -151.5192
138.793934 83.139 -151.4609
139.160145 83.131 -151.4034
139.526356 83.124 -151.3468
139.892567 83.116 -151.2909
140.258778 83.108 -151.2358
140.624989 83.100 -151.1812
140.991200 83.092 -151.1269
141.357411 83.084 -151.0726
141.723621 83.075 -151.0179
142.089832 83.066 -150.9627
142.456043 83.056 -150.9067
142.822254 83.046 -150.8497
143.188465 83.036 -150.7918
143.554676 83.026 -150.7328
143.920887 83.016 -150.6727
144.287098 83.006 -150.6116
144.653309 82.996 -150.5494
145.019520 82.985 -150.4862
145.385731 82.975 -150.4218
