* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Nov 21, 2022 7:17:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = Nov 21 B = Aster Correction Averaged Fin
* Measurement: A times B
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 57.524 -123.5117
2.563477 55.284 -164.7490
2.929687 53.027 106.7061
3.295898 60.673 38.7240
3.662109 66.167 8.8793
4.028320 69.579 -11.3438
4.394531 71.747 -26.3953
4.760742 73.171 -37.0046
5.126953 74.282 -43.6769
5.493164 75.417 -48.0115
5.859375 76.639 -52.3456
6.225586 77.745 -57.9991
6.591797 78.501 -64.6011
6.958007 78.804 -70.7391
7.324218 78.734 -74.6532
7.690429 78.606 -75.1444
8.056640 78.855 -73.2818
8.422851 79.587 -72.4711
8.789062 80.422 -74.8539
9.155273 80.956 -79.6873
9.521484 81.018 -84.8126
9.887695 80.702 -87.7742
10.253906 80.415 -86.9067
10.620117 80.731 -83.7643
10.986327 81.718 -82.9778
11.352538 82.835 -86.9133
11.718749 83.602 -94.4798
12.084960 83.810 -103.5742
12.451171 83.407 -112.0442
12.817382 82.471 -117.5043
13.183593 81.343 -117.4030
13.549804 80.793 -111.5323
13.916015 81.335 -105.4578
14.282226 82.409 -104.3755
14.648436 83.294 -107.7053
15.014647 83.722 -112.8391
15.380858 83.709 -117.5349
15.747069 83.428 -120.2667
16.113280 83.157 -120.5951
16.479491 83.139 -119.6128
16.845702 83.380 -119.1802
17.211913 83.682 -120.2491
17.578124 83.854 -122.4332
17.944335 83.833 -124.7561
18.310546 83.673 -126.3712
18.676756 83.491 -126.9820
19.042967 83.393 -126.9424
19.409178 83.397 -126.8987
19.775389 83.453 -127.2408
20.141600 83.506 -127.9297
20.507811 83.541 -128.7529
20.874022 83.573 -129.6266
21.240233 83.605 -130.6445
21.606444 83.613 -131.8726
21.972655 83.560 -133.1379
22.338866 83.445 -134.0505
22.705076 83.322 -134.2826
23.071287 83.277 -133.9264
23.437498 83.357 -133.5699
23.803709 83.512 -133.8531
24.169920 83.634 -134.9081
24.536131 83.637 -136.2552
24.902342 83.521 -137.1318
25.268553 83.381 -136.9996
25.634764 83.359 -136.0347
26.000975 83.522 -135.1586
26.367186 83.801 -135.3165
26.733396 84.050 -136.7433
27.099607 84.155 -138.9598
27.465818 84.085 -141.1967
27.832029 83.885 -142.7905
28.198240 83.652 -143.4604
28.564451 83.473 -143.4028
28.930662 83.385 -143.0897
29.296873 83.365 -142.8906
29.663084 83.375 -142.8839
30.029295 83.401 -142.9835
30.395506 83.448 -143.1597
30.761716 83.520 -143.5093
31.127927 83.598 -144.1398
31.494138 83.652 -145.0227
31.860349 83.662 -145.9779
32.226560 83.637 -146.7977
32.592771 83.603 -147.3984
32.958982 83.583 -147.8715
33.325193 83.578 -148.3826
33.691404 83.563 -149.0033
34.057615 83.518 -149.6332
34.423826 83.445 -150.0789
34.790036 83.373 -150.2206
35.156247 83.337 -150.1394
35.522458 83.355 -150.0903
35.888669 83.406 -150.3254
36.254880 83.452 -150.9198
36.621091 83.458 -151.7399
36.987302 83.416 -152.5479
37.353513 83.344 -153.1448
37.719724 83.272 -153.4709
38.085935 83.227 -153.6166
38.452145 83.214 -153.7427
38.818356 83.221 -153.9698
39.184567 83.230 -154.3154
39.550778 83.227 -154.7069
39.916989 83.209 -155.0393
40.283200 83.185 -155.2371
40.649411 83.170 -155.2899
41.015622 83.172 -155.2521
41.381833 83.193 -155.2102
41.748044 83.226 -155.2368
42.114255 83.258 -155.3567
42.480465 83.279 -155.5441
42.846676 83.285 -155.7476
43.212887 83.279 -155.9265
43.579098 83.266 -156.0755
43.945309 83.250 -156.2233
44.311520 83.228 -156.4034
44.677731 83.195 -156.6235
45.043942 83.148 -156.8539
45.410153 83.088 -157.0472
45.776364 83.025 -157.1751
46.142575 82.968 -157.2564
46.508785 82.923 -157.3516
46.874996 82.887 -157.5258
47.241207 82.852 -157.8040
47.607418 82.808 -158.1510
47.973629 82.753 -158.4915
48.339840 82.693 -158.7533
48.706051 82.640 -158.9102
49.072262 82.604 -158.9948
49.438473 82.590 -159.0736
49.804684 82.590 -159.2021
50.170895 82.596 -159.3906
50.537105 82.599 -159.6039
50.903316 82.599 -159.7912
51.269527 82.598 -159.9210
51.635738 82.602 -160.0001
52.001949 82.613 -160.0635
52.368160 82.626 -160.1459
52.734371 82.636 -160.2573
53.100582 82.636 -160.3784
53.466793 82.628 -160.4791
53.833004 82.614 -160.5437
54.199215 82.598 -160.5840
54.565425 82.583 -160.6330
54.931636 82.566 -160.7217
55.297847 82.542 -160.8600
55.664058 82.511 -161.0325
56.030269 82.470 -161.2142
56.396480 82.426 -161.3912
56.762691 82.382 -161.5720
57.128902 82.340 -161.7803
57.495113 82.299 -162.0341
57.861324 82.255 -162.3289
58.227535 82.207 -162.6375
58.593745 82.158 -162.9281
58.959956 82.111 -163.1863
59.326167 82.073 -163.4252
59.692378 82.042 -163.6713
60.058589 82.014 -163.9384
60.424800 81.985 -164.2071
60.791011 81.952 -164.4299
61.157222 81.918 -164.5593
61.523433 81.894 -164.5836
61.889644 81.885 -164.5428
62.255854 81.894 -164.5108
62.622065 81.911 -164.5508
62.988276 81.923 -164.6743
63.354487 81.920 -164.8320
63.720698 81.899 -164.9421
64.086909 81.866 -164.9381
64.453120 81.833 -164.8071
64.819331 81.810 -164.5966
65.185542 81.799 -164.3838
65.551753 81.794 -164.2287
65.917964 81.785 -164.1437
66.284174 81.766 -164.0984
66.650385 81.739 -164.0515
67.016596 81.707 -163.9831
67.382807 81.677 -163.9080
67.749018 81.650 -163.8603
68.115229 81.624 -163.8668
68.481440 81.594 -163.9294
68.847651 81.560 -164.0294
69.213862 81.523 -164.1458
69.580073 81.487 -164.2740
69.946284 81.453 -164.4289
70.312494 81.423 -164.6324
70.678705 81.393 -164.8972
71.044916 81.359 -165.2162
71.411127 81.319 -165.5623
71.777338 81.271 -165.8969
72.143549 81.219 -166.1810
72.509760 81.169 -166.3904
72.875971 81.129 -166.5297
73.242182 81.105 -166.6394
73.608393 81.098 -166.7836
73.974604 81.099 -167.0173
74.340814 81.096 -167.3485
74.707025 81.077 -167.7224
75.073236 81.040 -168.0421
75.439447 80.993 -168.2217
75.805658 80.950 -168.2390
76.171869 80.925 -168.1539
76.538080 80.920 -168.0717
76.904291 80.925 -168.0733
77.270502 80.924 -168.1651
77.636713 80.907 -168.2833
78.002924 80.875 -168.3448
78.369134 80.836 -168.3020
78.735345 80.800 -168.1667
79.101556 80.773 -167.9883
79.467767 80.753 -167.8134
79.833978 80.735 -167.6603
80.200189 80.719 -167.5283
80.566400 80.703 -167.4211
80.932611 80.687 -167.3552
81.298822 80.667 -167.3428
81.665033 80.638 -167.3674
82.031244 80.597 -167.3826
82.397454 80.549 -167.3413
82.763665 80.505 -167.2365
83.129876 80.471 -167.1143
83.496087 80.447 -167.0439
83.862298 80.422 -167.0616
84.228509 80.388 -167.1381
84.594720 80.341 -167.1965
84.960931 80.288 -167.1688
85.327142 80.244 -167.0497
85.693353 80.218 -166.9066
86.059563 80.209 -166.8350
86.425774 80.205 -166.8923
86.791985 80.194 -167.0632
87.158196 80.168 -167.2758
87.524407 80.129 -167.4525
87.890618 80.088 -167.5573
88.256829 80.053 -167.6114
88.623040 80.029 -167.6718
88.989251 80.011 -167.7895
89.355462 79.991 -167.9765
89.721673 79.963 -168.1999
90.087883 79.925 -168.4028
90.454094 79.882 -168.5379
90.820305 79.845 -168.5980
91.186516 79.820 -168.6244
91.552727 79.809 -168.6862
91.918938 79.803 -168.8358
92.285149 79.790 -169.0693
92.651360 79.760 -169.3193
93.017571 79.715 -169.4901
93.383782 79.666 -169.5170
93.749993 79.628 -169.4134
94.116203 79.612 -169.2665
94.482414 79.612 -169.1783
94.848625 79.614 -169.1938
95.214836 79.606 -169.2759
95.581047 79.585 -169.3449
95.947258 79.557 -169.3480
96.313469 79.532 -169.3024
96.679680 79.512 -169.2731
97.045891 79.488 -169.3038
97.412102 79.450 -169.3656
97.778313 79.395 -169.3722
98.144523 79.335 -169.2563
98.510734 79.287 -169.0414
98.876945 79.257 -168.8408
99.243156 79.236 -168.7686
99.609367 79.204 -168.8357
99.975578 79.145 -168.9270
100.341789 79.067 -168.8857
100.708000 78.996 -168.6473
101.074211 78.956 -168.3183
101.440422 78.950 -168.1147
101.806633 78.952 -168.1885
102.172843 78.923 -168.4905
102.539054 78.843 -168.7815
102.905265 78.727 -168.7785
103.271476 78.620 -168.3493
103.637687 78.569 -167.6330
104.003898 78.591 -166.9717
104.370109 78.660 -166.6751
104.736320 78.726 -166.8201
105.102531 78.748 -167.2422
105.468742 78.717 -167.6766
105.834953 78.652 -167.9203
106.201163 78.582 -167.9258
106.567374 78.529 -167.7855
106.933585 78.495 -167.6312
107.299796 78.470 -167.5358
107.666007 78.443 -167.4894
108.032218 78.413 -167.4480
108.398429 78.382 -167.3907
108.764640 78.356 -167.3366
109.130851 78.334 -167.3179
109.497062 78.311 -167.3461
109.863272 78.282 -167.4031
110.229483 78.248 -167.4593
110.595694 78.209 -167.4911
110.961905 78.169 -167.4845
111.328116 78.130 -167.4301
111.694327 78.098 -167.3287
112.060538 78.078 -167.2079
112.426749 78.070 -167.1253
112.792960 78.065 -167.1352
113.159171 78.052 -167.2352
113.525382 78.018 -167.3422
113.891592 77.967 -167.3373
114.257803 77.919 -167.1609
114.624014 77.894 -166.8876
114.990225 77.894 -166.6926
115.356436 77.900 -166.7098
115.722647 77.877 -166.8977
116.088858 77.814 -167.0440
116.455069 77.729 -166.9259
116.821280 77.670 -166.5308
117.187491 77.671 -166.1527
117.553702 77.712 -166.2062
117.919912 77.720 -166.8688
118.286123 77.619 -167.8689
118.652334 77.379 -168.5565
119.018545 77.055 -168.2009
119.384756 76.790 -166.4838
119.750967 76.743 -163.9852
120.117178 76.946 -161.9914
120.483389 77.271 -161.4772
120.849600 77.539 -162.4491
121.215811 77.638 -164.1918
121.582022 77.553 -165.7859
121.948232 77.360 -166.5171
122.314443 77.185 -166.2026
122.680654 77.132 -165.3196
123.046865 77.210 -164.6633
123.413076 77.338 -164.7310
123.779287 77.421 -165.4474
124.145498 77.409 -166.3638
124.511709 77.313 -167.0009
124.877920 77.187 -167.1098
125.244131 77.089 -166.7684
125.610342 77.043 -166.2687
125.976552 77.035 -165.8752
126.342763 77.032 -165.6609
126.708974 77.015 -165.5323
127.075185 76.982 -165.3656
127.441396 76.949 -165.1194
127.807607 76.924 -164.8478
128.173818 76.905 -164.6284
128.540029 76.882 -164.4835
128.906240 76.846 -164.3643
129.272451 76.799 -164.1995
129.638662 76.753 -163.9589
130.004872 76.717 -163.6784
130.371083 76.693 -163.4279
130.737294 76.674 -163.2545
131.103505 76.651 -163.1487
131.469716 76.621 -163.0598
131.835927 76.587 -162.9419
132.202138 76.557 -162.7924
132.568349 76.535 -162.6522
132.934560 76.518 -162.5681
133.300771 76.497 -162.5483
133.666981 76.464 -162.5480
134.033192 76.421 -162.4976
134.399403 76.376 -162.3537
134.765614 76.340 -162.1365
135.131825 76.320 -161.9205
135.498036 76.307 -161.7812
135.864247 76.291 -161.7368
136.230458 76.260 -161.7317
136.596669 76.216 -161.6779
136.962880 76.169 -161.5249
137.329091 76.133 -161.3079
137.695301 76.113 -161.1295
138.061512 76.098 -161.0800
138.427723 76.068 -161.1569
138.793934 76.009 -161.2477
139.160145 75.927 -161.1935
139.526356 75.843 -160.8968
139.892567 75.786 -160.4026
140.258778 75.772 -159.8890
140.624989 75.791 -159.5541
140.991200 75.816 -159.4854
141.357411 75.818 -159.6130
141.723621 75.786 -159.7686
142.089832 75.731 -159.7948
142.456043 75.674 -159.6356
142.822254 75.635 -159.3546
143.188465 75.616 -159.0718
143.554676 75.609 -158.8721
143.920887 75.600 -158.7566
144.287098 75.582 -158.6653
144.653309 75.558 -158.5395
145.019520 75.535 -158.3688
145.385731 75.518 -158.1901
