* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Jan 7, 2023 12:33:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Jan 7 B = Correct
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 53.770 24.5532
2.563477 55.672 21.1038
2.929687 57.442 17.4239
3.295898 59.092 13.6413
3.662109 60.629 9.8234
4.028320 62.061 6.0082
4.394531 63.396 2.2183
4.760742 64.639 -1.5316
5.126953 65.798 -5.2308
5.493164 66.878 -8.8709
5.859375 67.884 -12.4450
6.225586 68.823 -15.9474
6.591797 69.699 -19.3733
6.958007 70.516 -22.7192
7.324218 71.280 -25.9821
7.690429 71.994 -29.1605
8.056640 72.663 -32.2532
8.422851 73.290 -35.2601
8.789062 73.878 -38.1815
9.155273 74.430 -41.0183
9.521484 74.949 -43.7719
9.887695 75.437 -46.4440
10.253906 75.898 -49.0363
10.620117 76.332 -51.5511
10.986327 76.743 -53.9904
11.352538 77.131 -56.3567
11.718749 77.499 -58.6525
12.084960 77.847 -60.8803
12.451171 78.178 -63.0427
12.817382 78.493 -65.1427
13.183593 78.793 -67.1829
13.549804 79.078 -69.1662
13.916015 79.350 -71.0953
14.282226 79.610 -72.9731
14.648436 79.858 -74.8021
15.014647 80.096 -76.5848
15.380858 80.323 -78.3234
15.747069 80.540 -80.0200
16.113280 80.748 -81.6763
16.479491 80.948 -83.2940
16.845702 81.138 -84.8743
17.211913 81.321 -86.4183
17.578124 81.494 -87.9270
17.944335 81.660 -89.4012
18.310546 81.817 -90.8419
18.676756 81.965 -92.2501
19.042967 82.104 -93.6269
19.409178 82.235 -94.9737
19.775389 82.356 -96.2918
20.141600 82.470 -97.5828
20.507811 82.576 -98.8481
20.874022 82.675 -100.0888
21.240233 82.769 -101.3061
21.606444 82.857 -102.5009
21.972655 82.941 -103.6738
22.338866 83.021 -104.8256
22.705076 83.098 -105.9571
23.071287 83.173 -107.0689
23.437498 83.244 -108.1618
23.803709 83.313 -109.2366
24.169920 83.379 -110.2939
24.536131 83.443 -111.3343
24.902342 83.504 -112.3582
25.268553 83.563 -113.3659
25.634764 83.620 -114.3574
26.000975 83.674 -115.3330
26.367186 83.726 -116.2927
26.733396 83.777 -117.2369
27.099607 83.826 -118.1656
27.465818 83.873 -119.0795
27.832029 83.919 -119.9790
28.198240 83.964 -120.8648
28.564451 84.006 -121.7375
28.930662 84.048 -122.5979
29.296873 84.087 -123.4466
29.663084 84.126 -124.2840
30.029295 84.162 -125.1105
30.395506 84.197 -125.9265
30.761716 84.230 -126.7318
31.127927 84.262 -127.5266
31.494138 84.292 -128.3106
31.860349 84.320 -129.0839
32.226560 84.347 -129.8463
32.592771 84.372 -130.5978
32.958982 84.396 -131.3385
33.325193 84.418 -132.0685
33.691404 84.438 -132.7880
34.057615 84.457 -133.4973
34.423826 84.475 -134.1967
34.790036 84.492 -134.8867
35.156247 84.508 -135.5676
35.522458 84.523 -136.2398
35.888669 84.536 -136.9035
36.254880 84.549 -137.5593
36.621091 84.561 -138.2071
36.987302 84.572 -138.8472
37.353513 84.581 -139.4797
37.719724 84.590 -140.1046
38.085935 84.598 -140.7219
38.452145 84.605 -141.3316
38.818356 84.611 -141.9337
39.184567 84.616 -142.5282
39.550778 84.621 -143.1152
39.916989 84.625 -143.6950
40.283200 84.628 -144.2678
40.649411 84.631 -144.8339
41.015622 84.634 -145.3939
41.381833 84.635 -145.9480
41.748044 84.637 -146.4968
42.114255 84.637 -147.0406
42.480465 84.638 -147.5799
42.846676 84.637 -148.1147
43.212887 84.637 -148.6452
43.579098 84.635 -149.1714
43.945309 84.633 -149.6930
44.311520 84.630 -150.2097
44.677731 84.626 -150.7211
45.043942 84.622 -151.2268
45.410153 84.617 -151.7264
45.776364 84.611 -152.2195
46.142575 84.605 -152.7060
46.508785 84.599 -153.1857
46.874996 84.592 -153.6588
47.241207 84.585 -154.1257
47.607418 84.578 -154.5869
47.973629 84.571 -155.0430
48.339840 84.564 -155.4949
48.706051 84.557 -155.9434
49.072262 84.550 -156.3890
49.438473 84.542 -156.8324
49.804684 84.534 -157.2737
50.170895 84.525 -157.7125
50.537105 84.516 -158.1484
50.903316 84.505 -158.5802
51.269527 84.493 -159.0067
51.635738 84.480 -159.4262
52.001949 84.465 -159.8372
52.368160 84.450 -160.2381
52.734371 84.434 -160.6275
53.100582 84.418 -161.0046
53.466793 84.401 -161.3687
53.833004 84.385 -161.7197
54.199215 84.370 -162.0581
54.565425 84.355 -162.3846
54.931636 84.341 -162.7007
55.297847 84.329 -163.0080
55.664058 84.318 -163.3089
56.030269 84.310 -163.6059
56.396480 84.303 -163.9017
56.762691 84.298 -164.1994
57.128902 84.295 -164.5023
57.495113 84.293 -164.8131
57.861324 84.292 -165.1348
58.227535 84.292 -165.4693
58.593745 84.292 -165.8182
58.959956 84.291 -166.1818
59.326167 84.290 -166.5596
59.692378 84.286 -166.9500
60.058589 84.281 -167.3505
60.424800 84.272 -167.7577
60.791011 84.261 -168.1678
61.157222 84.247 -168.5771
61.523433 84.230 -168.9817
61.889644 84.211 -169.3783
62.255854 84.189 -169.7643
62.622065 84.166 -170.1380
62.988276 84.141 -170.4982
63.354487 84.115 -170.8449
63.720698 84.089 -171.1785
64.086909 84.063 -171.5001
64.453120 84.037 -171.8108
64.819331 84.012 -172.1124
65.185542 83.987 -172.4063
65.551753 83.963 -172.6941
65.917964 83.940 -172.9771
66.284174 83.917 -173.2568
66.650385 83.894 -173.5342
67.016596 83.872 -173.8103
67.382807 83.850 -174.0857
67.749018 83.828 -174.3612
68.115229 83.807 -174.6369
68.481440 83.785 -174.9132
68.847651 83.763 -175.1899
69.213862 83.741 -175.4669
69.580073 83.718 -175.7438
69.946284 83.695 -176.0202
70.312494 83.672 -176.2956
70.678705 83.649 -176.5694
71.044916 83.625 -176.8413
71.411127 83.601 -177.1109
71.777338 83.577 -177.3778
72.143549 83.552 -177.6419
72.509760 83.528 -177.9031
72.875971 83.503 -178.1614
73.242182 83.479 -178.4167
73.608393 83.455 -178.6692
73.974604 83.431 -178.9188
74.340814 83.407 -179.1656
74.707025 83.383 -179.4097
75.073236 83.360 -179.6512
75.439447 83.336 -179.8902
75.805658 83.312 179.8733
76.171869 83.288 179.6392
76.538080 83.264 179.4073
76.904291 83.240 179.1776
77.270502 83.216 178.9500
77.636713 83.192 178.7245
78.002924 83.168 178.5010
78.369134 83.144 178.2797
78.735345 83.120 178.0607
79.101556 83.096 177.8439
79.467767 83.072 177.6298
79.833978 83.048 177.4183
80.200189 83.024 177.2097
80.566400 83.001 177.0039
80.932611 82.977 176.8010
81.298822 82.954 176.6007
81.665033 82.930 176.4030
82.031244 82.907 176.2076
82.397454 82.884 176.0143
82.763665 82.861 175.8228
83.129876 82.838 175.6331
83.496087 82.814 175.4449
83.862298 82.791 175.2582
84.228509 82.768 175.0730
84.594720 82.744 174.8891
84.960931 82.721 174.7067
85.327142 82.697 174.5258
85.693353 82.674 174.3463
86.059563 82.650 174.1685
86.425774 82.627 173.9922
86.791985 82.603 173.8176
87.158196 82.580 173.6447
87.524407 82.557 173.4735
87.890618 82.533 173.3040
88.256829 82.509 173.1361
88.623040 82.485 172.9698
88.989251 82.461 172.8051
89.355462 82.436 172.6416
89.721673 82.411 172.4793
90.087883 82.385 172.3182
90.454094 82.359 172.1580
90.820305 82.332 171.9988
91.186516 82.306 171.8406
91.552727 82.279 171.6836
91.918938 82.252 171.5279
92.285149 82.225 171.3739
92.651360 82.199 171.2219
93.017571 82.172 171.0720
93.383782 82.145 170.9247
93.749993 82.119 170.7798
94.116203 82.093 170.6376
94.482414 82.067 170.4978
94.848625 82.041 170.3602
95.214836 82.016 170.2245
95.581047 81.990 170.0905
95.947258 81.965 169.9576
96.313469 81.940 169.8258
96.679680 81.915 169.6948
97.045891 81.890 169.5646
97.412102 81.864 169.4352
97.778313 81.839 169.3066
98.144523 81.813 169.1791
98.510734 81.787 169.0528
98.876945 81.761 168.9279
99.243156 81.735 168.8046
99.609367 81.709 168.6829
99.975578 81.682 168.5629
100.341789 81.656 168.4448
100.708000 81.629 168.3284
101.074211 81.603 168.2138
101.440422 81.576 168.1010
101.806633 81.550 167.9900
102.172843 81.524 167.8807
102.539054 81.497 167.7731
102.905265 81.471 167.6672
103.271476 81.445 167.5629
103.637687 81.419 167.4602
104.003898 81.394 167.3591
104.370109 81.368 167.2594
104.736320 81.342 167.1611
105.102531 81.316 167.0642
105.468742 81.290 166.9685
105.834953 81.264 166.8741
106.201163 81.237 166.7809
106.567374 81.211 166.6892
106.933585 81.184 166.5989
107.299796 81.158 166.5101
107.666007 81.131 166.4232
108.032218 81.105 166.3381
108.398429 81.079 166.2551
108.764640 81.053 166.1740
109.130851 81.027 166.0948
109.497062 81.002 166.0173
109.863272 80.976 165.9413
110.229483 80.952 165.8664
110.595694 80.927 165.7924
110.961905 80.902 165.7189
111.328116 80.878 165.6456
111.694327 80.854 165.5723
112.060538 80.829 165.4990
112.426749 80.805 165.4257
112.792960 80.780 165.3524
113.159171 80.755 165.2792
113.525382 80.730 165.2065
113.891592 80.704 165.1343
114.257803 80.679 165.0628
114.624014 80.654 164.9922
114.990225 80.628 164.9225
115.356436 80.603 164.8537
115.722647 80.577 164.7857
116.088858 80.552 164.7185
116.455069 80.527 164.6520
116.821280 80.502 164.5862
117.187491 80.477 164.5213
117.553702 80.452 164.4573
117.919912 80.427 164.3948
118.286123 80.402 164.3342
118.652334 80.376 164.2760
119.018545 80.350 164.2208
119.384756 80.324 164.1690
119.750967 80.298 164.1211
120.117178 80.272 164.0771
120.483389 80.245 164.0369
120.849600 80.219 164.0003
121.215811 80.192 163.9668
121.582022 80.166 163.9358
121.948232 80.141 163.9067
122.314443 80.116 163.8788
122.680654 80.091 163.8516
123.046865 80.066 163.8246
123.413076 80.042 163.7975
123.779287 80.019 163.7701
124.145498 79.995 163.7423
124.511709 79.972 163.7144
124.877920 79.949 163.6862
125.244131 79.927 163.6581
125.610342 79.904 163.6302
125.976552 79.881 163.6028
126.342763 79.859 163.5764
126.708974 79.836 163.5510
127.075185 79.813 163.5269
127.441396 79.790 163.5045
127.807607 79.766 163.4838
128.173818 79.743 163.4649
128.540029 79.719 163.4479
128.906240 79.695 163.4329
129.272451 79.671 163.4196
129.638662 79.646 163.4081
130.004872 79.622 163.3984
130.371083 79.598 163.3902
130.737294 79.573 163.3836
131.103505 79.549 163.3785
131.469716 79.525 163.3749
131.835927 79.501 163.3729
132.202138 79.477 163.3724
132.568349 79.453 163.3734
132.934560 79.429 163.3760
133.300771 79.406 163.3802
133.666981 79.382 163.3861
134.033192 79.359 163.3937
134.399403 79.336 163.4029
134.765614 79.314 163.4137
135.131825 79.291 163.4261
135.498036 79.269 163.4401
135.864247 79.248 163.4553
136.230458 79.227 163.4716
136.596669 79.206 163.4888
136.962880 79.185 163.5069
137.329091 79.165 163.5256
137.695301 79.145 163.5448
138.061512 79.125 163.5646
138.427723 79.105 163.5848
138.793934 79.086 163.6057
139.160145 79.066 163.6272
139.526356 79.047 163.6492
139.892567 79.028 163.6721
140.258778 79.008 163.6956
140.624989 78.989 163.7201
140.991200 78.969 163.7455
141.357411 78.950 163.7720
141.723621 78.930 163.7997
142.089832 78.910 163.8288
142.456043 78.890 163.8594
142.822254 78.869 163.8914
143.188465 78.849 163.9249
143.554676 78.829 163.9599
143.920887 78.809 163.9962
144.287098 78.789 164.0337
144.653309 78.769 164.0723
145.019520 78.749 164.1118
145.385731 78.729 164.1522
145.751941 78.710 164.1934
146.118152 78.691 164.2354
146.484363 78.671 164.2781
146.850574 78.653 164.3216
147.216785 78.634 164.3657
147.582996 78.616 164.4103
147.949207 78.597 164.4554
148.315418 78.580 164.5009
148.681629 78.562 164.5468
149.047840 78.544 164.5929
149.414051 78.527 164.6394
149.780261 78.510 164.6864
150.146472 78.493 164.7340
150.512683 78.476 164.7823
