* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Jan 7, 2023 12:33:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Jan 7 B = Correct
* Measurement: A times Bconj
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 53.848 23.9634
2.563477 55.902 20.0716
2.929687 57.798 16.0922
3.295898 59.551 12.1072
3.662109 61.171 8.1534
4.028320 62.671 4.2486
4.394531 64.060 0.4028
4.760742 65.347 -3.3772
5.126953 66.540 -7.0857
5.493164 67.647 -10.7177
5.859375 68.675 -14.2688
6.225586 69.632 -17.7357
6.591797 70.522 -21.1159
6.958007 71.351 -24.4079
7.324218 72.126 -27.6116
7.690429 72.850 -30.7275
8.056640 73.528 -33.7570
8.422851 74.163 -36.7021
8.789062 74.760 -39.5653
9.155273 75.321 -42.3493
9.521484 75.849 -45.0567
9.887695 76.346 -47.6903
10.253906 76.815 -50.2526
10.620117 77.258 -52.7463
10.986327 77.676 -55.1737
11.352538 78.072 -57.5370
11.718749 78.446 -59.8383
12.084960 78.801 -62.0797
12.451171 79.138 -64.2633
12.817382 79.457 -66.3909
13.183593 79.761 -68.4645
13.549804 80.049 -70.4857
13.916015 80.324 -72.4565
14.282226 80.585 -74.3786
14.648436 80.834 -76.2536
15.014647 81.072 -78.0832
15.380858 81.299 -79.8689
15.747069 81.515 -81.6123
16.113280 81.723 -83.3146
16.479491 81.920 -84.9773
16.845702 82.110 -86.6014
17.211913 82.290 -88.1881
17.578124 82.463 -89.7385
17.944335 82.627 -91.2537
18.310546 82.783 -92.7349
18.676756 82.930 -94.1835
19.042967 83.068 -95.6010
19.409178 83.198 -96.9891
19.775389 83.319 -98.3495
20.141600 83.432 -99.6837
20.507811 83.537 -100.9931
20.874022 83.636 -102.2787
21.240233 83.728 -103.5411
21.606444 83.815 -104.7807
21.972655 83.897 -105.9977
22.338866 83.976 -107.1922
22.705076 84.051 -108.3645
23.071287 84.123 -109.5150
23.437498 84.193 -110.6445
23.803709 84.260 -111.7539
24.169920 84.324 -112.8441
24.536131 84.386 -113.9162
24.902342 84.445 -114.9710
25.268553 84.503 -116.0095
25.634764 84.558 -117.0323
26.000975 84.611 -118.0397
26.367186 84.662 -119.0322
26.733396 84.711 -120.0097
27.099607 84.759 -120.9726
27.465818 84.804 -121.9207
27.832029 84.848 -122.8543
28.198240 84.889 -123.7733
28.564451 84.930 -124.6781
28.930662 84.968 -125.5689
29.296873 85.005 -126.4460
29.663084 85.040 -127.3100
30.029295 85.074 -128.1612
30.395506 85.106 -129.0002
30.761716 85.137 -129.8274
31.127927 85.166 -130.6434
31.494138 85.194 -131.4487
31.860349 85.221 -132.2436
32.226560 85.246 -133.0285
32.592771 85.270 -133.8040
32.958982 85.293 -134.5702
33.325193 85.314 -135.3275
33.691404 85.334 -136.0760
34.057615 85.352 -136.8161
34.423826 85.369 -137.5477
34.790036 85.384 -138.2711
35.156247 85.399 -138.9862
35.522458 85.412 -139.6931
35.888669 85.423 -140.3919
36.254880 85.434 -141.0826
36.621091 85.444 -141.7651
36.987302 85.452 -142.4395
37.353513 85.460 -143.1057
37.719724 85.466 -143.7638
38.085935 85.471 -144.4137
38.452145 85.476 -145.0555
38.818356 85.479 -145.6891
39.184567 85.482 -146.3148
39.550778 85.484 -146.9327
39.916989 85.486 -147.5431
40.283200 85.486 -148.1463
40.649411 85.487 -148.7427
41.015622 85.486 -149.3327
41.381833 85.485 -149.9167
41.748044 85.484 -150.4949
42.114255 85.482 -151.0677
42.480465 85.479 -151.6351
42.846676 85.476 -152.1973
43.212887 85.472 -152.7544
43.579098 85.468 -153.3063
43.945309 85.463 -153.8530
44.311520 85.458 -154.3947
44.677731 85.452 -154.9312
45.043942 85.446 -155.4628
45.410153 85.439 -155.9894
45.776364 85.432 -156.5113
46.142575 85.424 -157.0285
46.508785 85.416 -157.5413
46.874996 85.408 -158.0497
47.241207 85.399 -158.5540
47.607418 85.389 -159.0540
47.973629 85.380 -159.5500
48.339840 85.370 -160.0417
48.706051 85.359 -160.5291
49.072262 85.348 -161.0119
49.438473 85.337 -161.4897
49.804684 85.325 -161.9622
50.170895 85.312 -162.4291
50.537105 85.299 -162.8900
50.903316 85.285 -163.3446
51.269527 85.271 -163.7928
51.635738 85.256 -164.2347
52.001949 85.242 -164.6706
52.368160 85.227 -165.1008
52.734371 85.212 -165.5261
53.100582 85.198 -165.9471
53.466793 85.183 -166.3647
53.833004 85.169 -166.7797
54.199215 85.155 -167.1929
54.565425 85.141 -167.6047
54.931636 85.127 -168.0157
55.297847 85.112 -168.4259
55.664058 85.098 -168.8352
56.030269 85.083 -169.2434
56.396480 85.067 -169.6498
56.762691 85.051 -170.0538
57.128902 85.034 -170.4549
57.495113 85.017 -170.8523
57.861324 84.999 -171.2456
58.227535 84.981 -171.6343
58.593745 84.963 -172.0184
58.959956 84.944 -172.3977
59.326167 84.925 -172.7725
59.692378 84.906 -173.1429
60.058589 84.887 -173.5094
60.424800 84.867 -173.8723
60.791011 84.848 -174.2318
61.157222 84.828 -174.5884
61.523433 84.808 -174.9422
61.889644 84.788 -175.2934
62.255854 84.768 -175.6420
62.622065 84.747 -175.9881
62.988276 84.727 -176.3317
63.354487 84.706 -176.6728
63.720698 84.685 -177.0113
64.086909 84.664 -177.3470
64.453120 84.642 -177.6801
64.819331 84.621 -178.0104
65.185542 84.600 -178.3379
65.551753 84.579 -178.6626
65.917964 84.557 -178.9846
66.284174 84.536 -179.3039
66.650385 84.514 -179.6207
67.016596 84.492 -179.9351
67.382807 84.470 179.7528
67.749018 84.448 179.4429
68.115229 84.425 179.1351
68.481440 84.402 178.8294
68.847651 84.379 178.5257
69.213862 84.355 178.2242
69.580073 84.332 177.9250
69.946284 84.308 177.6283
70.312494 84.283 177.3342
70.678705 84.258 177.0428
71.044916 84.234 176.7544
71.411127 84.208 176.4690
71.777338 84.183 176.1865
72.143549 84.158 175.9068
72.509760 84.133 175.6300
72.875971 84.107 175.3559
73.242182 84.082 175.0843
73.608393 84.057 174.8151
73.974604 84.031 174.5482
74.340814 84.006 174.2835
74.707025 83.981 174.0211
75.073236 83.955 173.7609
75.439447 83.930 173.5029
75.805658 83.904 173.2470
76.171869 83.878 172.9932
76.538080 83.852 172.7411
76.904291 83.826 172.4907
77.270502 83.799 172.2416
77.636713 83.773 171.9935
78.002924 83.746 171.7462
78.369134 83.720 171.4993
78.735345 83.693 171.2529
79.101556 83.666 171.0071
79.467767 83.639 170.7621
79.833978 83.612 170.5182
80.200189 83.585 170.2760
80.566400 83.557 170.0358
80.932611 83.529 169.7982
81.298822 83.502 169.5634
81.665033 83.474 169.3317
82.031244 83.446 169.1030
82.397454 83.418 168.8771
82.763665 83.390 168.6536
83.129876 83.362 168.4324
83.496087 83.334 168.2130
83.862298 83.306 167.9949
84.228509 83.278 167.7782
84.594720 83.250 167.5625
84.960931 83.222 167.3480
85.327142 83.194 167.1346
85.693353 83.166 166.9227
86.059563 83.139 166.7124
86.425774 83.111 166.5039
86.791985 83.083 166.2974
87.158196 83.055 166.0932
87.524407 83.027 165.8913
87.890618 82.999 165.6918
88.256829 82.971 165.4946
88.623040 82.942 165.2996
88.989251 82.914 165.1065
89.355462 82.885 164.9153
89.721673 82.855 164.7255
90.087883 82.826 164.5368
90.454094 82.796 164.3491
90.820305 82.766 164.1620
91.186516 82.736 163.9756
91.552727 82.705 163.7896
91.918938 82.675 163.6042
92.285149 82.644 163.4196
92.651360 82.614 163.2359
93.017571 82.583 163.0536
93.383782 82.552 162.8729
93.749993 82.522 162.6942
94.116203 82.491 162.5179
94.482414 82.460 162.3444
94.848625 82.429 162.1736
95.214836 82.398 162.0060
95.581047 82.367 161.8415
95.947258 82.336 161.6801
96.313469 82.305 161.5217
96.679680 82.274 161.3661
97.045891 82.243 161.2132
97.412102 82.212 161.0626
97.778313 82.180 160.9139
98.144523 82.149 160.7671
98.510734 82.118 160.6217
98.876945 82.087 160.4774
99.243156 82.056 160.3340
99.609367 82.025 160.1914
99.975578 81.993 160.0494
100.341789 81.962 159.9082
100.708000 81.930 159.7677
101.074211 81.899 159.6282
101.440422 81.867 159.4899
101.806633 81.836 159.3531
102.172843 81.804 159.2180
102.539054 81.773 159.0847
102.905265 81.741 158.9535
103.271476 81.710 158.8242
103.637687 81.678 158.6970
104.003898 81.647 158.5715
104.370109 81.616 158.4476
104.736320 81.584 158.3251
105.102531 81.553 158.2039
105.468742 81.522 158.0838
105.834953 81.490 157.9647
106.201163 81.458 157.8468
106.567374 81.426 157.7302
106.933585 81.395 157.6150
107.299796 81.363 157.5014
107.666007 81.331 157.3897
108.032218 81.299 157.2800
108.398429 81.267 157.1724
108.764640 81.235 157.0670
109.130851 81.204 156.9637
109.497062 81.173 156.8624
109.863272 81.142 156.7629
110.229483 81.112 156.6649
110.595694 81.081 156.5679
110.961905 81.051 156.4719
111.328116 81.021 156.3763
111.694327 80.991 156.2812
112.060538 80.961 156.1862
112.426749 80.931 156.0916
112.792960 80.900 155.9973
113.159171 80.870 155.9037
113.525382 80.839 155.8111
113.891592 80.807 155.7200
114.257803 80.776 155.6307
114.624014 80.744 155.5435
114.990225 80.713 155.4589
115.356436 80.682 155.3768
115.722647 80.651 155.2971
116.088858 80.620 155.2196
116.455069 80.590 155.1437
116.821280 80.560 155.0688
117.187491 80.531 154.9941
117.553702 80.502 154.9189
117.919912 80.473 154.8425
118.286123 80.445 154.7645
118.652334 80.416 154.6846
119.018545 80.387 154.6031
119.384756 80.358 154.5203
119.750967 80.328 154.4370
120.117178 80.297 154.3541
120.483389 80.266 154.2726
120.849600 80.233 154.1935
121.215811 80.201 154.1176
121.582022 80.167 154.0456
121.948232 80.134 153.9778
122.314443 80.100 153.9144
122.680654 80.066 153.8553
123.046865 80.032 153.8002
123.413076 79.999 153.7487
123.779287 79.966 153.7004
124.145498 79.934 153.6547
124.511709 79.902 153.6110
124.877920 79.871 153.5688
125.244131 79.840 153.5276
125.610342 79.810 153.4869
125.976552 79.780 153.4464
126.342763 79.750 153.4057
126.708974 79.720 153.3649
127.075185 79.690 153.3242
127.441396 79.660 153.2840
127.807607 79.629 153.2447
128.173818 79.598 153.2069
128.540029 79.567 153.1712
128.906240 79.535 153.1380
129.272451 79.504 153.1076
129.638662 79.472 153.0799
130.004872 79.440 153.0549
130.371083 79.408 153.0322
130.737294 79.376 153.0111
131.103505 79.344 152.9913
131.469716 79.312 152.9723
131.835927 79.281 152.9537
132.202138 79.250 152.9355
132.568349 79.218 152.9175
132.934560 79.187 152.9001
133.300771 79.156 152.8835
133.666981 79.125 152.8681
134.033192 79.093 152.8542
134.399403 79.062 152.8421
134.765614 79.030 152.8318
135.131825 78.999 152.8236
135.498036 78.968 152.8173
135.864247 78.937 152.8129
136.230458 78.906 152.8102
136.596669 78.875 152.8090
136.962880 78.845 152.8094
137.329091 78.814 152.8112
137.695301 78.784 152.8145
138.061512 78.754 152.8195
138.427723 78.723 152.8263
138.793934 78.693 152.8352
139.160145 78.663 152.8464
139.526356 78.632 152.8603
139.892567 78.602 152.8769
140.258778 78.571 152.8964
140.624989 78.541 152.9186
140.991200 78.510 152.9436
141.357411 78.480 152.9709
141.723621 78.450 153.0003
142.089832 78.420 153.0313
142.456043 78.390 153.0635
142.822254 78.360 153.0965
143.188465 78.330 153.1299
143.554676 78.300 153.1635
143.920887 78.270 153.1970
144.287098 78.240 153.2305
144.653309 78.211 153.2640
145.019520 78.181 153.2978
145.385731 78.151 153.3321
145.751941 78.121 153.3671
146.118152 78.091 153.4034
146.484363 78.061 153.4413
146.850574 78.031 153.4810
147.216785 78.001 153.5228
147.582996 77.971 153.5669
147.949207 77.941 153.6135
148.315418 77.911 153.6625
148.681629 77.882 153.7139
149.047840 77.853 153.7675
149.414051 77.824 153.8232
149.780261 77.796 153.8807
150.146472 77.768 153.9396
150.512683 77.740 153.9997
150.878894 77.713 154.0605
