* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Oct 26, 2023 12:04:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Oct 25 B = Correct
* Measurement: A times Bconj
* Smoothing: 1/48 octave
* Frequency Step: 1/12 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.454 31.9438
21.200001 92.424 28.5097
22.400000 92.361 25.3455
23.600000 92.282 22.4226
25.000000 92.178 19.2859
26.500000 92.058 16.2116
28.000000 91.931 13.3960
30.000000 91.754 9.9935
31.500000 91.614 7.6758
33.500000 91.418 4.8629
35.500000 91.212 2.3255
37.500000 91.001 0.0203
40.000000 90.732 -2.5785
42.500000 90.460 -4.8960
45.000000 90.188 -6.9640
47.500000 89.923 -8.8044
50.000000 89.667 -10.4431
53.000000 89.373 -12.2163
56.000000 89.087 -13.8370
60.000000 88.710 -15.7456
63.000000 88.431 -16.9784
67.000000 88.069 -18.3814
71.000000 87.722 -19.5427
75.000000 87.390 -20.5031
80.000000 86.998 -21.4989
85.000000 86.622 -22.3148
90.000000 86.256 -22.8928
95.000000 85.903 -23.2043
100.000000 85.592 -23.3320
106.000000 85.269 -23.5202
112.000000 84.954 -23.7503
118.000000 84.640 -23.8147
125.000000 84.297 -23.6166
132.000000 83.993 -23.1796
140.000000 83.710 -22.5674
150.000000 83.401 -21.9065
160.000000 83.129 -21.1266
170.000000 82.897 -20.3549
180.000000 82.680 -19.6693
190.000000 82.474 -18.9171
200.000000 82.280 -18.0937
212.000000 82.087 -17.0460
224.000000 81.934 -15.9770
236.000000 81.808 -14.9076
250.000000 81.693 -13.6925
265.000000 81.598 -12.4865
280.000000 81.520 -11.3507
300.000000 81.443 -9.9405
315.000000 81.402 -8.9720
335.000000 81.365 -7.7895
355.000000 81.343 -6.7136
375.000000 81.332 -5.7498
400.000000 81.325 -4.6890
425.000000 81.321 -3.7497
450.000000 81.310 -2.8970
475.000000 81.296 -2.1151
500.000000 81.311 -1.3936
530.000000 81.325 -0.5951
560.000000 81.326 0.1459
600.000000 81.326 1.0772
630.000000 81.332 1.7506
670.000000 81.351 2.6293
710.000000 81.370 3.4977
750.000000 81.401 4.3705
800.000000 81.456 5.4801
850.000000 81.548 6.6229
900.000000 81.690 7.8116
950.000000 81.897 9.0497
1000.000000 82.169 10.3294
1060.000000 82.564 11.9100
1120.000000 82.997 13.5191
1180.000000 83.422 15.1433
1250.000000 83.899 17.0040
1320.000000 84.355 18.7478
1400.000000 84.837 20.5888
1500.000000 85.396 22.5652
1600.000000 85.876 24.1974
1700.000000 86.306 25.5730
1800.000000 86.744 26.7486
1900.000000 87.209 27.7533
2000.000000 87.692 28.5176
2120.000000 88.261 28.9158
2240.000000 88.785 28.5911
2360.000000 89.261 27.4437
2500.000000 89.770 24.9675
2650.000000 90.252 20.9723
2800.000000 90.583 15.9193
3000.000000 90.666 8.9854
3150.000000 90.472 4.7380
3350.000000 90.034 0.8923
3550.000000 89.555 -1.1357
3750.000000 89.116 -1.8203
4000.000000 88.666 -1.4888
4250.000000 88.409 -0.5393
4500.000000 88.435 0.3314
4750.000000 88.662 0.4188
5000.000000 88.943 -0.5577
5300.000000 89.249 -2.5536
5600.000000 89.486 -4.4471
6000.000000 89.852 -7.7480
6300.000000 89.751 -11.7204
6700.000000 88.603 -15.9433
7100.000000 87.218 -15.5857
7500.000000 86.752 -13.6844
8000.000000 87.006 -16.7383
8500.000000 86.285 -22.7678
9000.000000 84.600 -24.8551
9500.000000 83.033 -21.0736
10000.000000 82.453 -13.3262
10600.000000 82.559 -8.5249
11200.000000 82.007 -10.4450
11800.000000 80.282 -11.1321
12500.000000 77.844 -2.7135
13200.000000 76.388 11.6405
14000.000000 75.977 22.4099
15000.000000 74.587 23.9092
16000.000000 71.302 33.6220
17000.000000 70.203 56.7555
18000.000000 69.695 54.5885
19000.000000 64.188 50.6538
