* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B conjugate
* Format: Trace Arithmetic result A * B conjugate
* Dated: Oct 26, 2023 12:04:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times Bconj A = Oct 25 B = Correct
* Measurement: A times Bconj
* Smoothing: 1/48 octave
* Frequency Step: 1/12 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.631 32.4270
21.200001 92.608 28.9663
22.400000 92.549 25.7739
23.600000 92.474 22.8276
25.000000 92.374 19.6688
26.500000 92.257 16.5741
28.000000 92.134 13.7435
30.000000 91.964 10.3289
31.500000 91.832 7.9962
33.500000 91.647 5.1391
35.500000 91.450 2.5378
37.500000 91.245 0.1652
40.000000 90.983 -2.5211
42.500000 90.718 -4.9340
45.000000 90.454 -7.1060
47.500000 90.194 -9.0677
50.000000 89.939 -10.8401
53.000000 89.637 -12.7411
56.000000 89.342 -14.4269
60.000000 88.960 -16.3798
63.000000 88.681 -17.6598
67.000000 88.323 -19.1575
71.000000 87.976 -20.4412
75.000000 87.639 -21.5318
80.000000 87.230 -22.6539
85.000000 86.842 -23.5292
90.000000 86.475 -24.1913
95.000000 86.126 -24.7073
100.000000 85.795 -25.1334
106.000000 85.415 -25.4846
112.000000 85.060 -25.6508
118.000000 84.730 -25.6632
125.000000 84.373 -25.5023
132.000000 84.050 -25.1773
140.000000 83.727 -24.6793
150.000000 83.365 -23.9985
160.000000 83.040 -23.1915
170.000000 82.744 -22.2147
180.000000 82.493 -21.1701
190.000000 82.274 -20.1394
200.000000 82.067 -19.0739
212.000000 81.869 -17.7046
224.000000 81.731 -16.3286
236.000000 81.633 -15.0901
250.000000 81.537 -13.8371
265.000000 81.444 -12.5245
280.000000 81.380 -11.2639
300.000000 81.323 -9.7673
315.000000 81.294 -8.7510
335.000000 81.268 -7.5064
355.000000 81.257 -6.3701
375.000000 81.260 -5.3488
400.000000 81.273 -4.2374
425.000000 81.289 -3.2768
450.000000 81.295 -2.4211
475.000000 81.299 -1.6473
500.000000 81.329 -0.9497
530.000000 81.360 -0.1937
560.000000 81.374 0.5083
600.000000 81.392 1.3693
630.000000 81.414 1.9828
670.000000 81.449 2.7826
710.000000 81.481 3.5711
750.000000 81.524 4.3600
800.000000 81.594 5.3692
850.000000 81.698 6.4141
900.000000 81.851 7.4998
950.000000 82.069 8.6331
1000.000000 82.353 9.8112
1060.000000 82.759 11.2726
1120.000000 83.205 12.7605
1180.000000 83.653 14.2443
1250.000000 84.153 15.9287
1320.000000 84.613 17.5087
1400.000000 85.113 19.1242
1500.000000 85.698 20.7899
1600.000000 86.199 22.0756
1700.000000 86.646 23.0617
1800.000000 87.089 23.8343
1900.000000 87.552 24.4321
2000.000000 88.023 24.8142
2120.000000 88.572 24.8445
2240.000000 89.083 24.2131
2360.000000 89.555 22.7331
2500.000000 90.062 19.7573
2650.000000 90.523 15.1084
2800.000000 90.804 9.4669
3000.000000 90.817 1.8637
3150.000000 90.559 -2.9099
3350.000000 90.007 -7.3360
3550.000000 89.407 -9.6764
3750.000000 88.870 -10.5191
4000.000000 88.330 -10.4960
4250.000000 87.949 -10.2284
4500.000000 87.731 -9.9314
4750.000000 87.646 -9.5190
5000.000000 87.655 -9.2034
5300.000000 87.762 -8.8881
5600.000000 87.942 -8.1175
6000.000000 88.501 -7.0031
6300.000000 88.959 -8.1633
6700.000000 88.852 -13.3155
7100.000000 87.979 -18.4567
7500.000000 87.326 -20.6836
8000.000000 87.433 -24.8679
8500.000000 86.925 -33.6339
9000.000000 84.994 -41.0805
9500.000000 82.623 -41.0687
10000.000000 80.955 -33.5312
10600.000000 79.944 -23.8181
11200.000000 78.960 -16.3431
11800.000000 78.020 -8.7616
12500.000000 76.691 0.7505
13200.000000 75.342 14.9017
14000.000000 75.006 34.3545
15000.000000 76.374 45.0916
16000.000000 76.199 38.0908
17000.000000 73.163 39.2192
18000.000000 72.022 56.7019
19000.000000 71.247 58.2561
