frequency,raw
20,-0.0
21,-0.0
22,-0.0
23,0.0
24,-0.0
26,-0.0
27,-0.0
29,-0.1
30,-0.1
32,-0.1
34,-0.2
36,-0.2
38,-0.3
40,-0.3
43,-0.4
45,-0.5
48,-0.5
50,-0.6
53,-0.7
56,-0.8
59,-0.9
63,-1.1
66,-1.3
70,-1.6
74,-2.0
78,-2.6
83,-3.2
87,-3.9
92,-4.7
97,-5.7
103,-6.7
109,-7.8
115,-8.8
121,-9.7
128,-10.5
136,-11.4
143,-12.1
151,-12.9
160,-13.7
169,-14.5
178,-15.2
188,-15.8
199,-16.1
210,-16.2
222,-16.1
235,-16.0
248,-16.0
262,-15.9
277,-15.8
292,-15.7
309,-15.7
326,-15.6
345,-15.4
364,-15.3
385,-15.2
406,-15.0
429,-14.9
453,-14.8
479,-14.7
506,-14.5
534,-14.4
565,-14.3
596,-14.2
630,-14.0
665,-13.9
703,-13.8
743,-13.6
784,-13.5
829,-13.3
875,-13.2
924,-13.0
977,-12.8
1032,-12.6
1090,-12.3
1151,-12.0
1216,-11.6
1284,-11.2
1357,-10.8
1433,-10.2
1514,-9.7
1599,-9.1
1689,-8.4
1784,-7.6
1885,-6.9
1991,-5.9
2103,-5.0
2221,-3.9
2347,-2.6
2479,-1.6
2618,-1.0
2766,-0.8
2921,-0.7
3086,-0.8
3260,-1.1
3443,-1.6
3637,-2.2
3842,-3.0
4058,-3.7
4287,-4.4
4528,-5.1
4783,-5.7
5052,-6.2
5337,-6.6
5637,-6.9
5955,-7.1
6290,-7.2
6644,-7.2
7018,-7.2
7414,-7.2
7831,-7.4
8272,-7.7
8738,-8.2
9230,-8.7
9749,-9.2
10298,-9.7
10878,-10.1
11490,-10.4
12137,-10.6
12821,-10.8
13543,-10.9
14305,-11.0
15110,-11.2
15961,-11.8
16860,-12.4
17809,-13.1
18812,-13.7
19871,-14.0
